
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Schulterheben (einarmig)"
%
% Proband:
%     "a"
%
% Rows:
%     722
%

@RELATION exercise-10a

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-8,7,271,-17,6,54
-7,1,260,-16,34,48
1,-2,272,-16,44,39
-23,2,270,-12,83,18
-10,14,262,-13,85,7
-26,6,277,-7,92,0
-22,3,280,-5,82,-15
-7,8,275,-9,52,-18
-13,10,273,-11,53,-4
-13,6,276,-8,40,6
-15,7,254,-4,53,4
-3,12,274,8,94,15
-18,5,269,12,106,20
-1,7,269,13,95,25
-18,9,260,17,97,28
-5,3,261,17,82,25
-9,10,278,15,79,20
-10,9,271,10,66,20
0,3,263,5,50,15
-3,9,271,7,58,8
-19,10,261,4,52,7
-11,10,267,2,66,11
4,-3,262,0,69,15
-9,9,271,-4,70,17
-29,2,282,-6,68,18
-25,8,271,-7,69,17
-13,6,263,-1,85,19
-14,2,273,-1,74,14
-16,18,264,-4,56,18
-17,7,267,-3,46,18
-4,-1,269,-6,46,22
-16,8,272,-6,51,20
5,5,261,-9,50,19
-2,1,271,-13,50,18
-3,16,260,-14,46,16
-16,-1,269,-15,51,14
-14,12,273,-15,65,18
-6,24,263,-14,79,30
-7,16,265,-20,67,37
-19,8,266,-28,50,52
-19,6,274,-30,38,42
4,11,255,-14,67,-10
-11,14,257,-3,114,-112
-9,14,272,-19,123,-50
-19,15,268,-38,177,25
-22,10,259,-59,218,91
-8,10,272,-71,253,155
-18,8,278,-284,575,143
-61,-21,278,-817,1106,117
-78,-64,242,-1152,1467,32
-92,-49,245,-843,1137,-115
-75,-45,236,-558,650,-14
-89,-43,239,-419,554,54
-104,-68,242,-292,512,124
-119,-56,228,-72,122,55
-93,-56,237,47,-42,89
-102,-66,244,78,-72,156
-108,-76,250,141,-223,68
-96,-59,243,177,-257,-78
-87,-57,244,173,-293,-62
-97,-54,239,223,-156,5
-78,-40,254,420,-163,-128
-75,-39,257,410,-175,-30
-69,-21,251,401,-181,25
-71,-22,260,401,-206,72
-73,-36,276,307,-182,107
-69,13,262,169,-87,55
-66,-44,268,61,-5,25
-77,-14,274,66,-44,-26
-47,-22,267,49,-8,-25
-59,-22,267,51,73,27
-55,-13,262,53,-3,-34
-55,-7,250,50,-37,-27
-69,-20,262,22,55,7
-43,-3,263,14,82,3
-71,-9,262,1,71,13
-34,-19,254,-7,79,32
-68,-20,269,2,98,21
-58,-5,260,4,88,27
-57,-1,259,4,72,36
-57,-9,257,1,76,31
-66,-14,266,-5,60,35
-62,-4,265,-8,59,29
-51,-13,257,-10,72,30
-68,-12,269,-8,72,23
-59,-6,264,-6,89,17
-60,-8,266,-8,71,13
-65,0,258,-10,58,13
-50,-17,265,-13,58,16
-69,4,251,-12,61,16
-68,-6,262,-17,63,30
-67,1,259,-8,51,36
-39,-18,263,-6,73,55
-64,-4,267,0,77,61
-50,-3,267,-12,80,98
-72,-6,258,11,94,39
-50,10,252,11,116,9
-68,-14,266,-5,137,88
-74,-23,273,-74,225,3
-69,-8,270,-118,189,-51
-98,-22,277,-404,272,-20
-85,-46,259,-974,675,-113
-101,-65,233,-995,824,-147
-82,-48,227,-733,571,-140
-86,-74,240,-461,394,73
-119,-89,227,-221,458,135
-108,-65,233,-31,166,53
-111,-68,242,101,-39,16
-105,-72,248,187,-223,38
-123,-78,255,214,-264,69
-96,-67,232,245,-273,-71
-86,-58,229,300,-371,-67
-81,-34,238,443,-326,40
-73,-33,257,531,-287,19
-102,-27,274,486,-241,43
-60,-5,252,206,-177,-69
-57,-18,248,62,-162,-38
-59,-28,267,14,-91,11
-76,-33,268,47,-52,7
-57,-29,255,41,-105,6
-53,-18,266,61,-75,4
-60,-27,257,48,-26,2
-60,-12,257,60,-64,-50
-52,-17,263,54,-63,-66
-54,-19,262,35,-4,-42
-45,-21,257,30,32,-28
-49,-20,260,28,47,-21
-58,-10,271,14,70,15
-48,-19,262,13,97,21
-59,-16,264,1,82,42
-54,-10,263,4,105,41
-63,-17,268,3,107,51
-57,-18,261,0,89,53
-48,-15,263,5,85,43
-54,-15,259,16,99,33
-52,-18,261,20,92,25
-60,-16,262,19,100,21
-57,-9,259,15,93,18
-52,-15,263,14,109,20
-56,-15,263,18,128,22
-58,-14,261,10,115,24
-59,-12,261,5,90,25
-61,-14,261,-2,75,30
-60,-16,260,-2,71,22
-60,-12,261,-6,55,31
-53,-12,261,-2,66,38
-64,-11,264,8,83,58
-61,-8,257,9,101,90
-66,-8,256,3,161,129
-43,-17,270,-71,198,167
-79,-3,258,-86,289,142
-89,-4,273,-133,280,124
-70,-38,272,-159,172,58
-82,-27,265,-210,119,47
-67,-30,286,-367,257,-47
-117,-50,244,-1019,727,-72
-80,-59,226,-1001,893,-198
-111,-70,224,-683,690,-100
-90,-52,227,-420,334,-2
-134,-87,219,-171,137,80
-112,-88,224,25,-116,17
-99,-71,237,180,-321,10
-91,-65,245,242,-373,74
-97,-87,249,291,-316,-1
-87,-55,222,319,-251,-57
-71,-71,234,431,-310,-12
-69,-45,266,524,-248,72
-73,-32,266,567,-163,70
-75,-31,270,406,-190,57
-76,-11,266,258,-165,5
-63,-34,257,111,-102,15
-58,-23,271,89,-65,28
-52,-27,265,75,-47,28
-53,-19,264,64,-131,1
-56,-20,263,51,-157,3
-63,-12,259,56,-110,-59
-48,-10,267,67,-39,-69
-47,-28,269,56,18,-60
-38,-20,260,50,107,-44
-51,-2,259,56,106,-46
-50,-18,267,48,95,-31
-53,-10,264,28,91,-6
-48,-11,259,19,102,6
-51,-13,261,14,101,13
-48,-7,256,5,88,33
-53,-7,261,2,86,40
-57,-23,268,3,82,47
-45,-3,252,4,62,52
-61,-8,267,2,61,60
-39,-20,261,5,98,56
-51,-16,274,-1,66,61
-45,-4,257,0,86,54
-51,-20,266,-12,102,65
-75,1,262,-12,120,67
-55,-16,257,-17,100,95
-66,-4,262,-26,199,108
-66,1,259,-61,215,110
-62,-14,258,-82,193,136
-99,-31,278,-99,192,147
-77,-22,266,-121,275,-21
-75,-28,266,-242,461,-91
-83,-41,270,-543,692,-113
-129,-61,220,-1012,1165,-212
-72,-53,226,-716,842,-182
-122,-70,229,-491,428,-10
-106,-59,230,-298,237,75
-122,-102,223,-79,-76,107
-102,-61,235,70,-299,59
-103,-58,240,174,-364,89
-126,-86,247,237,-311,77
-104,-66,237,268,-286,-58
-95,-49,237,341,-358,-54
-67,-49,250,508,-334,40
-86,-18,264,521,-188,91
-82,-31,256,419,-162,16
-75,-24,264,226,-119,64
-68,-8,264,128,-70,50
-65,-25,264,87,-16,87
-69,-25,263,69,-7,106
-75,-24,255,60,-150,-3
-55,-10,253,63,-259,-115
-64,-14,263,57,-79,-96
-53,-16,260,41,5,-91
-57,-12,260,46,20,-103
-59,-10,260,35,19,-58
-63,-14,261,24,99,-11
-60,-12,262,23,87,7
-57,-14,261,15,74,28
-63,-11,264,14,114,27
-62,-11,261,9,84,38
-55,-12,261,15,95,33
-80,-12,257,6,83,42
-58,-6,257,4,70,41
-64,-14,263,4,43,38
-59,-12,269,-2,35,42
-81,-12,258,2,53,29
-73,-12,265,4,70,21
-46,-7,263,3,85,18
-62,-27,249,6,118,12
-70,-7,263,-5,103,26
-62,-12,255,-6,93,29
-44,-13,264,-10,103,22
-81,-5,258,-12,92,22
-68,-14,257,-15,74,38
-80,-2,256,-25,98,104
-54,-2,255,-38,126,223
-73,-26,274,-34,228,164
-75,-7,255,-81,162,89
-71,-16,258,-86,160,91
-102,-22,255,-162,202,119
-93,-32,263,-294,302,-119
-44,-46,278,-608,480,-146
-68,-34,219,-1143,1021,-210
-107,-31,244,-849,554,62
-105,-55,235,-541,113,182
-115,-135,220,-362,-82,174
-104,-90,225,-117,-196,25
-88,-76,241,110,-174,-50
-103,-72,248,211,-236,-97
-72,-65,247,296,-268,-165
-80,-61,238,320,-323,-142
-76,-52,235,386,-215,-78
-99,-39,254,470,-81,22
-55,-34,253,562,-110,30
-85,-30,266,470,-38,51
-64,-12,260,343,-17,13
-77,-28,261,191,0,3
-47,-21,260,145,16,2
-76,-36,265,130,33,29
-53,-24,264,126,-90,-31
-62,-16,267,104,-167,-67
-56,-1,262,96,-158,-82
-65,-14,265,90,-49,-91
-65,-11,263,65,32,-66
-49,-5,255,47,66,-47
-49,-16,262,31,105,-28
-66,-5,268,21,120,-5
-57,-5,258,15,126,9
-57,-5,252,5,126,28
-66,-7,258,6,135,38
-51,-16,258,8,131,43
-58,-8,256,12,150,45
-73,1,260,17,94,44
-68,-3,262,17,79,41
-70,-10,266,11,65,42
-65,-9,259,8,68,32
-73,-9,262,6,72,32
-54,-10,259,5,94,30
-68,-7,260,3,104,22
-70,-13,266,3,121,19
-58,-8,262,1,119,16
-64,-10,259,-5,86,12
-76,-2,258,-10,60,14
-64,-10,259,-6,60,12
-74,-3,261,-6,68,14
-70,-8,259,-4,45,21
-75,-4,267,-6,30,37
-69,-3,259,-23,-6,65
-66,-11,264,-43,-13,90
-70,-2,263,-51,-13,97
-75,2,262,-71,-51,145
-65,-5,262,-114,-32,189
-65,-16,263,-141,-49,162
-68,-25,260,-143,116,106
-58,-19,260,-137,137,78
-83,-38,266,-117,161,14
-57,-35,261,-216,284,-283
-72,-38,271,-737,719,-289
-65,-25,239,-1120,1292,-292
-92,-23,235,-795,846,-55
-118,-97,230,-373,35,218
-115,-106,241,-185,-20,77
-94,-65,226,-7,-127,-2
-96,-72,239,145,-142,-2
-78,-70,254,236,-244,-4
