
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Schulterheben (einarmig)"
%
% Proband:
%     "b"
%
% Rows:
%     600
%

@RELATION exercise-10b

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-72,14,255,-3,42,10
-68,10,259,0,43,8
-81,15,262,-3,41,5
-69,12,258,-5,37,5
-66,12,257,-3,48,3
-72,10,260,1,55,5
-69,11,264,1,49,14
-74,8,256,2,34,15
-72,15,257,6,55,22
-70,15,259,10,74,20
-66,14,259,14,78,20
-69,13,262,19,98,27
-80,11,262,22,107,14
-73,11,269,6,115,-12
-81,22,261,-52,174,-32
-81,9,267,-143,206,-52
-90,9,261,-199,266,-74
-89,1,259,-283,222,-124
-88,-3,265,-355,304,-129
-98,-20,259,-466,325,-156
-114,-34,239,-554,348,-223
-88,-38,240,-554,258,-249
-104,-51,227,-338,265,-218
-104,-56,244,-232,299,-230
-122,-49,248,-133,324,-214
-99,-61,234,-73,271,-175
-97,-49,215,-18,261,-119
-125,-54,249,25,208,-78
-105,-47,234,50,143,16
-123,-44,227,86,51,73
-110,-50,233,111,-15,87
-117,-41,234,263,-35,160
-120,-38,230,418,2,216
-117,-8,254,475,-195,284
-129,-36,266,551,-197,410
-108,6,270,481,-329,283
-116,-2,264,394,-297,207
-70,13,247,296,-181,99
-81,24,258,236,-193,88
-79,18,249,186,-108,127
-92,25,266,169,-79,129
-82,35,242,108,-38,113
-85,23,260,46,2,117
-80,15,250,19,1,98
-98,23,256,-41,27,50
-78,18,256,-41,21,38
-91,29,249,-30,25,48
-68,24,254,-30,14,32
-103,29,269,-32,44,13
-74,29,262,-22,49,7
-85,26,257,-3,65,14
-79,26,258,11,62,7
-66,26,254,16,63,-4
-80,26,253,20,73,-8
-78,32,251,11,57,11
-78,31,254,10,47,14
-91,19,269,8,49,13
-79,30,254,4,52,7
-78,26,244,2,47,6
-80,25,249,5,33,3
-92,33,251,16,43,-4
-95,25,257,3,72,-9
-83,23,256,-12,90,-24
-98,18,263,-22,137,-50
-80,20,263,-92,158,-81
-93,23,271,-187,176,-89
-81,20,247,-386,150,-123
-83,8,251,-523,203,-154
-94,-13,258,-568,303,-165
-112,-20,238,-638,317,-225
-79,-38,235,-522,195,-251
-110,-59,246,-312,231,-157
-101,-52,245,-232,188,-151
-105,-51,237,-187,131,-156
-103,-42,233,-94,183,-136
-111,-54,244,-24,154,-76
-119,-47,249,44,99,-22
-88,-58,236,100,64,19
-106,-33,240,139,7,48
-103,-43,229,253,-5,108
-109,-14,242,430,-59,247
-102,-19,241,514,-96,324
-102,-16,265,557,-187,385
-108,8,264,449,-175,334
-101,4,266,358,-170,207
-102,10,269,336,-106,153
-87,24,248,229,-172,53
-87,27,259,135,-102,41
-84,22,259,95,-61,54
-81,25,257,52,-51,50
-85,19,256,13,3,52
-82,26,259,10,-5,51
-83,22,261,7,9,47
-72,22,254,-5,2,25
-79,25,256,-10,22,17
-82,20,257,-2,43,13
-79,21,258,3,55,4
-82,24,258,0,54,-5
-70,22,255,0,58,-14
-55,25,267,-4,65,-7
-64,15,252,-6,70,5
-75,18,266,-2,63,15
-79,19,250,5,64,27
-102,23,262,3,58,30
-89,26,263,9,66,23
-67,5,276,9,111,-23
-92,33,267,-66,120,-34
-90,23,266,-123,114,-84
-92,13,271,-297,182,-113
-88,7,264,-561,141,-153
-96,-23,249,-687,224,-193
-96,-40,250,-700,278,-259
-84,-28,245,-576,267,-260
-86,-39,250,-476,257,-220
-106,-51,238,-319,256,-173
-97,-58,238,-214,111,-153
-111,-58,239,-158,179,-185
-119,-59,243,-110,170,-151
-110,-47,242,3,150,-47
-118,-56,239,161,36,63
-100,-48,244,268,43,146
-93,-35,244,386,-86,222
-120,-27,259,526,-86,265
-104,-10,246,601,-132,313
-117,-21,279,637,-259,320
-97,6,252,458,-255,201
-87,-7,267,380,-209,125
-84,20,254,345,-178,97
-78,17,257,206,-82,61
-70,36,256,109,4,20
-84,35,268,108,45,28
-74,16,268,56,52,101
-85,21,253,3,12,131
-72,25,254,-13,15,111
-78,20,256,-23,47,93
-72,18,258,-9,62,81
-80,22,258,-11,61,60
-77,24,255,-13,63,17
-90,20,266,-3,75,-11
-81,20,252,4,72,-28
-78,27,252,12,63,-23
-73,31,259,21,65,-14
-80,29,255,13,78,6
-83,22,255,8,82,12
-75,27,257,-6,67,6
-78,22,253,-25,51,-7
-74,24,258,-33,56,-15
-78,23,269,-49,73,-21
-85,20,264,-87,118,-36
-91,7,265,-156,160,-106
-80,16,267,-315,75,-174
-82,18,272,-587,69,-209
-93,-15,250,-718,124,-233
-84,-21,252,-793,178,-249
-97,-43,234,-745,203,-154
-83,-75,226,-532,78,-75
-91,-72,242,-362,189,-144
-108,-61,262,-187,204,-136
-103,-65,234,-106,151,-98
-106,-58,242,-129,116,-139
-92,-69,231,-86,117,-154
-93,-60,233,28,51,-47
-75,-70,228,116,36,29
-84,-43,234,292,-8,118
-100,-55,252,489,-40,229
-98,-29,252,598,-18,362
-102,-38,253,670,-95,406
-85,-7,267,719,-191,398
-103,-3,287,567,12,321
-88,-2,244,393,-34,244
-73,15,263,262,-121,112
-90,22,266,152,54,33
-77,27,255,135,1,19
-86,20,256,131,39,36
-79,21,259,95,23,48
-76,22,258,57,39,55
-83,28,257,6,55,56
-84,22,256,2,37,62
-78,21,256,-4,31,49
-78,22,258,-5,50,23
-80,23,257,-4,91,6
-79,23,256,-3,80,-3
-86,21,259,-5,80,-15
-81,30,257,-20,62,-25
-85,24,259,-23,84,-26
-79,23,258,-29,91,-20
-93,25,264,-59,126,-47
-91,17,267,-110,143,-104
-102,13,273,-168,146,-121
-114,-5,269,-284,146,-172
-105,5,255,-434,131,-282
-89,-13,273,-532,113,-342
-99,-27,250,-716,119,-376
-80,-44,232,-694,-23,-427
-63,-61,222,-576,34,-441
-70,-48,261,-421,148,-362
-97,-76,236,-265,208,-212
-81,-75,231,-147,148,-107
-86,-82,251,-28,144,-66
-83,-64,247,86,99,12
-97,-78,248,162,55,60
-105,-57,233,217,13,77
-87,-38,255,334,-55,157
-89,-41,265,423,-18,219
-90,-43,263,438,-82,272
-76,-27,261,453,-162,281
-103,-23,261,457,-124,304
-84,-13,263,377,-104,265
-84,-4,267,307,-41,221
-81,5,262,254,24,225
-75,-4,251,127,59,195
-76,13,263,106,88,114
-84,4,251,70,107,58
-96,3,261,35,85,12
-99,6,270,19,81,0
-89,11,257,22,67,-13
-78,12,250,32,85,-4
-67,5,253,29,70,-4
-66,7,251,30,52,-17
-92,7,255,8,57,-26
-82,6,256,3,69,-23
-81,6,252,7,97,-15
-84,12,262,5,87,-6
-75,9,247,7,71,-16
-77,10,257,-5,58,-36
-102,10,267,-9,86,-62
-92,11,265,-14,123,-82
-94,20,254,-37,132,-105
-88,11,259,-125,153,-155
-93,6,280,-259,83,-185
-116,-1,262,-421,20,-160
-98,-28,274,-638,42,-161
-91,-33,240,-741,53,-152
-85,-52,231,-688,-32,-161
-84,-67,226,-542,47,-216
-95,-69,247,-288,117,-151
-84,-61,238,-154,205,-161
-96,-58,240,-75,181,-158
-107,-75,243,25,139,-107
-86,-59,235,99,71,2
-94,-57,236,164,3,89
-82,-58,253,283,-77,177
-95,-49,244,417,-84,227
-86,-48,260,474,-132,257
-86,-35,256,535,-121,260
-87,-31,260,526,-154,306
-89,4,256,402,-155,250
-85,-13,259,386,-97,266
-57,3,251,281,-47,215
-83,28,270,260,93,228
-76,15,255,213,120,249
-75,6,257,112,46,216
-72,11,258,21,20,136
-78,26,258,20,19,97
-78,17,256,11,29,64
-72,13,259,-14,33,14
-70,17,256,-27,40,-12
-81,13,258,-30,62,-26
-83,17,257,-9,79,-24
-82,18,260,3,68,-29
-74,19,258,6,56,-10
-78,14,258,8,53,5
-76,14,259,13,70,4
-76,15,261,15,94,-2
-82,17,258,6,96,-8
-76,17,260,-4,95,-18
-79,17,261,-22,102,-22
-79,17,258,-45,113,-17
-80,17,260,-72,135,-52
-80,11,274,-103,82,-80
-101,7,269,-229,50,-93
-77,2,255,-471,-20,-156
-97,-15,262,-527,69,-163
-67,-36,233,-576,151,-229
-70,-25,238,-496,191,-127
-103,-49,231,-321,237,-95
-106,-40,262,-121,311,-170
-98,-28,248,-32,315,-187
-87,-43,251,-16,250,-168
-86,-31,247,-2,178,-151
-110,-38,248,49,109,-59
-110,-39,237,146,22,37
-100,-48,250,186,-20,82
-98,-19,238,233,-48,133
-89,-33,251,333,-83,228
-80,-21,267,377,-87,234
-93,-3,257,379,-14,249
-83,0,266,395,-77,222
-101,12,270,322,-71,196
-73,6,256,257,-69,172
-77,13,259,207,-65,145
-83,16,251,185,-48,139
-92,23,260,129,-36,101
-69,22,254,69,-49,44
-71,19,259,20,-3,16
-88,27,256,9,9,14
-87,25,264,5,50,26
-84,26,252,-29,23,22
-73,21,264,-34,39,23
-81,20,256,-21,62,25
-68,18,259,-4,67,17
-79,16,262,-4,88,14
-92,23,252,-7,92,2
-92,34,260,3,116,-18
-86,23,262,-4,116,-18
-93,18,263,-14,101,-27
-86,18,268,-49,118,-59
-73,14,255,-99,163,-120
-100,16,269,-157,210,-145
-92,13,258,-362,115,-192
-97,-3,272,-523,115,-249
-90,-6,250,-611,160,-274
-78,-34,238,-674,196,-306
-107,-44,245,-576,148,-261
-110,-65,237,-388,163,-243
-93,-63,238,-279,94,-250
-97,-46,229,-203,76,-250
-104,-63,249,-53,89,-168
-91,-48,238,40,71,-105
-97,-53,238,139,46,28
-89,-49,245,278,23,149
-84,-44,235,359,5,220
-91,-33,263,453,-29,310
-86,-15,246,409,-72,366
-100,-30,273,434,-74,381
-88,-14,248,349,-52,364
-101,5,262,296,-71,298
-104,3,267,281,-48,343
-75,7,254,189,-49,306
-80,12,255,128,-60,265
-85,11,264,114,-35,220
-89,17,251,88,-6,167
-79,11,263,54,3,100
-79,16,260,33,29,35
-82,15,258,31,45,0
-85,20,258,32,61,-38
-84,17,256,26,81,-41
-86,21,256,17,80,-40
-90,24,258,18,95,-39
-85,22,253,12,84,-33
-87,20,263,7,91,-38
-81,23,258,-11,95,-35
-84,22,257,-19,81,-46
-89,12,261,-31,106,-67
-89,18,261,-63,96,-84
-91,7,267,-156,97,-151
-89,7,259,-322,72,-233
-89,4,260,-440,76,-277
-91,-19,267,-574,196,-335
-95,-27,241,-738,348,-450
-91,-41,220,-676,348,-465
-112,-66,229,-442,391,-367
-127,-61,226,-298,408,-318
-107,-71,241,-184,294,-250
-113,-71,251,-116,243,-210
-102,-67,241,-42,203,-138
-126,-48,222,37,113,-15
-108,-74,236,129,58,92
-104,-50,239,267,-13,184
-112,-51,238,362,-119,314
-104,-39,246,423,-172,372
-113,-36,249,485,-143,378
-89,-13,256,540,-203,406
-113,-17,257,480,-185,377
-97,-3,262,401,-198,305
-91,9,249,295,-73,219
-86,10,247,189,-50,150
-106,26,250,134,2,117
-104,22,261,112,46,99
-93,5,255,58,22,90
-92,14,267,19,-3,80
-94,23,241,-16,-10,68
-63,10,260,-8,0,47
-85,14,251,-3,25,32
-97,8,260,-19,50,14
-98,13,253,-31,82,5
-100,14,263,-25,85,1
-100,17,251,-12,86,-7
-91,20,247,-14,82,-10
-86,3,261,-12,97,-3
-92,10,258,-6,84,-15
-88,15,256,-9,90,-22
-95,18,261,-30,149,-49
-98,4,261,-76,200,-97
-108,19,263,-175,181,-181
-92,1,257,-351,135,-222
-119,-10,272,-498,175,-249
-108,-19,237,-715,256,-375
-83,-40,231,-732,197,-469
-104,-65,224,-609,253,-415
-105,-70,232,-400,222,-218
-114,-64,218,-156,180,-96
-123,-64,234,-84,157,-114
-126,-66,233,-68,126,-120
-117,-57,223,-69,75,-91
-101,-54,226,34,79,6
-123,-61,230,130,49,82
-110,-62,222,204,-14,130
-115,-55,239,271,-9,162
-105,-38,238,368,-51,201
-107,-17,239,448,-65,248
-111,-30,251,493,-75,353
-95,-22,245,460,-197,334
-105,-13,262,442,-195,302
