
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Schulterheben (einarmig)"
%
% Proband:
%     "c"
%
% Rows:
%     436
%

@RELATION exercise-10c

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
26,-9,256,-18,49,-2
27,-11,260,-46,63,26
40,-16,256,-27,37,5
43,-10,257,-46,43,17
31,-23,264,-18,49,-5
29,-18,256,-54,73,5
41,-24,257,-28,92,11
26,-27,256,-17,91,34
38,-27,260,38,81,32
29,-31,266,83,65,12
39,-20,266,83,61,21
36,-5,265,99,49,-5
20,-7,266,95,71,0
40,-8,257,117,70,-15
38,-11,262,124,52,-22
34,-15,266,85,20,17
34,-7,259,81,-20,-6
31,10,251,102,-55,-44
37,-10,266,58,-35,15
33,-5,258,34,-8,-9
42,2,256,45,-10,-48
30,-2,263,27,-12,-48
35,-1,265,-7,-38,-69
44,-3,251,-15,-27,-32
38,7,264,-22,-10,-10
53,1,260,-20,21,-5
45,-5,254,-17,16,6
42,-5,265,-17,10,23
35,-2,260,-21,12,39
38,-6,256,-17,62,22
50,-10,262,-16,100,20
42,-7,257,1,122,24
28,-8,258,0,150,39
37,-12,254,11,141,30
37,-9,265,10,125,35
32,-4,252,-12,95,58
28,-8,255,-11,92,41
30,-13,258,-17,73,23
41,-14,262,-23,77,8
28,-13,258,-31,80,2
30,-9,257,-41,72,1
31,-13,263,-39,44,0
25,-14,259,-13,29,-28
27,-7,262,-15,32,-27
31,-12,256,-23,50,-3
32,-15,262,-6,64,-7
29,-12,261,-15,67,12
27,-17,261,-11,34,9
32,-11,259,-12,38,-4
28,-25,264,-17,53,-3
32,-15,262,-22,67,-3
29,-16,261,14,53,-19
28,-14,257,-20,86,4
38,-24,264,6,78,28
32,-24,262,26,53,1
30,-23,258,59,50,-5
39,-13,260,69,69,-6
32,-7,258,71,65,-6
30,-18,260,88,60,9
28,-19,260,73,81,29
35,5,263,71,52,27
30,-14,266,55,26,22
25,-20,266,37,14,14
37,-8,262,48,-21,-17
34,-5,263,54,-63,-54
23,-11,258,20,-53,-38
