
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Schulterheben (einarmig)"
%
% Proband:
%     "d"
%
% Rows:
%     383
%

@RELATION exercise-10d

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
18,11,263,10,66,27
16,8,261,2,45,23
2,8,268,4,46,14
1,2,271,2,68,7
7,17,261,0,61,3
-1,10,272,2,50,11
2,5,262,7,63,-13
8,10,268,3,80,5
-3,11,272,-6,68,-2
2,10,266,-6,57,-12
5,2,267,-8,50,-23
10,12,262,-8,54,-22
5,5,264,-14,49,-14
9,0,272,-12,49,-5
7,6,270,-8,39,-8
6,-2,268,-16,38,19
8,6,260,-13,12,11
8,5,259,-4,7,8
10,11,271,4,31,4
9,8,266,8,15,24
12,12,268,8,-14,67
17,10,270,3,-16,153
10,-1,271,26,-29,185
15,4,264,63,-53,179
19,10,272,134,-92,154
19,7,274,133,-61,154
27,7,259,226,-30,68
36,31,259,302,70,107
13,29,253,310,219,140
37,35,260,305,227,226
24,25,276,435,556,130
-14,50,265,372,558,11
-16,54,255,373,335,-38
-8,54,249,306,47,15
-13,57,264,162,92,73
-17,55,260,93,97,27
18,41,261,-44,-174,-7
13,54,259,-74,-402,-119
17,50,268,-129,-424,-102
24,48,268,-237,-436,-128
26,54,259,-331,-309,-34
36,37,256,-373,-269,13
37,52,253,-295,-119,4
38,39,259,-249,-16,16
42,19,257,-298,7,23
39,23,261,-234,36,-5
22,19,254,-126,168,8
29,13,266,-72,121,42
38,-2,261,-57,159,33
25,18,264,-5,152,-21
34,24,270,-9,95,-12
35,11,258,-62,46,39
32,15,265,-59,64,101
35,2,262,21,102,85
30,14,288,79,144,105
10,14,285,95,141,66
28,41,255,126,-151,117
36,27,243,124,-110,125
15,34,258,169,201,102
44,16,267,283,472,59
32,30,275,290,476,5
-8,33,261,259,479,-38
-20,16,242,277,349,-135
-17,44,228,363,44,-205
24,69,284,279,-38,-124
-20,45,270,52,213,-21
-3,57,248,8,-48,-45
20,36,260,-50,-364,-18
20,49,258,-22,-276,-51
18,47,266,-91,-206,-30
26,53,265,-176,-167,-37
21,48,257,-216,-129,-34
37,39,254,-250,-126,-6
23,58,253,-266,-107,48
43,10,256,-264,-74,76
36,36,264,-220,36,47
33,14,264,-187,105,48
27,30,267,-170,114,87
29,13,275,-172,110,45
8,15,267,-105,89,25
37,3,266,-83,23,8
33,10,263,-45,58,-67
29,33,274,-94,146,15
44,9,265,-164,123,69
42,3,268,-121,115,122
26,-18,269,44,105,66
35,8,281,72,116,43
18,28,259,55,-77,58
29,22,262,74,-100,-5
28,14,258,134,-73,-54
21,20,275,135,-34,-131
33,13,257,222,37,-81
42,22,256,276,80,-38
27,28,259,286,186,-13
22,61,278,258,306,-42
-4,33,236,310,314,-287
47,31,227,235,-169,-273
10,45,265,264,124,-176
19,47,260,91,133,-13
11,57,241,15,36,29
29,64,246,0,-192,-6
22,45,266,-66,-70,-39
23,40,267,-160,-20,-15
45,39,253,-286,-151,71
21,49,261,-316,-98,69
50,24,255,-272,7,136
42,45,256,-247,3,118
28,10,254,-269,70,122
40,4,272,-151,60,73
44,13,262,-77,78,47
63,6,263,-71,22,-35
42,29,268,-128,83,-60
34,9,269,-109,47,-33
29,19,256,-91,49,2
53,6,262,-86,44,94
24,5,263,-117,129,120
33,-8,256,-108,51,123
26,-2,275,-74,113,87
31,-6,260,-45,44,66
30,6,268,17,58,30
28,4,262,36,86,30
41,-1,267,50,91,42
43,-2,261,43,42,76
34,8,267,75,64,70
32,17,272,70,50,90
41,-2,269,61,29,98
34,-4,270,152,59,64
17,10,263,273,99,-15
43,43,262,311,45,0
24,30,256,365,315,-44
36,3,262,291,234,-36
21,41,258,280,329,-177
-17,74,237,402,383,-288
40,27,252,263,-154,-149
-3,71,259,257,15,-151
17,51,254,37,5,11
19,38,255,-39,-50,49
39,42,262,-51,-122,25
24,54,255,-156,-215,-9
24,66,252,-269,-137,-59
56,30,264,-346,-216,41
34,44,247,-358,-203,108
39,16,280,-330,13,141
58,5,265,-201,64,13
41,21,246,-152,39,23
42,42,254,-178,76,84
38,-9,261,-220,161,179
39,2,264,-171,200,141
26,2,256,-124,175,96
29,-3,265,-137,139,44
26,4,268,-108,135,37
36,2,257,-36,52,61
28,3,263,-42,50,56
33,-9,262,-41,67,62
27,-8,262,-25,72,72
28,-9,263,14,54,17
32,-9,259,47,48,-30
32,-1,263,103,28,-81
36,9,266,89,6,-26
34,20,274,35,48,22
15,21,265,-92,36,142
52,-4,249,25,-37,161
20,-18,272,133,188,45
37,-24,281,209,240,-3
29,45,257,422,287,-76
46,16,256,424,314,-16
11,9,253,320,428,-117
5,30,260,343,352,-223
-3,44,244,302,88,-114
19,43,261,213,-10,4
15,53,268,80,-30,35
17,47,265,14,-39,42
25,41,265,-18,-113,26
29,37,258,-125,-122,43
23,43,263,-206,-140,50
36,23,258,-252,-140,94
30,37,259,-205,-155,51
36,29,254,-156,-164,49
51,-1,251,-182,-125,-53
47,24,257,-142,10,-23
37,34,262,-111,-12,-43
51,11,265,-144,-14,-24
45,29,261,-169,12,56
32,-1,261,-176,118,38
28,-1,264,-144,141,-13
53,-6,255,-131,137,-68
39,19,257,-124,119,-80
23,-4,264,-128,104,-41
47,0,266,-133,123,-38
32,17,270,-138,129,7
33,-14,264,-116,123,145
33,-15,271,-82,92,190
29,-17,264,-59,96,159
35,-14,269,-10,79,106
29,-15,264,44,-12,57
39,-4,250,72,-32,35
27,-10,266,125,33,-30
20,-1,256,183,94,-104
34,23,266,262,175,-20
17,-5,292,262,225,29
37,14,256,248,-123,18
48,34,238,296,-148,-41
26,20,257,392,125,-112
19,18,256,429,227,-169
31,28,261,452,145,-343
14,42,246,379,55,-368
23,55,256,238,-32,-208
34,65,271,61,-21,-80
12,55,259,-28,0,-10
11,49,262,-126,-45,5
33,40,265,-203,-59,-25
51,42,254,-300,-189,-55
34,42,258,-357,-199,-79
45,26,258,-328,-131,-123
28,42,266,-321,10,-120
39,32,255,-321,-61,-30
50,15,248,-232,-28,-14
56,16,256,-188,58,-63
46,21,259,-187,91,-80
40,17,258,-136,155,-18
30,1,271,-110,142,60
49,0,261,-112,123,89
37,12,266,-99,62,112
47,-3,256,-69,44,128
31,5,262,-61,69,135
45,-21,262,-47,70,108
40,3,269,-36,59,124
44,0,257,-29,77,174
32,6,262,47,99,215
31,-14,268,156,131,233
36,3,273,204,109,214
39,14,268,197,-96,235
44,12,252,199,-128,257
47,1,252,349,-39,146
48,12,259,449,73,50
41,39,253,476,222,-2
45,44,259,440,270,16
17,36,250,376,318,-70
14,20,233,345,61,-203
19,34,273,278,6,-154
45,70,262,170,-61,-14
34,60,276,14,85,90
47,65,245,-69,39,12
51,37,251,-105,-44,13
33,44,274,-122,18,20
48,43,265,-195,-46,33
24,48,256,-233,-90,2
41,47,249,-243,-135,-75
49,42,250,-259,-163,-18
53,10,246,-217,-51,-15
46,46,262,-191,-40,-3
42,26,259,-201,23,-51
66,24,250,-187,-91,-10
54,26,266,-217,2,-18
57,11,265,-263,25,0
56,3,255,-256,31,14
47,4,258,-274,76,-14
57,-5,256,-191,137,-110
46,2,261,-140,109,-121
48,4,259,-158,76,-90
56,-14,257,-158,69,-60
53,-13,262,-131,93,-34
50,3,254,-114,99,-18
55,2,254,-83,74,48
62,-9,261,-34,82,101
49,-23,271,9,83,75
49,-24,254,57,65,30
47,-3,255,127,-42,1
49,2,261,117,31,1
56,-2,268,145,16,-2
56,7,264,188,23,72
51,-8,247,186,34,117
43,5,256,298,114,41
41,44,257,395,179,-50
62,20,257,370,107,70
48,41,256,371,185,98
42,2,252,334,207,80
26,36,241,414,52,-166
22,33,250,363,13,-158
66,47,253,167,-35,-28
31,52,262,21,53,5
50,50,249,-56,-29,9
31,45,259,-127,56,34
24,42,251,-225,35,24
46,36,267,-301,-18,66
50,27,255,-302,-58,42
55,26,259,-256,-46,-40
47,3,262,-177,82,-70
55,29,241,-103,36,-73
45,41,261,-140,113,11
47,18,254,-262,103,89
55,18,263,-245,104,105
36,2,252,-196,115,83
47,-3,265,-219,130,28
44,-6,263,-222,127,-16
45,-1,259,-182,52,-16
52,-10,253,-153,37,28
31,-4,264,-128,103,69
54,-15,262,-88,110,61
40,-5,271,-41,99,18
39,-2,256,-49,7,67
40,-8,255,-45,14,139
43,-21,251,-39,63,207
33,-23,269,34,139,184
40,-25,258,72,128,130
40,-4,261,120,42,87
38,-12,258,158,-6,26
40,-2,263,185,18,0
51,4,278,166,-6,37
29,0,258,153,-14,20
50,0,253,194,-70,35
38,-1,262,281,86,7
