
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Schulterheben (einarmig)"
%
% Proband:
%     "e"
%
% Rows:
%     419
%

@RELATION exercise-10e

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
37,1,265,0,115,24
28,14,263,3,105,20
37,4,265,4,83,21
36,4,262,2,52,14
40,11,256,2,11,11
42,15,266,8,-1,26
36,15,258,-5,-11,6
42,7,258,-2,16,9
39,3,268,-7,42,30
34,-1,259,-9,23,15
41,2,256,-3,11,6
41,11,255,-1,9,-2
33,8,259,-3,12,-16
45,4,253,-2,21,-18
35,4,258,-2,48,-12
36,4,264,-3,67,-6
43,6,259,2,82,-14
50,2,263,6,68,-15
34,2,262,4,43,10
43,-3,258,-3,-9,16
42,-1,259,-15,79,15
42,7,257,-27,148,-118
58,4,268,29,213,-230
34,0,264,36,95,-203
38,11,273,33,47,-60
36,19,262,29,17,73
42,16,251,36,23,91
49,4,264,57,51,160
43,7,257,-10,56,224
37,-1,259,-55,72,279
22,2,251,-124,81,283
40,-13,262,-141,70,221
30,-31,258,-137,52,134
20,-25,261,-115,77,4
38,-14,258,-97,111,-118
34,0,266,-107,178,-56
28,3,271,-108,152,-10
27,-4,262,-52,123,11
30,-17,252,-15,87,48
26,-6,259,-7,75,64
26,-2,261,-1,51,60
36,-3,266,-16,75,134
25,-30,267,24,69,130
13,-34,266,105,44,55
20,-16,262,118,-23,-41
28,-15,260,91,-81,-114
37,-8,261,110,-47,-249
25,1,266,136,-19,-266
44,2,259,156,-23,-232
31,5,259,175,22,-173
34,8,262,186,24,-120
36,9,261,160,39,-61
37,14,262,152,46,-42
28,16,257,130,69,35
34,17,270,124,54,28
28,14,259,96,7,20
29,11,257,78,25,-40
36,20,260,37,-1,-51
39,22,259,18,-18,-46
43,16,265,8,-31,-30
44,16,258,10,-5,-26
48,22,255,1,7,-16
60,12,257,3,30,-12
41,21,264,-6,103,32
31,22,264,-34,168,105
28,23,260,-94,191,169
30,5,264,-185,194,223
27,-1,268,-240,164,246
27,1,259,-244,115,212
28,-11,253,-197,84,108
24,-17,264,-130,75,18
33,-6,263,-87,79,-28
21,-12,272,-78,83,-10
23,-1,254,-94,62,26
19,-15,268,-47,42,3
31,-2,252,-30,18,-1
39,-7,264,16,-44,-43
47,0,269,3,-10,3
