
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Kniebeuge"
%
% Proband:
%     "a"
%
% Rows:
%     861
%

@RELATION exercise-1a

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
36,4,255,-6,-417,-322
36,0,246,25,-378,-152
31,-17,255,50,-345,-24
29,7,250,58,-144,55
37,6,249,55,-55,77
47,6,260,49,116,160
31,2,256,24,199,214
32,-11,258,5,179,216
38,-8,252,-15,161,182
30,-12,271,-27,206,140
49,-22,266,-33,163,95
34,-24,254,-35,101,52
28,-21,260,-32,86,-46
36,-9,258,-23,121,-101
34,-24,248,-16,56,-124
41,-11,258,7,29,-141
37,-16,258,17,51,-167
23,-19,252,20,86,-183
34,-7,262,25,72,-178
25,-14,266,34,63,-157
20,-11,258,16,87,-73
1,-46,249,-9,170,-53
8,-37,269,-34,278,-103
22,-30,266,-16,160,30
23,-27,263,46,39,164
10,-44,260,149,1,258
4,-42,249,177,-9,307
2,-33,244,193,1,364
-1,-40,273,240,-21,463
12,7,275,233,-93,544
19,19,256,209,121,572
8,43,273,202,299,557
15,40,276,183,136,620
40,15,262,180,-95,576
26,22,257,181,-47,535
30,25,256,186,-47,448
17,19,261,167,-172,340
35,21,257,135,-158,268
50,25,245,124,-150,178
37,25,262,117,-127,86
44,32,246,113,-153,57
47,22,253,107,-141,63
35,19,258,100,-95,68
40,27,255,71,-102,33
51,27,251,43,-89,5
61,27,252,-7,-44,-23
50,26,257,-63,-108,-79
50,23,258,-120,-126,-86
54,15,266,-148,-205,-74
71,12,249,-157,-289,-36
62,9,244,-143,-177,-15
65,8,251,-125,-168,12
68,3,250,-83,-123,26
61,1,252,-47,8,39
66,3,251,-25,37,42
64,0,254,-2,69,50
61,-1,249,2,68,50
63,-4,251,-8,70,47
67,-1,249,-23,81,10
63,-4,249,-46,52,-18
57,-3,253,-63,108,-28
75,-10,262,-70,140,-41
57,-17,258,-80,128,-47
68,-5,251,-83,133,-36
50,-9,248,-81,142,-43
55,-19,262,-85,169,-45
69,-20,259,-76,167,-49
59,-12,255,-70,187,-47
46,-21,258,-51,232,-51
57,-6,242,-39,331,-87
30,-13,245,-16,457,-113
32,-4,233,11,560,-90
7,-11,207,73,831,-62
-18,3,170,151,1314,-21
-39,1,130,182,1664,14
-55,-9,122,172,1944,38
-89,11,123,115,1962,57
-114,2,130,89,1894,40
-116,15,153,34,1916,122
-237,16,272,-2,1750,102
-250,29,242,3,1597,283
-270,-5,359,-21,1207,72
-255,34,215,-79,-461,25
-331,34,392,-7,521,13
-347,5,327,-45,151,-87
-342,27,308,-48,-138,60
-335,11,285,-64,-36,54
-340,7,290,-72,429,19
-283,1,279,-65,407,-16
-231,-7,233,-39,-52,-41
-221,4,208,-1,519,-118
-246,-22,223,45,570,-160
-180,0,189,45,-1132,-247
-129,-16,158,7,-1886,-254
-153,17,179,-15,-949,-290
-93,10,125,-17,-1296,-213
-99,-3,103,-16,-1980,-103
-51,-10,97,-37,-2255,-66
-38,-1,169,-52,-2014,-119
-36,-24,299,-34,-1289,-130
50,-20,252,7,-1012,-141
36,-3,245,59,-667,-137
-1,4,264,100,-667,-48
28,-20,249,110,-652,119
42,-19,257,47,-344,95
44,-7,250,55,-407,46
50,-18,248,36,-285,68
49,-20,255,25,-139,53
66,-21,250,9,-71,18
62,-5,248,-1,27,4
49,-9,255,-18,48,-9
53,-23,260,-24,75,1
54,-11,257,-24,65,2
56,-8,262,-12,57,-3
55,-8,251,4,61,8
58,-18,257,11,97,2
50,-15,256,21,13,6
41,-14,257,31,37,5
48,-11,262,30,74,13
30,-13,255,24,9,22
49,-12,257,25,4,10
61,-8,249,20,-41,-8
64,-7,249,19,-65,-9
56,-7,246,23,24,-5
63,-12,246,21,63,-12
62,-8,251,25,142,-12
53,-7,255,29,243,-9
49,-13,251,30,333,2
44,-9,256,32,395,-2
27,-12,235,37,558,-37
10,-11,211,43,816,-74
-11,-7,198,52,1066,-87
-15,13,171,62,1279,15
-12,5,100,101,1845,145
-96,-3,55,99,2240,97
-100,-1,78,128,2091,23
-122,23,171,170,1896,77
-156,18,257,-3,1865,181
-222,-13,270,-29,1518,235
-295,23,260,40,1216,242
-262,-3,307,41,167,134
-362,1,348,-63,138,75
-330,23,336,-117,-134,-152
-366,32,354,-28,-144,-164
-346,5,329,-60,-18,-37
-319,-13,311,-83,147,-34
-259,10,248,-61,154,-108
-239,14,232,-46,101,-57
-224,-9,225,-6,119,-46
-187,-11,168,-18,-613,-16
-156,-2,159,-75,-1128,-135
-116,6,171,-44,-1249,-102
-93,1,118,-43,-1430,-28
-88,6,140,-43,-1276,-30
-74,-12,143,23,-1464,-52
-68,5,140,27,-1698,-63
-16,-12,198,-2,-1641,-130
-2,-8,254,13,-1308,-178
12,25,259,32,-1341,-93
50,-22,263,56,-1224,50
27,-9,234,7,-421,80
15,-1,254,-18,-188,-104
56,-6,248,-32,-512,-103
60,-8,264,-62,-483,-18
55,-6,237,-47,-385,-15
53,-7,246,-36,-219,-60
68,-13,252,-38,-192,-46
71,-13,251,-48,-98,-6
64,-16,249,-48,-47,40
62,-10,245,-45,-35,58
79,-17,250,-32,-33,39
80,-20,247,-20,18,18
52,-26,254,-8,29,7
75,-16,242,8,34,-6
58,-21,246,23,82,19
75,-23,257,28,81,35
67,-13,252,27,74,32
66,-8,242,25,86,24
65,-7,244,19,37,23
80,-16,248,16,66,4
55,-15,247,15,61,-2
66,-16,250,11,81,-10
67,-20,256,7,81,-12
60,-19,248,8,78,-7
55,-21,258,13,87,-26
72,-11,252,17,75,-32
62,-16,245,22,55,-50
54,-5,248,16,99,-30
61,-6,252,9,85,-26
54,-14,248,10,96,-37
69,-16,253,8,96,-40
59,-12,262,2,70,-16
