
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Kniebeuge"
%
% Proband:
%     "c"
%
% Rows:
%     788
%

@RELATION exercise-1c

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
51,-5,249,-9,53,28
40,-12,269,-7,75,21
41,-5,259,-6,67,15
53,-10,265,-9,43,16
38,-12,261,-10,35,14
44,-8,263,-7,30,14
46,-4,257,-10,-5,16
72,-2,250,-15,11,24
35,2,259,-12,31,17
45,-14,262,-17,45,28
52,5,252,-16,32,33
41,-14,256,-16,39,32
50,-10,258,-13,38,34
49,-6,260,-9,44,29
58,-11,261,-6,60,23
56,-7,261,-6,55,22
60,-12,265,-9,50,24
38,-11,263,-12,46,28
50,-10,264,-11,26,30
56,-10,264,-14,44,19
66,-12,258,-10,51,27
55,-6,258,-9,64,23
52,-9,260,-8,87,21
58,-11,260,-6,90,12
51,-14,267,-6,98,16
56,-9,258,-4,90,11
42,-16,268,-3,98,16
43,-9,257,-4,101,14
30,-3,261,-6,98,15
41,-6,264,-11,111,13
42,-2,264,-9,124,23
45,-7,261,-11,118,12
56,-8,256,-10,122,19
61,-8,262,-10,87,18
42,-7,267,-13,94,19
54,-10,257,-12,73,20
48,-11,255,-9,87,18
38,-8,268,-6,96,15
40,-3,260,-4,85,14
47,-11,259,1,95,17
44,-13,261,-2,93,18
51,-8,256,-1,65,27
35,-3,264,-6,79,17
37,-9,267,-6,71,31
41,0,260,-9,85,32
41,-3,263,-11,88,33
51,-10,256,-11,86,31
34,-10,272,-11,86,30
38,-13,265,-9,77,24
40,-6,265,-10,75,26
44,-7,263,-12,72,27
39,-12,262,-8,70,21
44,-10,266,-11,63,18
38,-6,263,-9,13,20
35,-7,263,-10,1,9
62,-15,260,-9,9,19
48,-9,258,-13,7,23
60,-12,256,-14,26,24
42,-7,263,-13,7,25
43,-12,261,-13,30,25
52,-7,256,-13,35,22
56,-7,250,-16,33,26
42,-8,262,-14,25,26
45,-3,259,-10,29,21
48,-7,262,-12,31,24
52,-5,255,-11,26,30
47,-9,260,-8,27,20
48,-9,261,-7,45,31
50,-5,254,-7,49,30
48,-8,260,-8,68,28
49,-11,257,-10,66,26
49,-8,257,-9,91,22
51,-8,259,-11,91,21
50,-8,258,-10,93,18
48,-10,259,-14,90,23
46,-8,259,-15,101,23
46,-12,259,-16,92,17
48,-7,259,-12,92,25
41,-12,256,-8,92,14
46,-9,261,-8,111,18
34,-4,259,-6,102,15
46,-14,264,-7,112,14
63,-15,259,-8,91,15
50,-14,261,-7,108,16
38,-9,257,-3,101,11
42,-9,261,-4,99,15
37,-17,267,-4,102,19
46,-8,263,-6,108,22
42,-8,260,-7,89,27
34,-10,269,-6,88,22
35,-6,261,-2,83,20
49,-8,266,-6,110,25
27,-4,255,-9,81,27
25,-10,265,-11,78,24
36,-11,269,-9,81,21
36,4,261,-9,84,21
44,-7,259,-8,73,19
45,-10,263,-10,80,23
43,-14,255,-10,83,23
33,-1,256,-12,86,24
37,-5,259,-15,54,28
25,-13,259,-15,69,23
45,-10,265,-11,60,24
40,-15,269,-15,32,27
27,-9,259,-17,6,32
44,-7,262,-18,20,35
45,-10,266,-14,29,33
38,-10,268,-13,27,27
40,-9,261,-13,23,26
48,-10,265,-12,29,23
45,-12,265,-12,37,22
41,-10,266,-12,57,22
41,-11,260,-16,39,28
39,-8,269,-18,53,37
51,-16,257,-19,82,44
56,-14,257,-19,116,51
41,-8,258,-17,122,57
21,-10,261,-21,156,77
33,-16,265,-21,209,95
32,-2,257,-25,252,91
35,-21,256,-33,292,83
