
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Kniebeuge"
%
% Proband:
%     "d"
%
% Rows:
%     514
%

@RELATION exercise-1d

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-120,35,216,7,671,-144
-158,46,222,0,118,-128
-195,67,273,75,781,-187
-192,37,283,-19,4,-139
-166,61,229,25,-245,-47
-173,37,285,4,-139,-18
-134,44,254,61,-488,-38
-142,55,329,99,-248,-57
-118,34,284,32,-545,-3
-156,54,353,64,-198,0
-164,70,343,69,35,-83
-167,67,334,40,156,-138
-146,45,297,-37,484,-102
-163,34,265,-56,339,2
-144,40,243,-25,317,-25
-143,57,247,31,54,-88
-143,41,253,10,55,-1
-131,35,236,-78,-205,142
-119,38,234,-23,-178,164
-115,40,235,4,-200,141
-121,45,241,14,-94,148
-92,35,253,17,-71,115
-118,46,241,-5,-38,96
-96,49,237,10,-168,99
-92,42,226,21,-251,87
-89,35,213,26,-183,57
-68,42,206,-37,-281,68
-78,47,200,-70,-205,90
-78,40,205,-53,-240,105
-74,30,223,25,-171,84
-48,42,236,70,-226,60
-60,41,238,53,-265,37
-42,53,243,3,-246,60
-62,36,247,-25,-110,109
-53,32,237,-39,-129,111
-53,34,251,-9,71,55
-56,36,245,3,88,-42
-51,43,219,-19,73,-97
-57,36,192,-27,99,-103
-42,24,184,-68,49,-55
-77,25,179,-3,517,-120
-71,51,235,7,697,-138
-82,33,218,-49,376,-80
-101,44,234,-26,386,-7
-115,44,264,19,577,-39
-97,37,206,-1,296,-88
-115,39,234,39,406,-113
-102,43,229,5,348,-91
-121,46,215,1,271,-67
-118,38,242,27,227,-42
-139,38,262,65,310,-57
-119,55,250,70,19,-70
-180,39,288,48,13,-27
-136,42,293,74,-61,-16
-130,53,292,66,-240,-7
-125,41,297,14,-327,-28
-138,42,335,-24,-66,-61
-74,58,357,-43,-5,-72
-120,38,302,-24,149,-50
-166,58,311,-105,582,-22
-177,40,288,-54,946,-80
-165,16,252,18,805,-178
-201,46,252,-18,899,-161
-142,23,214,-131,345,-131
-190,23,233,-34,574,-109
-189,18,199,38,407,-188
-183,40,204,98,332,-217
-185,31,223,66,367,-144
-218,28,223,55,387,-76
-174,36,232,50,171,-76
-205,32,198,45,-35,-31
-210,46,267,78,196,42
-202,19,204,-31,-171,144
-128,64,183,-112,-555,215
-129,35,148,-123,-865,219
-126,16,177,-149,-642,260
-115,25,116,-7,-1093,43
-134,12,214,227,-834,-157
-107,17,253,271,-499,-176
-55,34,233,134,-1010,-61
-81,12,263,72,-744,23
-62,19,234,18,-500,99
-60,17,231,-68,-555,252
-61,25,234,45,-367,223
-40,46,256,39,-306,151
-49,20,275,6,-105,152
-42,38,220,-29,-32,142
-17,29,245,-18,174,148
-54,34,252,15,381,205
-41,31,237,35,304,180
-53,32,230,21,250,89
-56,46,218,29,251,63
-63,27,228,36,281,-9
-54,43,213,-25,273,-77
-79,42,219,-17,447,-70
-64,37,234,-69,269,-19
-110,31,259,-1,628,-72
-68,31,208,-63,176,-108
-77,39,227,-17,187,-135
-118,36,218,-16,398,-100
-122,48,265,5,463,-118
-113,14,246,-3,301,-151
-134,44,263,-26,298,-240
-136,34,240,-12,40,-106
-126,29,271,-64,68,-67
-133,32,265,-48,-29,-8
-142,32,275,27,-45,-27
-107,33,269,43,-251,-47
-122,24,277,99,-83,-96
-118,40,307,2,-110,-40
-141,30,348,16,116,47
-137,38,340,31,23,50
-176,18,366,54,252,0
-163,61,337,26,363,-96
-143,27,309,-2,389,-58
-130,20,260,-21,149,-1
-130,36,248,28,122,-10
-124,37,232,61,-68,38
-119,35,231,85,-100,70
-115,35,249,90,-123,85
-120,46,247,49,-194,117
-89,25,259,24,-195,148
-108,32,251,-5,-158,157
-104,36,258,-5,-61,195
-107,35,243,-20,-158,198
-80,29,235,20,168,149
-127,45,218,73,651,32
-133,50,242,49,-343,-3
-38,30,176,-89,-1730,61
-61,38,220,-11,-265,17
-65,35,199,7,84,7
-46,40,209,-16,-136,75
-74,33,230,1,73,101
-61,23,231,3,-185,46
-53,43,232,-16,-301,9
-37,44,239,5,-243,-23
-48,40,251,17,-64,-28
-59,29,253,31,74,-23
-57,45,263,43,142,-41
-64,44,256,71,276,-24
-62,54,249,25,209,34
-61,28,222,27,229,32
-61,39,225,-28,112,2
-66,33,204,-16,222,-11
-60,38,212,-37,121,36
-51,30,200,-9,166,15
-67,29,209,14,179,-29
-88,33,216,29,479,-60
-85,42,241,-5,421,-37
-87,32,224,-34,328,-70
-102,32,240,-43,302,-95
-110,40,234,-16,536,-171
-108,40,229,17,262,-209
-135,50,266,24,594,-259
-142,40,241,6,184,-219
-126,33,256,-88,-9,-120
-158,29,280,-64,-50,-38
-132,35,265,-6,-107,-40
-104,19,269,7,-517,-149
-140,25,308,82,14,-217
-132,46,336,-49,-122,-165
-127,30,343,-43,209,-29
-109,27,352,-10,-104,53
-172,19,352,135,517,-103
-155,53,331,125,460,-147
-144,37,286,90,570,-51
-138,29,251,-1,172,64
-170,27,242,80,134,50
-114,43,224,69,149,-68
-113,38,241,25,-104,49
-121,34,235,-20,-164,82
-124,32,240,-24,-201,50
-124,42,266,-16,-18,94
-123,39,245,-37,-147,113
-96,21,242,-67,-325,149
-105,37,239,-10,-140,184
-97,34,232,32,-115,173
-99,20,208,34,-162,153
-93,47,197,14,-239,132
-86,35,201,35,-305,154
-95,24,193,51,-450,162
-45,24,218,37,-474,163
-64,31,221,-31,-427,123
-58,48,237,-81,-444,93
-41,30,244,-61,-333,74
-30,34,242,-59,-354,35
-49,36,250,-26,-125,-19
-44,33,249,-15,-59,-81
-36,35,268,9,63,-153
-51,50,256,12,190,-168
-53,37,240,16,168,-167
-70,38,255,32,312,-139
-60,31,213,76,275,-144
-25,21,174,52,-111,-156
-70,31,199,34,268,-130
-64,33,222,-28,625,-14
-61,38,210,-63,380,78
-71,14,258,-45,309,83
-98,32,283,2,583,-75
-98,41,243,-36,687,-106
-63,27,229,-84,225,-58
-101,32,228,-56,277,-7
-78,29,201,-36,-37,-30
-97,14,243,6,377,-46
-106,24,207,-7,299,-68
-129,32,243,-5,432,2
-156,11,271,-71,365,23
-135,9,260,-70,174,-3
-159,43,320,-100,242,-72
-184,39,283,-41,260,-43
-188,18,326,-25,-78,-113
-153,24,284,20,-152,-35
-142,31,320,-4,-346,-12
-189,31,326,39,99,3
-196,13,358,41,130,-78
-199,49,332,-1,779,-195
-175,31,278,-37,299,-90
-157,18,247,-67,77,-19
-150,25,232,26,-2,6
-139,25,226,64,-132,21
-146,14,247,70,-38,60
-124,29,235,-27,-285,83
-132,25,242,-54,-212,146
-133,19,252,-66,-171,244
-119,21,237,-45,-375,254
-103,35,254,20,-286,304
-100,12,245,3,-360,300
-100,32,241,-14,-260,291
-108,21,226,7,-146,219
-79,20,210,11,-156,158
-59,27,193,15,-406,76
-64,22,182,47,-387,35
-53,29,202,35,-522,-11
-79,36,247,75,26,-99
-41,35,215,70,-268,-101
