
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Kniebeuge"
%
% Proband:
%     "e"
%
% Rows:
%     474
%

@RELATION exercise-1e

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
27,-3,261,-29,-17,-151
42,-3,257,-22,-35,-155
36,3,254,-5,-18,-181
34,2,268,8,9,-207
41,10,258,17,1,-226
42,5,261,35,5,-218
47,9,260,35,30,-178
36,6,255,37,54,-162
39,11,256,39,86,-176
39,13,264,40,93,-176
45,18,264,35,48,-152
38,13,249,34,11,-67
51,5,253,40,95,-37
40,8,267,26,83,-58
39,7,262,12,27,-27
53,14,269,-3,-8,-61
45,11,262,-22,-44,-33
46,14,267,-34,-61,11
32,11,265,-34,-23,120
22,5,253,-27,12,243
38,3,237,-30,139,318
4,6,232,-43,423,325
1,3,197,-38,725,368
-16,-17,179,-37,975,370
-26,-24,209,-66,1125,167
-16,18,251,-70,1017,-21
-28,4,248,-74,799,110
-31,6,265,-5,691,193
-45,-14,257,14,638,157
-65,8,262,24,569,124
-78,3,269,2,423,56
-73,9,276,17,417,64
-81,1,267,13,454,60
-87,4,259,-11,350,29
-95,0,259,-9,292,-6
-102,4,273,19,287,-18
-118,-10,269,46,304,0
-127,0,271,2,338,-8
-130,11,257,-5,408,-51
-120,7,261,-12,430,-46
-129,3,250,-26,362,-39
-130,-5,263,-37,325,-46
-148,3,270,-40,285,-67
-146,1,284,-25,243,-50
-146,-6,285,-27,179,20
-163,-13,296,-24,120,21
-184,-7,327,-48,53,5
-173,-10,344,-38,-52,26
-155,-15,343,-25,-116,63
-137,-15,326,-15,-182,49
-122,1,291,31,-302,26
-106,0,266,70,-441,66
-89,0,227,89,-559,52
-76,5,208,90,-625,81
-69,-4,197,75,-667,90
-50,-5,199,73,-709,47
-66,-1,212,54,-629,-33
-54,23,216,34,-590,-83
-35,3,221,27,-546,-49
-31,-12,228,23,-431,-4
-31,1,223,25,-401,-15
-12,6,245,9,-309,-89
-8,-10,249,18,-236,-55
-20,4,236,27,-189,-86
-7,5,256,-13,-105,-33
-18,5,242,-19,-97,-10
13,1,254,-29,17,32
-7,5,246,-31,165,42
-6,4,232,-19,260,24
-15,10,197,-23,411,-27
-20,-1,200,-33,493,-41
-22,13,213,-49,476,-17
-35,8,211,-21,448,69
-20,-5,223,13,484,41
-35,-6,235,-43,489,75
-53,-15,264,-84,523,53
-56,-8,266,-76,580,-20
-76,9,257,-88,667,-27
-103,-4,286,-91,690,23
-92,12,275,-72,591,25
-103,-8,277,-46,479,12
-118,-4,280,-33,464,13
-118,-3,287,-15,392,-62
-124,-5,280,27,322,-52
-144,-19,261,17,295,-7
-142,-16,271,9,313,-28
-149,-4,265,3,357,-106
-139,4,265,-15,412,-84
-165,-25,279,-18,430,-36
-170,-16,285,-22,329,-24
-164,-12,275,-6,205,7
-154,-9,279,7,163,32
-174,-18,286,9,100,59
-195,-7,325,15,17,65
-195,-7,333,28,-81,91
-164,-28,332,33,-357,109
-149,1,321,47,-619,65
-100,0,269,78,-749,80
-96,-6,246,100,-860,115
-74,0,229,91,-873,56
-58,7,208,78,-842,41
-43,1,193,57,-767,-52
-49,4,181,44,-685,-26
-41,9,193,40,-587,-39
-22,1,194,43,-624,-30
-19,6,222,47,-535,27
-6,0,232,31,-519,48
10,7,217,19,-448,56
-5,7,223,37,-314,29
-1,4,259,21,-237,4
17,16,256,-18,-106,1
12,5,254,-26,-4,-6
16,-2,262,-47,76,19
1,3,245,-58,164,2
-24,8,167,-62,364,-40
-18,-9,88,-87,847,-13
-22,21,171,-99,918,19
-38,-12,196,-124,862,187
-43,2,244,-12,929,68
-52,-5,267,-7,904,-29
-69,7,284,-51,824,-33
-92,-14,287,-41,750,-21
-114,-11,283,-26,694,-13
-122,0,292,-42,659,-33
-121,2,275,-49,596,-15
-107,-16,276,-42,437,-15
-128,-10,261,-31,313,-51
-132,-7,269,-20,225,-64
-149,-4,267,-13,130,-58
-156,-19,277,-7,138,-55
-162,-16,285,-9,136,-29
-163,-7,281,-6,160,-20
-166,-24,290,1,141,-7
-173,-17,290,-25,116,12
-170,-26,312,-31,100,50
-192,-28,346,-8,8,38
-169,-29,352,21,-67,47
-144,-16,335,40,-320,15
-127,-4,300,104,-544,-49
-101,-1,279,131,-688,-16
-68,-6,225,121,-756,0
-44,-8,223,93,-765,-6
-47,10,199,77,-675,-33
-63,-1,175,74,-695,31
-36,-10,185,69,-677,52
-16,-1,197,92,-647,78
-30,-4,213,92,-678,77
-12,17,204,50,-603,75
-12,7,225,31,-505,82
5,7,224,38,-478,57
13,-13,237,45,-284,61
