
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Ausfallschritt"
%
% Proband:
%     "a"
%
% Rows:
%     886
%

@RELATION exercise-2a

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
43,2,276,-9,20,-119
33,5,264,-5,9,-137
24,20,254,12,-97,-150
36,13,245,32,-89,-105
56,5,263,30,-64,-81
55,-9,271,16,-194,-74
34,3,257,33,-93,-24
40,-11,251,47,9,-21
52,-13,259,10,-74,-63
69,-6,248,-25,-155,-113
54,-8,254,-39,-22,-76
59,1,254,-34,-40,-77
46,-7,253,-16,-6,-38
57,-1,253,-14,-4,10
56,-3,254,-12,-42,20
62,-8,245,-4,-121,31
74,-14,256,6,-36,24
77,-10,252,9,-23,15
72,-4,252,16,-58,24
63,-10,251,18,-44,18
63,-6,256,22,35,11
69,-12,248,24,47,4
58,1,259,27,71,8
75,10,246,25,94,7
69,-10,249,25,81,11
70,-1,250,15,76,21
61,7,241,6,44,60
58,1,244,11,77,79
56,-6,250,14,140,85
55,-22,229,9,158,49
62,-29,248,7,232,-16
71,-26,268,-34,160,-91
84,-8,274,-26,-16,-30
69,-10,232,16,9,17
64,-11,222,34,109,-23
63,-20,243,60,105,51
87,-28,255,85,34,133
70,-17,248,87,150,197
61,-20,207,104,133,193
70,-27,224,95,361,218
56,-34,200,94,444,228
25,-47,190,125,702,220
-34,-11,165,132,1011,251
-50,-14,187,84,1202,120
-39,50,277,69,896,127
-63,-13,221,82,353,175
-61,34,238,131,8,117
-67,22,292,93,239,3
-76,40,316,136,-83,-32
-84,31,359,94,-38,-163
-65,49,360,98,-151,-192
-80,45,378,68,152,-151
-81,47,383,45,60,-28
-66,50,371,3,-51,68
-74,35,352,-19,-156,184
-67,27,330,-104,-284,233
-66,27,327,-165,-21,295
-51,16,309,-157,-108,214
-21,23,290,-117,-363,176
-14,11,269,-77,-356,88
3,-9,213,-47,-269,-143
35,-44,189,-5,-178,-278
49,-29,199,61,-314,-182
28,-40,207,-31,-269,-74
28,-13,211,-92,-191,-146
33,-35,208,-111,-194,-251
52,-39,230,-122,-280,-232
42,-15,187,-86,-265,-176
33,-23,251,-102,-30,-151
53,-31,234,-90,-101,-210
49,-3,258,-65,154,-139
32,-11,241,-64,85,-117
27,-9,262,-69,-3,-204
72,-12,281,-66,-321,-53
93,1,259,-68,-516,-51
38,-3,262,-69,69,-176
54,19,201,-7,-46,-286
74,-17,265,-2,-47,-60
71,-11,257,-10,-66,-31
56,12,249,32,82,52
49,7,253,37,134,78
60,-8,229,-2,37,57
57,-28,248,-46,-86,14
66,-30,238,-70,-175,-14
79,-32,255,-70,-60,-94
93,-17,272,-79,112,-100
82,-8,233,-13,58,37
42,-22,224,48,261,49
70,-34,226,61,283,119
55,-43,237,106,191,211
80,-28,239,138,188,202
50,-27,224,144,160,216
54,-40,218,139,329,84
58,-33,203,126,373,28
43,-40,201,121,587,-9
11,-12,174,124,673,27
-15,3,140,108,943,5
-49,43,252,96,527,214
-32,-12,239,50,308,197
-59,-4,275,77,641,-96
-78,16,284,-66,233,-315
-104,28,383,-109,567,-278
-102,24,359,-95,220,-231
-71,17,375,-1,-162,-164
-92,16,403,-8,-146,-97
-81,14,411,-31,-134,-10
-70,26,373,-9,-270,182
-69,0,349,10,-356,298
-61,0,330,6,-241,365
-42,5,312,-1,-160,318
-40,9,282,4,-278,212
-14,4,262,11,-369,128
-12,-6,239,28,-247,11
34,-23,194,70,-124,-288
47,-20,168,104,-285,-229
39,-41,162,97,-304,-67
12,-40,209,-20,-25,-28
44,-15,211,-95,-145,-133
65,-32,214,-109,-383,-183
43,-34,261,-77,-41,-94
54,-27,241,-58,-137,-113
46,-19,241,-24,-79,-115
46,-23,257,-27,-177,-90
35,2,258,-33,-81,-21
47,6,236,-23,-69,-54
61,-12,232,-17,-102,24
72,-19,311,-27,-365,-2
63,10,276,-31,-221,-47
76,9,213,41,195,-265
46,-5,251,33,221,-153
85,-9,256,-10,-459,-111
69,-1,251,-2,-198,-110
72,-9,243,9,55,-63
69,-1,243,11,23,-57
76,-1,252,28,-97,-42
78,-11,245,36,-44,12
71,-7,248,39,73,20
67,-5,251,31,62,17
64,-7,242,22,30,18
64,-5,252,5,93,-2
66,-9,247,-4,142,-15
66,-11,251,-13,149,-35
59,-5,256,-11,174,-53
61,-5,254,-9,185,-51
60,-6,254,-12,137,-30
55,-8,255,-14,94,-25
59,-7,254,-10,9,-13
74,-21,256,-5,15,-8
46,-15,262,-10,-16,-13
63,-18,253,-9,-62,-1
85,-20,259,-7,-23,1
71,-13,257,0,-30,12
68,-9,255,0,-15,26
60,-13,248,-1,-90,18
49,-12,246,2,13,8
70,-24,252,-2,45,-1
64,-13,263,-6,17,-4
80,-22,256,-5,13,-13
61,-18,239,-2,12,-15
63,-11,251,-5,54,-18
58,-6,248,-4,58,-31
92,-11,249,1,41,-32
81,-13,257,10,33,-26
75,-10,254,11,18,-22
83,-15,249,9,19,-8
82,-15,249,9,32,-23
82,-15,257,12,97,-12
57,-5,244,9,93,-7
66,-14,259,11,79,-10
88,-21,244,16,93,-13
61,-21,253,19,84,-2
56,-12,269,21,114,-2
