
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Ausfallschritt"
%
% Proband:
%     "b"
%
% Rows:
%     1000
%

@RELATION exercise-2b

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-32,4,267,7,87,-54
-32,5,263,-1,86,-35
-35,5,268,-8,105,-21
-37,6,265,-6,94,-2
-37,7,267,-6,90,12
-37,4,271,-1,141,23
-40,6,263,-3,97,19
-27,4,266,-4,48,29
-41,2,269,-21,4,30
-33,6,260,-34,-62,13
-33,5,263,-29,-66,4
-31,9,271,-27,-86,2
-23,4,264,-29,-99,13
-37,16,257,-25,-55,19
-31,3,263,-18,5,28
-18,3,272,-11,45,36
-30,7,269,-9,40,40
-39,6,271,-5,41,30
-40,8,271,-8,32,19
-35,10,267,-14,20,20
-25,-1,273,-20,25,6
-24,5,267,-23,7,-14
-24,6,265,-22,4,-23
-24,-3,266,-13,13,-27
-30,8,264,-6,30,-19
-17,1,265,-8,39,-15
-23,1,266,-8,42,-5
-18,13,267,-3,69,6
-26,11,259,1,65,18
-18,11,260,2,62,27
-17,3,272,4,50,29
-29,5,271,14,53,22
-34,9,267,18,56,23
-13,1,262,22,68,29
-27,9,264,15,55,19
-37,5,265,12,52,15
-18,3,266,8,59,7
-19,6,260,10,57,6
-22,9,267,4,56,17
-19,-4,273,-2,51,15
-23,-3,271,1,81,8
-8,2,272,0,80,4
-28,-4,271,-1,90,2
-20,12,259,0,108,-1
-42,12,273,2,110,-2
-21,5,276,0,90,12
-28,5,272,-7,88,18
-21,-10,267,-3,111,17
-22,14,264,3,119,20
-37,12,272,-1,97,10
-32,4,265,-4,77,-1
-38,11,274,1,95,0
-28,13,270,3,66,3
-30,8,273,-2,55,6
-25,8,268,0,80,-5
-30,10,263,2,57,0
-37,3,270,1,57,4
-27,12,256,2,51,-2
-31,3,269,4,34,3
-25,10,255,3,45,11
-29,6,266,-2,40,11
-23,7,268,-6,42,15
-25,5,267,-6,31,12
-33,9,268,-7,38,4
-33,5,268,-14,44,28
-33,9,266,-15,30,31
-28,3,268,-16,45,27
-29,6,266,-11,30,22
-26,3,264,-9,30,19
-23,5,266,-11,24,20
-24,5,265,-8,17,14
-36,9,258,-6,24,14
-23,7,266,-6,38,13
-25,6,265,-4,46,1
-23,4,266,-4,52,-2
-23,7,265,2,66,-13
-26,7,265,5,77,-22
-24,5,269,2,76,-16
-22,8,265,-5,69,-15
-25,6,266,-8,67,-15
-26,6,264,-6,63,-13
-25,8,268,-7,61,-6
-26,6,265,-7,61,-3
-23,6,265,-5,58,-4
-22,9,264,-3,64,-3
-25,6,268,-4,77,-8
-25,5,266,1,76,-17
-23,9,269,9,85,-30
-18,19,267,7,86,-32
-27,25,248,10,102,-13
-15,20,233,42,179,-10
-44,-10,213,76,155,-88
-27,-2,284,69,309,-173
-29,2,308,75,561,-228
-18,11,273,54,241,-167
-30,7,238,55,133,-141
-37,5,256,-11,160,-55
-36,7,254,-120,187,131
-20,-22,243,-181,-21,234
-20,-25,223,-181,-109,219
-4,-27,208,-170,-224,159
-5,-32,214,-151,-39,149
-34,-25,225,-118,80,127
-47,-6,227,-52,143,41
-79,33,295,79,321,100
-100,0,279,159,237,109
-121,41,322,113,146,-41
-123,31,309,-4,36,8
-118,37,320,-11,-114,-12
-137,21,362,-23,-188,-77
-117,47,377,-44,-223,-129
-100,30,341,-22,-304,-102
-100,38,326,-8,-286,-84
-73,32,289,-32,-303,34
-63,26,300,-48,-35,65
-3,27,254,-4,53,72
27,-18,228,15,106,154
37,-23,184,-39,-33,234
5,-35,195,-28,93,202
-25,-12,213,-31,493,37
-15,-17,239,-120,491,62
-20,-10,226,-186,312,113
-21,-30,261,-220,38,199
-12,-43,289,-198,-137,197
-13,-40,246,-142,-377,114
-11,-26,234,-110,-444,79
-11,-34,277,-68,-312,110
-9,-39,259,18,50,-5
-6,-14,224,89,98,-159
-21,-14,310,106,166,-222
-21,-14,293,125,102,-237
12,5,258,160,-117,-231
-22,8,271,146,-26,-179
-28,-2,267,143,92,-119
-16,24,256,122,83,-109
-3,-6,252,59,69,-183
-6,-16,257,5,150,-316
-13,-12,262,-52,252,-376
-15,12,321,-76,354,-312
-5,-1,260,-52,225,-194
2,-4,240,-16,0,-144
-2,-6,247,-29,176,-32
-10,-15,234,-33,124,131
-12,-12,177,18,35,204
-7,-37,181,65,48,176
-23,-13,234,73,313,52
-23,-27,257,78,164,16
-9,4,249,68,-4,11
-12,21,207,127,197,-34
-55,-14,258,97,266,146
-92,28,284,105,283,201
-124,48,381,199,433,99
-163,54,381,125,544,105
-163,65,424,-35,415,98
-138,52,343,-107,93,176
-131,28,304,-72,-120,177
-117,27,284,-121,-16,138
-130,29,269,-151,4,141
-117,34,285,-158,112,183
-76,36,260,-154,9,287
-44,9,229,-105,-87,330
-21,-44,216,-9,-225,331
-15,-37,204,30,-350,132
-9,-27,188,44,-360,-19
-34,-2,236,23,-97,-183
-14,1,232,-92,-8,-94
-11,-9,249,-141,-87,41
-16,-16,292,-114,-133,89
-5,-21,262,-83,-378,150
10,-26,240,-53,-403,141
-8,-13,270,-36,-270,102
-1,-2,284,-45,-183,15
