
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Ausfallschritt"
%
% Proband:
%     "c"
%
% Rows:
%     808
%

@RELATION exercise-2c

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
27,-8,267,-3,67,3
22,-16,267,-6,58,3
28,-12,262,-5,55,4
33,-12,260,-3,57,-12
35,-6,258,-4,37,-4
35,-15,255,2,66,-22
26,-11,261,-3,88,-10
38,-12,261,-2,81,-15
35,-11,257,-5,85,-14
28,-15,262,-8,63,-7
25,-13,267,-9,87,-5
22,-7,266,-9,85,-5
32,-11,262,-8,78,7
17,-11,266,-10,79,13
33,-9,256,-8,77,16
17,-10,261,-6,75,18
25,-15,264,-9,63,12
33,-11,255,-5,58,20
31,-11,256,0,61,20
19,-15,266,-6,87,23
29,-14,263,0,61,20
23,-11,262,-3,62,22
26,-19,261,-4,46,20
30,-13,262,-2,58,12
32,-22,264,-2,34,7
28,-15,262,-2,20,9
33,-15,261,-3,11,9
35,-17,263,-2,13,9
31,-11,265,-3,14,11
31,-14,264,-2,9,6
30,-7,260,-4,9,16
32,-14,261,3,19,11
35,-9,259,-3,44,16
33,-11,258,1,26,16
33,-12,262,-2,40,15
33,-12,262,-2,44,19
33,-13,257,3,47,15
38,-12,258,-3,48,24
37,-12,256,-3,46,28
31,-12,259,1,53,30
32,-12,259,0,71,25
32,-13,261,2,89,15
32,-14,259,5,84,10
34,-15,266,3,102,0
30,-12,258,11,92,0
30,-20,265,-1,107,8
45,-17,256,1,81,1
32,-12,257,2,81,-3
36,-12,269,8,58,5
14,-19,253,22,73,6
21,-6,257,34,71,15
34,-22,270,37,70,41
34,-5,264,52,80,48
16,-10,261,54,64,55
29,-18,267,53,54,47
37,-10,266,54,22,38
32,-12,269,50,58,32
36,-1,262,52,60,54
31,-7,257,46,62,75
40,-8,260,49,56,81
24,-3,260,56,70,93
25,3,259,69,85,105
25,13,261,70,97,120
23,-3,261,53,118,172
22,3,261,61,193,199
11,16,266,83,217,228
8,16,267,78,251,288
17,10,275,47,239,287
15,13,261,44,199,231
18,22,262,26,125,124
3,16,265,2,102,77
7,18,263,-39,63,-12
11,21,270,-82,-50,-54
7,10,266,-125,-104,-77
16,1,253,-146,157,-71
26,-13,265,-180,172,-73
17,-23,270,-214,135,-115
9,-48,263,-237,200,-196
21,-33,266,-211,160,-220
19,-33,273,-145,84,-155
27,-38,254,-89,-42,-73
35,-42,257,-61,-102,-41
24,-47,261,-5,-155,30
33,-36,264,37,-120,70
35,-21,249,81,-127,61
34,-20,267,101,5,93
14,-17,255,119,-51,107
24,-20,252,122,71,75
22,-18,258,113,123,40
24,-6,263,101,165,11
12,-3,262,135,184,16
15,11,237,164,239,38
3,14,286,162,159,121
47,12,275,156,67,130
44,5,289,120,88,121
37,7,255,57,-113,82
36,18,243,25,14,40
39,10,244,-9,8,31
47,21,239,-55,-56,-44
62,16,242,-94,-3,-143
37,13,234,-124,-13,-203
69,16,250,-178,-51,-302
75,29,245,-233,35,-336
75,31,295,-258,116,-348
57,-5,307,-213,217,-316
1,-41,261,-110,574,-125
-82,-49,211,-43,442,32
-111,-52,208,-19,740,-11
-72,-46,223,0,737,105
-79,-59,236,-34,443,237
-75,-42,220,1,292,187
-59,-18,265,-8,64,161
-21,4,294,-12,-77,154
-22,-9,261,58,-38,138
-30,-27,263,60,-107,58
-8,-7,288,-25,-256,119
-12,-18,277,-6,-178,133
-22,-28,284,-15,-160,113
-10,-24,289,-30,8,55
-9,-18,282,-66,90,99
-19,-19,264,-74,140,123
-11,-25,280,-49,152,85
-16,-23,284,-53,84,79
-16,-21,293,-40,64,63
-9,-23,300,-27,15,47
-3,-26,278,-26,76,-4
-9,-8,278,-16,28,9
-5,-18,275,12,-6,35
-2,-11,264,44,-17,14
-8,-20,263,49,-32,16
-3,-18,277,32,-5,18
-17,-19,281,30,-8,10
-5,-21,294,19,-13,9
-14,-15,299,3,20,6
-22,-28,307,-10,50,12
-15,-29,297,-13,48,2
-27,-21,297,-17,36,-11
-20,-25,294,0,42,-12
-24,-23,290,0,34,-4
-19,-15,274,-3,38,16
-16,-22,259,1,0,18
-16,-22,257,13,33,-21
-14,-25,254,-2,-25,-59
-11,-24,255,2,-89,-71
-25,-30,257,7,-72,-90
-22,-23,256,19,-32,-116
-23,-29,251,1,-53,-116
-26,-53,258,-20,-18,-124
-1,-24,270,-27,23,-128
-4,-22,253,-8,49,-67
-4,-22,256,20,-5,20
55,5,241,66,88,53
11,12,231,84,171,80
39,24,284,120,108,-34
53,7,282,104,73,-27
65,27,276,79,227,57
22,28,260,136,94,13
49,26,262,105,68,51
30,29,231,93,79,71
30,23,222,-1,2,161
32,10,250,-21,16,133
41,16,257,-53,16,37
14,15,253,-51,8,26
12,26,240,-12,44,25
14,3,266,7,97,20
11,26,269,3,-76,85
14,-4,260,36,133,268
12,-15,268,20,247,223
-1,-10,255,-12,0,56
-5,-34,248,-39,24,41
-4,-26,266,-71,10,53
15,-13,273,-62,155,29
21,-24,264,-73,100,88
20,-18,258,-64,74,73
28,-15,252,-38,40,92
17,-21,242,-8,17,167
22,-22,239,8,-49,231
55,-10,255,50,-126,291
60,-22,237,102,-218,397
52,-41,253,133,-179,392
62,-7,233,120,-221,350
58,-35,196,119,-12,310
17,-13,230,95,102,248
-32,-39,260,-48,37,184
7,36,279,-81,429,-44
-30,-16,247,0,402,135
-45,-4,254,116,306,145
-39,1,254,147,275,-134
-36,-10,265,147,343,-373
-29,39,249,53,249,-382
-15,20,266,-3,183,-206
-25,0,264,1,45,-114
-31,7,295,-89,-60,7
-16,8,310,-87,-42,165
-9,-24,297,-38,48,114
-9,9,304,-53,31,30
-20,-5,296,-82,-12,15
-3,-14,289,-63,35,-8
-18,-3,298,-68,47,-5
-19,1,286,-45,89,-8
-19,-14,290,-30,92,34
-21,0,279,7,31,66
-2,-7,293,28,70,53
-22,-14,288,19,-10,-4
-27,2,300,-3,-7,-4
-16,-12,308,17,3,-17
-17,3,299,18,-6,-1
-16,-3,294,24,-3,16
-6,-2,293,32,-22,10
-26,-8,293,19,-28,12
-10,12,276,23,23,-8
-11,8,285,19,49,11
-15,10,268,40,79,74
-21,11,256,57,79,130
-18,12,266,68,74,150
-19,12,256,92,84,176
-23,1,259,83,101,103
-11,15,245,60,37,88
-15,-4,242,32,-3,47
3,32,260,1,-95,36
24,-19,246,0,-89,62
42,-15,239,-1,-59,-64
46,-21,270,-189,-106,8
45,-42,277,-215,29,-18
70,-32,281,-219,151,-273
62,-23,262,-301,25,-242
25,-31,251,-170,139,-247
30,-31,248,-109,145,-218
30,-23,232,-91,141,-178
12,-19,226,-29,127,-177
37,-31,249,1,75,-189
17,-28,251,12,4,-203
28,-24,262,18,46,-110
11,-10,237,40,9,-83
18,-23,248,52,42,-70
13,-24,280,18,61,-26
6,-4,256,7,136,-55
18,9,255,37,227,-77
3,-18,261,88,116,-74
12,-9,267,67,51,-31
20,20,249,79,102,0
5,7,249,96,137,74
43,7,283,72,2,69
32,9,268,47,-86,132
40,-11,268,45,-178,109
28,5,233,48,-115,4
46,11,232,38,62,-45
48,0,237,29,-65,-153
63,15,225,-32,-124,-223
55,25,223,-67,-215,-251
72,28,242,-65,-244,-236
92,24,259,-52,-159,-148
79,24,193,6,-114,-146
85,57,174,26,172,-97
-21,26,259,5,-46,-10
-19,-113,351,-11,81,224
-28,-8,273,-1,454,281
-52,-26,248,-50,579,301
-45,-27,296,-30,362,244
-61,-38,284,-30,423,123
-32,-18,276,-16,362,22
-37,11,281,32,277,32
-22,-13,290,70,315,112
-33,-7,290,64,300,94
-29,13,302,97,215,108
-37,-22,290,133,201,70
-22,0,295,124,185,-28
-47,6,276,92,168,-73
-17,15,297,80,115,-4
-33,2,282,90,141,28
-38,30,326,37,27,59
-43,-14,277,34,72,-5
-38,11,297,10,4,-86
-47,3,300,-43,-27,-61
-28,26,293,-3,14,-18
-40,1,285,29,2,-34
-17,3,285,63,-45,-84
-26,21,270,98,-30,-70
-29,6,271,117,-54,-83
-26,6,266,154,-119,-129
-30,-1,259,99,-118,-251
-26,7,279,49,-166,-233
-43,-17,279,-20,-199,-247
-20,8,287,-98,-153,-294
-27,1,276,-138,-27,-187
-8,3,272,-136,-58,-77
26,9,268,-122,0,16
53,44,216,-72,60,55
17,43,249,62,114,58
60,18,269,192,134,70
6,8,248,219,256,150
35,35,244,255,186,-11
24,65,229,233,122,-35
5,34,245,200,77,-28
35,54,257,130,-31,-24
-7,51,238,33,94,72
10,36,260,-34,131,182
18,43,256,-32,184,180
18,35,244,-124,185,216
12,44,254,-123,184,97
9,50,240,-149,209,67
-4,35,250,-167,152,135
20,39,261,-123,130,112
-10,23,258,-115,127,155
-13,25,257,-138,66,229
-15,17,266,-102,124,163
-6,19,278,-99,65,168
-46,-4,219,-68,64,84
-9,3,296,-123,-20,104
11,-17,298,-94,-59,127
20,6,283,-95,89,221
2,-2,239,-19,78,151
8,4,250,33,123,42
8,1,243,47,90,94
25,0,241,99,121,174
38,-9,273,127,36,245
22,-1,259,117,-184,327
40,-2,238,96,-142,357
35,0,206,56,-83,241
-19,-11,235,-55,-170,264
-68,29,259,-213,-7,73
-4,26,298,-225,479,0
-25,-17,225,-187,350,14
-59,19,216,-240,258,50
-54,2,239,-140,332,-35
-76,2,237,-100,296,-26
-59,-19,300,-100,270,9
-40,-7,284,-37,264,-73
-37,-5,295,-51,178,18
-43,-24,313,10,79,-38
-57,2,292,70,124,-158
-40,4,317,32,-28,-130
-49,-8,301,62,58,-174
-31,9,311,24,15,-102
-40,6,288,34,20,-25
-48,-14,305,42,-10,-15
-34,0,294,29,-14,-36
-45,-14,303,8,-39,-50
-39,-8,311,-19,-54,-40
-50,-6,306,-29,-38,-69
-47,1,303,-41,-63,-37
-38,-6,289,-10,-29,-22
-36,-5,294,-1,-10,-51
-31,7,282,4,-11,-38
-30,-10,276,19,32,-37
-29,3,253,17,30,-58
-25,-1,257,-17,-55,-18
-28,2,263,0,-25,-10
-17,8,237,-17,-17,10
-21,6,242,-29,62,151
-20,0,254,4,-43,181
-18,5,256,27,-102,171
-3,-2,264,7,-72,202
13,-8,254,-27,-356,155
30,-19,261,-136,-379,135
24,-38,257,-317,-169,31
46,-15,269,-361,-85,-5
29,-39,239,-359,86,60
39,-47,258,-309,186,-16
24,-47,257,-258,126,25
29,-37,244,-98,120,-10
25,-51,238,22,98,-64
11,-36,236,117,144,-181
20,-34,250,133,88,-191
34,-23,259,171,91,-173
24,-29,252,163,4,-56
18,-29,256,184,-27,-51
20,-32,253,160,20,-27
19,-22,254,129,37,-14
19,-11,256,114,78,-23
19,-26,277,100,50,16
11,-30,254,47,108,-24
22,14,269,37,182,-139
8,-7,262,51,25,-52
16,-5,264,61,87,-42
15,1,263,61,65,-31
14,1,269,65,52,27
27,0,260,59,52,51
17,-4,264,56,4,60
20,0,270,46,12,36
15,-1,257,47,26,39
16,-8,269,52,54,41
11,-1,277,37,48,51
17,2,258,45,86,39
7,6,255,42,41,49
1,0,268,59,95,53
22,-1,262,66,125,59
28,8,252,45,108,87
32,9,277,2,39,103
37,-1,288,-1,-60,30
41,2,259,-24,-94,-100
34,11,238,-71,-45,-72
29,8,230,-81,-155,-91
46,-4,253,-99,-175,-227
68,19,224,-133,-200,-345
74,19,239,-135,-158,-390
78,28,232,-114,-147,-458
75,18,202,-21,98,-496
20,30,194,-37,248,-493
-34,42,253,-72,234,-268
-35,-102,299,-84,586,326
-10,2,255,-26,901,326
-83,-39,242,-118,793,357
-57,-47,290,-79,329,260
-63,-35,272,-118,377,172
-44,-19,296,-91,303,166
-65,-34,272,-75,186,272
-69,-23,298,14,237,198
-50,-20,300,4,176,160
-63,-35,297,-2,214,100
-39,-27,297,-48,101,60
-42,-26,305,-30,63,-7
-26,-19,299,-53,61,68
-39,-26,277,-51,6,50
-37,-26,286,-52,7,26
-40,-17,281,-56,5,-12
-27,-18,278,-42,-35,35
-30,-36,306,-11,-61,33
-35,-29,308,-2,-46,25
-47,-43,298,4,-31,-14
-43,-23,303,1,12,-52
-60,-24,293,18,-12,-79
-61,-25,297,20,35,-76
-66,-32,289,11,88,-38
-59,-30,284,10,116,-48
-76,-55,274,-16,84,-95
-78,-45,275,-85,29,-180
-57,-63,272,-124,-78,-318
-61,-46,262,-160,-176,-319
-19,-18,244,-187,-150,-313
20,-13,232,-123,3,-195
11,2,211,-115,-67,-81
20,8,242,-76,-156,-57
22,-16,256,-50,43,121
21,-26,258,-27,203,309
6,-15,260,-9,243,252
18,-6,261,42,332,230
20,-28,254,74,258,243
3,-13,249,86,170,273
12,-14,252,120,62,258
15,-14,254,126,-41,242
1,-12,260,122,-134,223
16,-11,255,125,-157,199
9,2,235,113,-96,200
-3,3,251,111,-108,203
11,-1,279,102,-180,180
20,-42,280,82,-141,165
19,-37,244,13,-64,162
3,-36,242,-88,-162,95
17,-45,270,-95,-126,-43
37,-31,285,-119,-128,-27
33,-29,256,-91,-139,4
32,-40,247,-42,-160,11
25,-35,250,-39,-88,44
35,-37,235,-26,-37,70
12,-39,242,30,31,109
40,-43,259,53,-14,84
50,-24,247,71,-57,118
50,-43,250,110,-44,140
65,-28,224,156,-28,124
56,-45,218,154,-3,133
67,-35,214,160,-77,130
74,-42,224,187,13,112
76,-30,220,214,17,44
25,6,241,196,182,23
-6,-54,289,56,3,-28
25,49,262,92,227,-284
-26,37,257,3,684,-176
-3,12,258,25,206,77
-42,-11,231,2,112,-108
-18,5,285,-49,83,-164
-54,26,269,-125,205,-77
-21,11,294,-7,438,-25
-40,-26,315,7,320,-26
-38,11,319,-14,186,-84
-18,10,326,-8,219,-24
-27,10,295,43,204,-26
-27,1,307,65,51,-14
-23,17,297,67,17,-53
-22,15,288,43,7,-1
-7,13,289,40,11,-10
-10,13,269,34,11,-4
-19,-2,282,-6,-36,-6
-22,9,310,-22,-2,-5
-27,-8,309,-25,41,-36
-33,0,311,-22,15,-54
-24,3,307,-25,-1,-73
-16,-6,306,-15,89,-59
-7,11,290,-2,36,-32
-19,11,288,11,27,-11
-11,7,276,24,24,12
-7,-1,268,-4,49,-11
-22,-2,268,-52,58,66
-21,19,251,-39,41,105
-29,15,264,37,81,109
-21,13,247,68,127,123
-33,10,237,73,42,206
-7,14,231,102,84,162
-35,6,229,79,32,147
3,10,260,0,-127,169
1,-11,209,-26,-208,38
5,-22,260,-88,77,-59
29,-11,296,-277,-4,-56
74,-34,300,-249,212,-296
24,-18,265,-298,-19,-248
38,-13,266,-244,47,-131
22,-5,259,-146,152,35
23,-39,242,45,207,43
20,-46,256,63,186,20
20,-27,249,59,50,-23
23,-16,261,100,108,-58
15,-19,242,91,47,-46
2,-18,240,84,39,-54
20,-23,278,28,-41,-70
5,-17,261,0,-53,-104
21,-11,251,-5,87,-86
14,-14,270,-35,-61,-34
9,-9,258,-59,-23,-42
9,9,256,-31,138,-113
4,6,267,18,69,-108
