
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Ausfallschritt"
%
% Proband:
%     "d"
%
% Rows:
%     559
%

@RELATION exercise-2d

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-54,-1,266,-117,422,54
-100,15,308,-131,252,153
-80,-8,259,-50,57,212
-105,-5,284,-39,294,183
-135,8,325,-15,443,151
-134,-9,306,55,377,153
-123,7,295,61,168,90
-123,14,281,89,199,33
-136,9,302,107,46,-1
-130,8,311,61,62,-11
-126,19,296,53,-86,-14
-133,26,300,57,12,22
-124,18,289,66,-10,37
-110,8,291,55,-29,-11
-90,11,281,36,-78,-33
-63,14,258,-15,-205,-36
-42,31,247,-52,-183,-53
-3,15,208,-57,-250,-21
58,17,214,-68,-540,-27
22,31,213,-119,-317,-34
17,6,221,-48,4,71
18,33,272,-22,188,135
14,23,294,83,122,74
16,41,297,118,21,-12
-10,30,251,79,-197,-27
9,43,199,14,-313,33
32,17,180,40,-319,50
-33,19,303,118,274,126
-1,-14,280,-3,319,169
-11,21,293,-78,285,146
-22,3,246,-7,202,41
-22,-9,221,-7,-13,-93
-14,3,246,28,-88,-242
4,3,271,37,124,-301
-13,18,301,-2,324,-311
-8,18,275,47,263,-292
10,22,238,15,-344,-260
33,19,222,-1,-582,-171
38,6,251,-42,-199,23
34,17,226,-71,-90,105
46,-1,224,-46,-231,145
40,-2,224,-47,13,224
42,-13,206,-22,51,222
28,26,255,77,72,195
11,-12,225,175,471,75
21,69,278,109,666,27
-95,-18,267,212,1012,-66
-55,10,258,53,84,-96
-150,41,324,114,829,-312
-83,57,260,53,92,-404
-126,20,317,89,454,-356
-111,43,273,23,189,-347
-114,40,282,16,233,-260
-104,12,294,16,130,-224
-116,31,291,-19,-96,-178
-134,21,321,30,243,-190
-154,31,343,58,463,-152
-132,20,310,65,205,-117
-149,42,285,77,173,-49
-155,42,272,90,203,11
-133,44,273,88,146,65
-131,31,260,92,-92,122
-132,23,244,-15,-295,209
-133,39,264,-73,-328,214
-125,59,256,-94,-378,253
-77,47,218,-115,-589,206
-9,20,193,-171,-458,165
22,-7,211,-175,-268,142
17,20,214,-117,-100,196
0,-41,226,-134,-82,155
20,-4,262,-172,91,64
11,-9,278,-188,67,-105
-19,16,294,-122,455,-185
0,0,276,-12,350,-159
-14,1,257,9,271,-38
-31,4,269,87,561,102
-40,-15,238,99,268,101
-18,-5,253,107,-270,17
-56,-3,255,113,-45,-20
-39,-3,252,90,-297,-63
-32,14,261,61,-389,-89
-28,2,262,46,-316,-122
-20,9,251,27,-166,-160
-16,18,269,23,-69,-176
-30,30,289,42,41,-175
-17,28,250,68,-86,-82
4,38,244,63,-92,-5
2,40,304,87,150,39
-17,32,278,75,85,42
19,34,221,15,-165,86
8,21,241,18,-9,76
3,35,257,36,132,32
10,29,245,-12,65,-19
25,43,229,-57,-2,-10
-2,14,224,-85,-36,-15
32,39,245,-91,92,-107
7,35,276,-88,381,-149
12,47,228,-130,189,-89
