
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Ausfallschritt"
%
% Proband:
%     "e"
%
% Rows:
%     456
%

@RELATION exercise-2e

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
16,9,270,48,40,-1
11,23,268,38,50,-6
18,12,258,21,22,-8
16,14,269,4,39,-2
19,20,263,12,66,7
30,12,267,7,33,20
20,14,268,-14,34,-20
30,18,262,-9,27,-20
19,11,260,-11,50,-9
21,8,264,-15,47,-18
8,17,263,-12,50,-15
21,15,262,-13,71,0
22,13,265,-12,56,-15
28,15,264,-11,60,-8
25,12,262,-3,64,-6
18,16,268,1,67,0
17,18,266,0,49,-3
19,15,260,11,34,10
4,21,264,13,28,-5
30,14,260,8,20,1
6,9,266,5,77,-10
17,9,259,6,95,-19
19,11,272,1,106,-3
14,13,262,5,86,-14
14,7,267,2,65,-5
8,10,265,3,80,13
22,10,261,5,75,1
5,16,261,7,83,19
16,12,259,16,85,35
18,15,270,20,75,36
21,14,260,23,29,33
15,13,262,23,37,51
20,11,261,20,57,29
16,12,259,10,55,5
11,20,261,-3,103,-6
17,13,263,-9,116,-11
6,13,265,-8,103,11
3,13,267,-3,85,23
14,13,263,3,85,39
9,15,263,8,47,59
18,14,261,11,12,49
13,15,262,18,22,34
16,16,273,24,56,41
6,13,270,15,42,39
3,14,258,0,31,39
16,11,251,2,48,42
20,6,262,12,104,2
6,26,273,23,116,-10
16,33,278,24,77,85
13,22,273,59,104,215
4,23,262,93,97,256
3,23,255,122,-3,366
0,4,251,120,84,423
5,-8,245,82,98,399
19,-25,243,-3,104,296
34,-2,217,-55,-52,78
-5,8,178,-73,-140,-25
29,3,198,-78,-20,-44
6,37,201,-88,-16,-123
20,13,238,-60,-90,-79
13,25,257,-5,-43,-164
8,24,266,15,-59,-232
21,-2,299,-32,5,-233
17,17,304,-58,9,-252
23,10,292,-90,-129,-218
17,16,294,-82,-79,-142
36,12,276,-83,-85,-139
34,9,290,-102,-107,-139
42,12,282,-103,-87,-106
56,12,288,-89,-94,-93
46,4,310,-88,-39,-56
49,6,313,-49,10,-84
57,6,340,-6,125,-98
68,0,341,-2,131,-131
60,15,324,-1,227,-91
60,20,323,15,348,65
46,6,313,9,332,97
55,-7,328,34,424,154
68,-14,325,63,354,133
42,-25,311,52,303,49
11,-7,251,3,174,-64
-49,35,197,25,139,-27
-51,55,160,59,143,75
-26,19,185,81,256,273
-35,34,205,39,228,407
-20,26,209,11,129,549
-15,5,212,12,67,557
-34,-10,224,-49,88,358
-37,-7,232,-100,221,-16
-39,-1,265,-142,251,-314
-4,-20,272,-200,243,-725
-42,28,195,-288,262,-1029
-62,15,247,-291,449,-868
-16,20,280,-278,506,-536
-24,13,259,-162,193,188
-20,-52,231,-30,36,646
-55,-80,226,7,119,700
-59,-65,219,37,46,509
-58,-60,210,50,-93,290
-84,-52,200,69,-102,158
-75,-31,216,76,52,-66
-34,2,245,92,38,-5
4,10,302,121,-132,31
19,12,277,174,-411,-39
16,26,270,198,-437,5
74,46,304,220,-273,131
22,5,268,175,-557,167
24,-5,296,132,-486,259
30,13,294,105,-363,126
30,6,272,75,-358,65
45,8,287,47,-365,-21
65,18,323,26,-142,-39
61,5,332,13,-100,-24
65,13,349,-8,82,-35
86,10,350,-33,249,-27
75,16,342,-45,312,-5
71,19,332,-46,342,-38
88,25,323,-53,384,-43
71,38,327,-57,357,-13
81,62,347,-38,406,39
-34,-19,273,25,341,98
-62,-36,239,22,431,-200
-63,-60,199,-16,356,-202
-39,-36,188,-87,78,-370
-27,-17,180,-139,-145,-439
2,-1,176,-141,-170,-445
-1,5,195,-72,-185,-436
10,7,205,-7,-165,-375
-4,-1,226,2,-85,-217
16,7,242,21,20,155
31,12,242,152,-6,554
24,-1,260,246,-51,813
-9,-43,287,204,139,1037
-24,27,224,160,445,1021
-36,-44,299,121,419,542
-36,22,292,95,155,149
-21,17,255,122,-19,-285
-31,41,205,107,-91,-583
-47,53,184,108,-82,-568
-45,44,174,132,25,-518
-33,27,188,88,151,-381
-52,30,205,-22,161,-244
-49,35,232,-16,-5,18
-3,-5,269,-45,-122,38
13,3,306,-69,-302,-66
30,2,296,-109,-427,-36
72,22,305,-78,-379,-42
51,23,307,-59,-517,-104
88,14,287,-53,-414,-122
57,4,277,-64,-197,-35
52,11,277,-74,-68,-68
71,-3,280,-63,-59,-73
56,13,282,-32,-122,-97
89,12,295,-11,-163,-134
90,7,328,8,-90,-82
88,10,336,-2,-52,-106
96,18,343,-17,156,-18
96,17,330,8,282,18
91,23,323,14,386,34
94,-2,327,9,565,92
85,0,348,-3,685,93
48,-3,321,-14,522,19
-34,37,222,-30,285,11
-70,70,180,44,444,226
-41,17,172,79,545,388
-51,28,167,42,374,450
-22,38,202,-23,144,677
-24,-2,229,-35,45,723
-21,-11,228,-96,42,504
-27,-6,250,-194,72,254
-23,5,227,-233,10,-206
-11,-22,236,-237,11,-529
-25,30,236,-274,88,-1021
-37,-9,302,-264,412,-876
-30,3,285,-270,463,-568
0,-2,256,-129,242,-30
-17,-29,218,-35,17,430
-42,-51,216,2,115,559
-70,-63,203,-8,272,619
-72,-62,190,-13,307,445
-81,-63,200,-26,229,80
-69,-42,198,-11,149,-149
-67,-25,200,41,-13,-249
-23,17,239,122,-186,-196
11,45,291,213,-367,-120
24,-5,270,298,-730,-9
73,-2,312,258,-622,41
63,12,284,173,-734,131
82,20,274,163,-750,188
95,31,306,213,-745,178
88,6,323,222,-510,185
94,3,296,173,-326,147
100,4,311,107,-100,66
72,4,306,18,-25,-21
88,2,320,-2,89,-37
105,11,334,-41,259,-83
109,19,327,-87,411,-82
124,19,336,-98,526,-67
101,10,349,-94,604,3
90,45,329,-67,507,61
15,14,288,-17,466,177
-49,-37,234,34,490,74
-58,-64,189,31,475,-114
-37,-33,204,-38,266,-275
-29,-21,197,-63,92,-375
-10,-12,187,-43,-63,-527
5,-10,191,-15,-53,-602
-7,10,200,6,-92,-530
2,2,213,28,-114,-368
4,19,233,69,-45,-26
31,11,233,102,9,277
37,10,257,180,85,708
-22,-19,274,137,99,1093
-17,13,308,140,398,1203
-25,7,275,114,405,780
-8,3,280,123,32,348
-2,23,253,93,-171,-260
-21,28,243,52,-167,-448
-25,36,183,40,-41,-525
-47,42,168,57,178,-522
-20,43,172,40,162,-445
-61,30,204,2,138,-206
-27,26,218,-20,17,-15
-38,35,218,-3,21,96
-11,9,276,-58,-3,60
66,-13,308,-99,-180,-141
25,4,306,-132,-295,-272
14,31,289,-139,-389,-225
81,21,300,-69,-324,-211
104,6,294,-66,-468,-219
65,14,308,-64,-294,-213
74,13,281,-27,-95,-67
74,3,284,26,-102,-70
75,22,320,27,-93,-101
91,38,338,35,-52,-93
93,17,342,36,126,-18
79,22,335,8,281,15
90,-2,351,-33,531,33
61,11,346,-59,642,3
63,-6,353,-82,655,-40
73,-23,336,-91,551,-96
4,0,234,-89,307,-251
-61,42,179,-80,210,-125
-55,54,167,-25,276,122
-49,31,166,28,312,489
-31,18,185,22,191,803
-35,17,202,-7,156,873
-34,-12,217,-63,158,862
-36,-11,239,-84,166,506
-24,1,253,-94,27,210
-23,-6,235,-112,-266,-216
-12,15,274,-125,-218,-714
-27,-20,203,-139,54,-1014
3,0,291,-189,352,-1129
-28,8,260,-254,283,-734
22,6,260,-179,354,15
-39,-9,201,-91,118,393
-33,-44,204,9,133,788
-59,-55,186,46,151,716
-73,-58,184,28,124,568
-66,-66,210,-26,144,184
-55,-40,232,-40,-6,-213
-65,-26,245,-10,-217,-376
-5,20,294,52,-326,-336
54,21,309,154,-551,-176
72,15,274,175,-764,-119
66,10,269,132,-761,-14
65,-7,287,104,-474,116
72,15,279,106,-383,69
109,1,311,106,-385,131
93,-10,317,150,-364,159
87,4,354,142,-37,136
106,-7,347,79,166,62
98,8,338,54,278,18
71,9,330,37,369,-46
88,2,324,-41,477,-143
78,15,314,-106,513,-201
78,28,334,-143,555,-153
63,74,331,-102,447,-28
-10,-19,252,-19,238,95
-61,-68,235,42,276,10
-68,-78,188,-27,354,-143
-45,-41,193,-67,291,-353
-27,-30,187,-126,92,-608
-9,-3,180,-126,43,-762
-11,12,189,-86,47,-722
-12,18,195,-25,74,-574
-9,2,244,8,111,-146
0,4,232,78,103,347
10,-1,251,134,153,703
-17,7,231,224,235,1307
-72,-9,191,319,583,1596
-53,-14,362,381,809,1327
-57,-19,304,323,421,531
-43,11,275,251,71,-135
-66,52,227,202,-226,-469
-72,59,186,169,-265,-610
-52,50,159,78,-232,-635
-51,48,176,-18,-84,-497
-54,47,185,-103,-14,-317
-37,31,211,-154,60,-113
-21,-12,291,-203,-46,-109
21,27,304,-194,-185,-134
12,6,300,-166,-437,-233
64,21,322,-159,-349,-265
62,7,336,-121,-646,-275
64,13,316,-124,-791,-242
59,16,283,-117,-681,-120
65,-17,268,-91,-443,-12
96,-6,267,-67,-292,10
77,-18,296,-65,-204,17
78,-1,322,-110,-141,-68
96,-4,330,-93,19,42
75,-3,343,-57,322,190
77,-21,349,20,565,264
97,-22,363,92,775,228
97,-36,367,153,759,116
59,-11,345,191,457,-206
-35,12,231,143,249,-339
-67,65,174,104,363,-206
-47,27,165,100,400,195
-46,44,145,48,223,527
-19,30,185,47,121,840
-37,23,207,62,43,935
-32,-24,219,4,124,898
-29,-25,248,-55,88,434
-4,-24,247,-108,9,44
-24,-5,240,-198,-173,-650
-43,41,226,-287,-247,-1160
7,-27,249,-284,291,-1121
-58,33,249,-412,582,-1090
-36,23,282,-277,578,-373
-20,17,251,-180,392,82
-51,-26,193,-1,31,750
-56,-56,181,61,176,1029
-81,-80,177,60,139,839
-78,-84,200,50,160,532
-79,-49,230,-14,96,16
-74,-5,251,-23,-87,-178
-6,6,282,29,-147,-168
9,16,276,120,-266,-8
4,8,295,176,-340,70
14,-18,293,145,-308,167
22,5,308,141,-235,66
22,-8,305,150,-439,61
39,11,305,112,-466,46
49,-3,308,91,-461,-23
47,1,304,39,-411,-103
61,8,316,-21,-131,14
58,3,345,7,-32,36
67,-2,343,17,25,40
60,-2,342,-19,109,27
48,1,332,-46,195,0
61,-2,320,-94,301,22
60,7,311,-131,394,29
62,15,314,-125,443,71
54,19,336,-82,412,174
26,-8,290,-26,229,239
-47,-65,216,40,181,48
-78,-58,182,63,255,-220
-58,-44,189,40,154,-459
-22,-21,172,30,-36,-739
-17,-24,189,23,-111,-872
-2,-2,198,-3,-64,-880
-12,17,198,-20,-103,-706
-6,29,227,19,-50,-417
-1,18,232,112,39,296
9,29,259,247,220,960
-21,12,231,341,329,1448
-91,2,275,451,761,1697
-42,-24,321,367,797,1023
-55,-6,274,223,407,347
-38,6,233,133,160,-82
-71,48,196,105,-36,-490
-62,41,153,22,-123,-674
-65,61,181,-7,-149,-681
-42,46,177,-68,-67,-449
-77,23,214,-73,10,-173
-48,10,267,-111,24,-92
37,-9,332,-109,-121,-165
14,24,287,-139,-539,-289
29,25,317,-113,-542,-297
60,15,320,-62,-520,-290
31,25,281,-54,-473,-126
46,-4,274,-1,-284,-28
57,12,286,16,-159,-39
50,6,306,24,-130,-56
43,11,342,28,-105,-86
71,25,346,16,-48,-108
55,26,358,-10,38,-95
65,30,349,6,213,-12
63,22,333,36,276,-20
