
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Bizeps-Curl(einarmig, abwechselnd)"
%
% Proband:
%     "a"
%
% Rows:
%     856
%

@RELATION exercise-3a

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
33,11,257,-4,0,-21
40,3,266,1,13,-16
28,14,261,0,14,-5
22,8,266,-3,30,-11
29,17,266,-4,57,1
27,12,247,4,94,6
29,5,274,9,97,13
30,12,268,11,123,8
37,17,268,15,160,-13
16,12,267,12,177,-21
11,14,268,13,178,-21
18,13,269,13,154,-3
10,7,268,8,124,19
4,6,274,2,120,27
38,7,262,-1,106,26
9,12,274,-7,97,10
-1,16,272,-8,98,-3
2,6,273,-17,84,-24
18,15,259,-17,71,-32
22,21,257,-18,55,-7
18,18,269,-14,23,46
19,23,258,5,29,89
27,23,253,20,60,114
23,27,247,47,86,134
13,22,253,96,199,231
14,34,255,156,306,345
7,26,250,326,456,508
-15,62,258,434,709,862
-50,85,263,419,933,1076
-81,41,268,377,1249,1195
-82,20,258,161,1137,1048
-89,-27,291,-49,882,676
-110,-4,291,-189,592,-190
-89,17,259,-263,52,-941
-51,17,267,-306,-222,-1207
-47,24,265,-389,-90,-1204
-47,28,308,-375,141,-1069
-53,36,263,-210,160,-910
-16,34,251,-135,-656,-580
-9,28,251,86,-1296,-294
-40,5,240,290,-1292,-194
-1,23,247,348,-1066,-186
-6,1,262,236,-1072,-53
82,8,236,159,-1132,-197
60,14,316,133,-1069,-373
78,54,263,103,-573,-244
84,50,258,-15,109,215
42,30,251,-22,641,433
13,1,256,-38,778,543
31,-10,254,-74,510,418
29,-1,254,-97,514,391
41,8,260,-59,649,365
36,9,266,2,574,391
24,26,258,35,396,456
24,-3,268,130,345,477
17,10,253,204,109,437
32,-4,254,196,-206,556
17,-7,268,201,-22,376
-9,-12,285,183,-69,68
32,27,274,112,63,-47
15,-7,261,125,76,0
34,5,267,196,89,-201
9,31,292,107,288,-206
-18,48,289,-10,260,-143
5,26,270,-170,-178,-194
3,21,265,-253,-406,-280
18,38,261,-271,-299,-289
20,32,247,-249,-160,-303
29,22,264,-226,-93,-267
27,25,259,-190,-46,-238
36,21,268,-150,-35,-203
22,16,274,-99,-36,-129
33,18,266,-82,-8,-80
42,24,246,-48,-16,-29
40,11,268,-38,-68,-12
42,19,251,-33,-96,2
59,11,258,-21,-117,-8
41,14,251,-14,-31,3
36,9,267,-11,16,8
33,10,263,-10,70,-22
36,14,257,-6,125,-19
48,6,255,-8,143,-19
24,18,252,-12,160,-21
42,17,276,-6,166,-36
30,21,270,-12,179,-42
48,13,261,-11,192,-40
30,14,259,-12,137,-37
52,20,256,-16,121,-34
40,21,255,-11,130,-42
31,17,261,-13,176,-41
42,20,265,-14,184,-28
22,12,266,-14,166,-21
36,18,273,-6,146,-11
30,19,255,1,134,13
29,15,262,4,110,21
36,20,264,12,96,40
18,27,269,22,105,62
39,14,256,29,104,53
15,15,275,36,88,61
18,12,265,50,44,80
29,20,256,80,56,96
32,29,264,154,208,182
26,48,255,262,292,382
-2,44,243,327,463,519
7,63,266,483,819,729
-42,61,266,506,1177,1053
-78,55,258,428,1128,1272
-76,57,267,236,1076,1198
-82,33,266,-11,1221,797
-104,1,280,-216,1011,513
-84,-4,296,-430,287,-335
-52,15,269,-388,-464,-965
-25,26,264,-403,-515,-1050
-19,36,264,-415,-207,-996
-24,29,283,-229,-78,-823
-19,40,261,-87,-266,-529
-16,13,257,1,-619,-361
-21,21,255,172,-776,-345
-33,-3,259,315,-791,-503
-17,5,260,333,-849,-635
10,44,280,218,-1364,-702
73,30,248,118,-1873,-791
66,84,254,79,-1184,-641
71,74,241,42,-28,-42
46,40,252,71,725,402
39,47,258,87,836,521
23,33,275,47,846,733
28,10,257,-69,792,721
28,26,273,-126,746,631
-2,12,267,-104,850,374
28,62,244,-60,730,188
12,30,244,-75,581,405
7,18,276,-44,550,535
-9,33,277,59,490,578
-15,8,256,104,-6,748
-15,-14,248,198,-534,457
27,39,267,246,-554,75
13,28,268,225,-243,34
19,48,267,222,-70,-112
12,28,281,217,-149,-123
-22,41,272,124,-86,-146
16,63,273,-5,-166,-247
11,47,273,-149,-161,-260
21,61,273,-208,-124,-313
6,46,270,-237,-128,-322
19,35,263,-251,-160,-303
16,48,247,-247,-215,-244
62,38,242,-236,-151,-196
37,23,266,-205,-105,-191
46,34,253,-185,-96,-158
38,36,263,-157,-100,-114
56,29,244,-110,-46,-27
46,29,260,-67,21,37
41,28,257,-46,17,72
58,24,255,-17,-30,65
18,19,267,16,2,115
44,31,250,13,32,134
47,28,252,18,68,111
53,31,253,24,96,65
52,23,252,27,123,67
35,22,259,20,160,48
42,23,263,8,194,26
33,20,262,-3,211,12
