
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Bizeps-Curl(einarmig, abwechselnd)"
%
% Proband:
%     "b"
%
% Rows:
%     900
%

@RELATION exercise-3b

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-1,-1,270,-1,57,8
5,3,267,1,63,5
6,1,264,0,61,9
2,1,265,3,71,12
2,1,264,3,90,14
1,0,266,4,91,10
4,1,263,3,97,4
2,2,268,3,99,1
1,2,264,4,90,-7
-1,3,267,2,88,4
5,0,268,-2,79,14
-3,3,270,-6,72,22
-15,-2,272,-4,65,17
4,6,263,0,59,16
17,1,270,0,52,17
9,-4,268,-1,49,14
-11,-13,271,0,49,13
-12,1,272,-4,47,15
10,6,265,-5,49,15
8,4,261,-6,49,11
5,-10,273,-7,50,7
3,7,266,-7,51,7
11,6,262,-7,56,12
7,3,271,-9,56,16
18,2,265,-9,56,13
11,-3,269,-4,69,7
-6,5,274,-2,27,14
19,7,261,-6,6,8
17,2,270,-14,44,14
-6,3,273,-8,97,17
-21,11,260,-1,105,20
-5,7,266,3,59,8
4,4,268,0,25,-3
-1,1,265,1,10,-9
-11,14,260,-6,30,-1
-4,4,264,-12,59,14
8,10,254,-9,83,22
6,5,260,-4,74,23
-13,2,258,2,63,11
0,-1,265,0,53,5
1,-10,273,-1,43,5
2,-2,270,-1,50,4
3,3,263,-2,53,-2
-18,8,260,-6,50,14
5,-4,264,-8,38,19
-13,-1,266,-7,44,21
-3,2,266,-6,45,11
-4,5,267,-3,48,11
12,1,257,-3,47,13
7,3,253,-3,42,11
5,-10,270,-2,44,7
4,6,266,-2,45,8
-7,-2,266,-4,43,8
-16,-1,267,-3,40,5
14,-5,263,-5,40,3
