
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Bizeps-Curl(einarmig, abwechselnd)"
%
% Proband:
%     "c"
%
% Rows:
%     563
%

@RELATION exercise-3c

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
42,1,260,0,53,11
44,8,249,-2,42,15
41,-2,260,2,46,15
47,-7,255,3,34,18
51,-3,257,9,50,7
51,3,260,-5,49,15
52,-3,263,-18,78,14
50,-7,257,-17,81,6
44,-6,270,-12,81,-22
41,-4,263,-5,43,-39
38,-7,266,-5,34,-35
43,-1,259,-6,17,-21
47,-5,257,0,0,-16
51,-10,260,5,-7,-12
57,-1,254,8,-5,-10
50,0,253,1,1,-1
50,2,259,2,9,-5
57,-1,258,-3,-4,-8
58,1,264,-6,-1,-4
49,0,257,-5,-1,-11
59,-8,262,-8,16,10
51,-11,257,-2,6,7
56,-1,253,-5,32,10
57,-3,251,-4,48,10
47,-4,247,1,77,11
63,-6,264,-1,98,3
37,-1,256,-2,122,-1
52,-9,259,-4,128,0
55,-11,261,-5,120,-1
39,-1,255,-3,107,-7
51,-3,261,-1,86,0
55,-6,257,2,66,3
50,-1,261,0,96,17
56,-6,257,8,72,10
53,-12,262,10,92,1
41,-2,259,9,70,0
46,-5,254,10,102,-10
41,-10,263,10,90,-15
54,-9,260,8,76,-9
48,3,257,8,68,-5
52,-1,262,10,66,4
44,-4,259,11,61,-1
40,1,256,8,53,5
50,-3,260,12,52,-3
55,-6,259,9,75,4
48,2,252,10,51,-4
38,-9,266,10,61,-9
49,-2,255,11,34,-6
45,-3,263,16,50,-2
37,5,257,14,42,2
37,6,260,12,36,8
44,-5,258,9,39,23
51,-3,260,10,31,28
51,-5,259,7,32,18
46,0,256,3,24,19
42,1,258,9,40,9
53,-1,255,4,63,17
56,-6,259,6,48,15
47,0,264,8,51,16
39,-1,263,10,21,14
61,-2,258,10,-2,22
50,0,260,15,-43,24
51,0,261,16,-40,36
50,1,253,16,-47,51
54,-2,258,21,-32,45
55,3,254,20,-20,46
61,1,256,22,-29,52
57,3,253,20,-14,30
66,1,253,17,13,42
56,4,252,20,8,40
61,6,252,15,11,37
56,1,248,15,-4,11
56,-1,256,19,13,-6
60,-2,255,13,-14,-31
62,-1,251,6,26,-30
59,1,254,11,41,-23
65,2,252,21,76,-23
65,-1,254,32,105,-3
61,5,252,39,107,9
65,1,254,35,87,57
62,3,252,24,86,95
63,0,255,15,115,129
59,2,253,20,104,104
57,0,254,12,113,84
58,4,254,11,83,77
53,-1,255,11,116,67
62,5,252,16,101,23
53,5,252,16,94,21
50,1,255,15,67,-24
55,-13,267,31,23,-75
47,9,262,44,31,-133
52,16,259,17,2,-130
43,11,252,-1,29,-82
66,3,262,-18,18,-27
50,8,257,-22,29,-8
66,3,250,-26,41,11
63,8,249,-22,67,35
73,-18,266,-8,80,20
52,2,261,2,98,-8
55,2,258,-12,89,5
66,7,249,-16,93,14
54,3,261,-34,70,11
63,-5,258,-33,67,-6
46,7,259,-28,70,-8
60,-1,255,-24,37,8
53,3,257,-8,1,10
53,8,252,-12,22,37
54,-7,258,9,12,51
56,-5,265,9,15,35
49,2,257,6,4,31
54,-4,264,26,24,25
62,-5,257,20,4,12
60,14,252,14,5,13
52,-6,258,19,6,4
59,-5,253,39,18,-2
63,3,250,28,36,-1
61,3,256,15,20,8
51,6,254,13,41,-8
59,2,247,2,50,12
68,1,255,2,54,7
59,7,254,-18,73,10
59,1,253,-17,75,-4
55,9,257,-23,102,-12
60,4,250,-34,81,-11
60,1,256,-37,78,-10
65,0,256,-33,101,-38
52,1,250,-30,99,-46
62,4,252,-29,110,-56
58,0,258,-32,93,-31
50,3,250,-23,110,-52
59,1,254,-5,100,-28
50,-1,260,4,114,-22
40,-4,262,3,88,7
56,1,249,9,90,6
54,7,255,5,82,10
47,-4,262,7,46,42
41,0,254,-1,-3,80
48,-5,256,-25,-5,106
52,0,247,-12,49,54
58,3,261,-10,103,-18
44,0,256,-6,85,-30
55,-2,252,-3,59,-7
51,-4,256,5,83,-7
57,-6,257,15,92,-9
49,7,256,6,59,-5
56,-4,254,9,70,7
52,1,258,12,63,1
55,3,258,-2,70,-9
54,3,253,-11,49,-7
57,-2,257,-19,42,-3
45,-2,256,-13,48,-10
52,-5,256,-21,39,-13
48,1,262,-30,25,-26
55,-9,256,-23,-6,-22
53,2,261,-21,3,-16
51,-1,258,-13,10,-12
56,3,252,-8,-11,0
55,-7,256,2,-2,13
57,-4,262,-6,-2,15
59,-6,251,3,1,36
58,0,253,0,-2,28
57,-4,253,2,1,53
59,-7,253,26,12,48
61,-8,260,39,20,15
58,-1,254,32,19,-2
59,0,254,32,34,-19
62,0,255,26,27,8
57,-6,257,33,38,42
63,-1,252,33,13,62
62,-1,255,38,63,79
64,1,255,42,71,71
65,-4,253,32,81,88
62,-2,251,30,76,74
69,-8,255,15,96,67
50,-6,253,13,84,61
57,3,263,6,57,23
50,-2,250,-2,57,17
73,-3,258,-1,68,11
65,-7,262,16,76,-19
54,7,260,19,100,-14
57,-7,259,30,66,-38
56,-9,262,25,68,-86
61,5,260,24,52,-116
53,3,251,11,61,-106
59,2,262,8,62,-42
61,7,256,15,69,-11
60,0,259,9,71,4
51,6,256,-5,74,32
52,5,263,-9,50,35
50,-3,250,-14,45,42
52,-9,259,-12,68,37
44,6,254,-15,77,16
50,2,257,-18,69,10
60,1,260,-20,84,-8
53,1,263,-20,85,13
49,-1,259,-4,134,13
69,-5,258,0,136,24
60,-3,260,12,100,29
48,-4,260,15,71,42
48,-3,253,23,58,31
57,1,250,32,48,17
46,-8,258,25,55,2
52,3,257,14,24,-12
51,-2,258,2,-12,9
52,-1,255,-2,-15,10
45,1,257,-6,-5,18
62,-5,257,-11,-5,8
52,0,258,-7,7,21
50,3,256,-18,-22,37
60,1,262,-2,-24,36
58,-2,257,0,-5,11
60,2,248,-3,1,12
49,-3,252,-10,2,11
58,0,257,-18,-10,29
62,-4,255,-21,8,28
60,-2,255,-32,20,85
61,-8,259,-11,15,24
