
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Bizeps-Curl(einarmig, abwechselnd)"
%
% Proband:
%     "d"
%
% Rows:
%     446
%

@RELATION exercise-3d

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
5,12,266,5,58,-10
-12,8,267,-1,102,2
-6,8,267,-2,89,13
-14,10,263,4,97,19
-12,8,263,-4,84,33
-4,6,264,8,58,36
-8,9,266,14,64,44
-10,5,263,7,60,61
-12,11,263,13,59,73
-19,10,264,21,67,74
-15,3,265,24,55,74
-6,7,269,5,41,37
-7,7,262,6,41,7
-8,7,266,11,38,-33
-18,10,265,8,73,-47
7,5,257,-1,-25,-31
-8,13,269,-11,49,-59
-7,5,266,-6,114,-52
-9,15,270,3,115,-37
-8,11,262,6,133,-43
-13,9,274,-16,121,-30
-3,8,276,-7,92,-50
-25,19,260,-10,13,-54
-10,11,270,-26,-36,-42
-17,17,270,-9,7,-26
-12,6,264,32,26,-3
-15,9,272,35,47,17
-17,4,270,16,4,20
-11,12,269,38,-53,10
-12,12,263,35,-29,-1
-7,12,269,14,-17,55
-3,15,264,61,58,45
-4,14,260,91,38,40
8,15,277,70,71,35
-10,18,268,39,77,63
2,26,265,11,75,87
-8,16,272,-2,60,130
6,12,267,-29,50,123
-12,15,266,-23,58,132
-22,12,255,-31,77,138
1,3,271,-29,22,103
-22,17,266,-3,59,53
-6,11,266,-6,-32,3
-6,19,260,-2,23,-11
-9,9,259,2,27,-4
-13,8,266,17,110,-10
-9,14,262,17,107,-12
-22,13,267,34,144,-29
-2,9,267,29,137,-28
-16,17,263,35,102,-48
-11,5,270,44,71,-58
1,16,272,32,109,-79
-12,10,259,10,47,-76
-22,21,270,12,82,-65
-24,23,262,6,109,-50
-3,21,263,-16,67,-27
-17,16,265,-3,98,10
-20,5,276,1,113,30
-8,10,275,17,69,36
-11,13,262,15,42,30
-22,15,276,14,26,38
-5,14,277,26,37,-11
-6,25,267,-3,91,48
-13,20,270,-23,74,76
-14,21,264,-13,53,96
-16,12,264,-23,25,105
-13,10,269,-40,-12,121
-25,8,272,-57,-5,125
-14,11,266,-47,17,103
-2,12,266,-12,35,78
-12,17,265,-22,79,43
-5,11,269,-21,90,0
-16,6,265,-23,69,-15
-15,4,262,-30,-12,-34
-8,0,271,-9,20,-61
-9,7,272,-12,106,-85
-11,9,266,-13,78,-82
-10,12,261,16,42,-88
-1,12,265,20,6,-65
-8,18,267,18,22,-26
-5,11,260,14,97,9
-10,6,264,3,58,32
-16,6,265,-2,78,26
-4,8,263,-1,80,-22
-14,14,276,-26,131,-41
-13,5,263,-26,78,-44
-18,13,265,-21,43,-37
-17,13,263,-5,48,-28
-8,10,268,2,30,-31
-14,9,264,13,51,-13
-10,9,269,2,53,-4
-11,9,263,14,23,-5
-16,14,264,7,-7,-16
-6,14,265,7,-18,-19
-7,6,261,17,6,-2
-17,5,264,1,28,-21
-1,18,269,9,28,-23
-8,10,256,25,78,24
5,6,275,23,85,5
-8,13,266,15,172,11
-30,3,266,9,123,2
-25,15,266,1,108,-5
-18,15,272,0,124,7
-30,17,264,18,89,15
-24,17,258,12,71,23
-12,18,265,2,73,44
-12,15,271,20,57,38
-16,8,274,24,47,29
-25,15,272,44,-4,0
-12,16,271,36,-13,-14
-25,10,274,31,63,-29
-12,15,266,-2,-3,-55
-6,10,272,20,24,-97
-10,8,262,16,-20,-80
-8,18,274,28,-38,-57
-5,14,266,35,15,-19
0,23,268,34,-3,19
-2,18,259,35,1,52
-7,19,262,0,26,76
1,15,267,-18,50,108
-7,14,261,-35,60,92
-7,15,258,-16,47,90
0,11,273,-6,116,77
-20,8,276,-3,142,74
-11,9,261,-15,22,23
-10,16,268,-2,77,19
-29,18,268,2,83,-2
-16,12,269,4,67,0
-7,9,271,3,49,13
-7,11,262,-3,66,7
-23,18,263,12,53,0
-15,7,267,21,42,-13
-5,15,264,15,64,-6
-18,21,258,-1,37,-52
-8,16,262,-9,33,-62
-6,15,270,5,34,-46
-17,16,267,0,56,-34
-7,15,280,10,61,-39
-1,16,251,1,58,-31
-13,16,261,5,75,-4
-11,15,270,-2,76,3
-18,12,267,-10,69,18
-20,5,265,-1,94,13
-8,15,273,16,114,35
-19,22,263,21,119,26
-20,16,275,39,92,50
-5,13,261,8,60,52
-2,20,259,0,64,49
-15,20,268,-22,23,68
-16,11,268,-19,85,119
-9,12,265,-11,77,126
-22,12,271,-16,76,108
-13,12,262,-19,43,64
-20,5,273,-5,3,56
-29,7,268,6,18,37
-16,10,267,-1,-31,-9
-15,15,269,-10,7,-14
-16,13,267,-29,9,0
-22,16,266,-38,-23,22
-10,14,268,-30,-8,43
-14,3,268,-17,7,48
-9,13,263,-11,-18,47
-3,9,261,-22,-39,50
2,7,265,-44,-20,48
-11,7,272,-59,60,15
0,9,262,-38,14,-29
-9,2,264,4,70,-68
-1,3,264,3,36,-96
-7,6,261,17,65,-97
-8,4,266,8,54,-95
-1,14,272,9,71,-105
-4,13,264,20,84,-115
-3,11,265,18,24,-103
-4,9,261,20,5,-83
-8,10,265,9,45,-29
-3,8,270,6,58,12
-10,20,266,-1,59,25
-24,16,262,3,58,35
-13,7,261,6,53,20
-7,18,272,4,47,14
-7,11,269,2,44,33
-7,14,258,-7,9,49
-1,8,274,-4,20,50
13,12,262,11,75,33
1,0,267,-14,107,42
-17,19,269,-23,142,43
-4,7,267,-17,92,29
-1,10,269,4,86,18
-5,12,274,2,106,6
-15,10,269,15,142,-2
