
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Bizeps-Curl(einarmig, abwechselnd)"
%
% Proband:
%     "e"
%
% Rows:
%     390
%

@RELATION exercise-3e

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
39,0,258,3,78,7
31,9,262,-1,96,5
44,14,252,2,78,18
48,6,266,0,74,4
20,5,262,-3,116,10
29,7,263,-1,127,-9
28,8,265,-6,97,10
20,6,274,-3,100,15
31,7,262,-3,101,12
31,10,261,-2,101,22
24,4,261,-2,101,17
29,6,258,2,102,14
26,4,264,3,100,13
36,7,266,3,95,10
11,4,271,3,96,7
22,5,262,4,90,6
22,5,266,4,92,3
20,3,265,5,75,4
21,5,265,1,66,4
20,6,261,1,64,4
18,3,265,2,68,4
10,8,266,4,76,9
21,8,265,4,68,-7
30,7,259,3,9,22
21,1,261,8,23,19
29,8,259,4,50,16
11,2,262,7,79,12
24,-1,268,10,73,13
29,-1,262,15,76,11
18,4,261,12,75,10
18,5,268,10,110,0
16,10,259,5,89,-1
28,4,260,4,27,0
21,1,263,7,-4,2
13,3,269,10,-48,0
24,5,265,14,-107,3
21,1,264,14,-102,18
33,3,260,21,-106,19
31,4,261,44,-113,-9
35,9,266,62,-139,-27
29,10,263,62,-120,22
31,9,258,68,-143,50
37,10,262,59,-54,107
41,8,262,17,-45,127
42,3,257,3,-35,155
46,5,254,-12,-49,125
40,2,255,-21,-5,78
45,2,256,-23,23,49
47,4,261,-42,68,-4
36,3,262,-66,83,-44
56,-1,254,-81,62,-67
40,-11,270,-87,46,-104
37,5,266,-80,36,-138
46,7,261,-74,42,-143
47,13,260,-49,44,-114
48,8,265,-8,66,-69
42,1,261,10,56,-34
42,6,261,22,58,-7
49,-4,260,16,75,13
48,2,255,-6,78,-22
52,-4,266,-24,116,-30
46,3,262,-27,130,-72
43,-2,257,-16,139,-67
44,4,262,-2,118,-90
52,0,265,-1,124,-77
44,0,258,3,107,-53
30,-6,267,0,127,-26
44,4,261,3,117,5
45,3,259,-2,105,31
42,3,264,-3,103,38
44,-5,263,-12,115,55
31,5,262,-9,111,52
42,-6,258,0,99,57
26,4,258,5,69,62
33,3,262,13,85,58
20,5,263,24,88,58
37,3,261,28,78,58
35,5,261,49,66,43
30,6,261,66,79,35
25,-8,267,69,93,19
37,3,255,85,116,-2
29,12,266,71,93,2
24,1,271,57,64,0
15,6,267,35,39,1
25,12,261,26,40,1
21,0,265,32,23,19
20,12,262,55,-26,30
30,17,267,39,-50,50
33,12,256,52,-33,120
37,16,255,59,2,138
21,8,259,41,24,181
39,17,255,40,41,149
34,6,261,44,40,109
41,9,257,30,62,74
25,15,260,20,51,49
34,14,258,9,100,0
32,8,255,-7,93,-57
24,5,266,-1,105,-76
30,8,260,-3,104,-55
29,22,264,-7,70,-42
33,6,261,-9,23,-15
28,5,262,10,37,6
29,13,259,8,51,9
21,16,266,8,47,-12
17,7,262,2,65,-43
