
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Bizeps-Curl(beidarmig, gleichzeitig)"
%
% Proband:
%     "a"
%
% Rows:
%     757
%

@RELATION exercise-4a

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-79,11,266,42,205,-29
-64,20,254,52,58,-81
-71,16,263,73,-21,-98
-65,22,267,37,-46,-44
-64,20,265,15,31,-17
-67,17,263,-21,106,-1
-69,13,253,-31,104,0
-67,8,254,-38,68,2
-65,8,258,-46,22,40
-68,9,258,-30,43,55
-64,12,260,-3,75,43
-95,3,277,17,121,25
-81,19,262,40,143,-8
-88,31,264,45,139,0
-59,25,266,54,165,7
-75,29,252,37,226,48
-68,13,255,33,199,50
-85,18,255,6,143,55
-101,20,278,-24,146,60
-83,20,252,-32,141,59
-94,37,249,-45,82,72
-91,21,257,-60,38,74
-91,14,269,-67,12,72
-71,5,258,-62,-42,52
-62,-1,260,-55,-139,59
-71,14,269,-56,-253,57
-71,16,261,-57,-259,45
-79,7,269,-48,-193,39
-58,18,277,-41,-168,29
-86,13,274,-31,-84,14
-33,3,256,-23,-49,6
-56,27,266,-19,-34,7
-31,13,268,-13,68,16
-54,8,263,-13,77,19
-49,10,254,-4,77,7
-56,23,254,-7,113,13
-22,10,249,-9,102,8
-47,19,264,-8,109,18
-40,5,270,-4,129,20
-66,16,264,-3,117,23
-49,22,254,-7,124,26
-55,9,274,-7,152,33
-47,12,266,-10,164,42
-57,20,260,-4,214,43
-47,15,257,1,311,49
-70,22,262,20,390,24
-74,26,259,11,394,32
-77,21,254,1,256,31
-68,9,250,-9,151,31
-94,28,255,-9,108,23
-65,20,262,-11,95,23
-82,19,261,-10,101,23
-83,27,254,-13,99,27
-74,18,255,-17,113,40
-75,17,259,-14,129,56
-81,14,251,-1,211,65
-79,24,250,25,397,77
-114,38,233,48,585,115
-149,14,253,55,1033,147
-136,34,263,23,943,72
-164,28,233,-40,385,71
-92,21,254,-88,-368,13
-101,25,260,-94,-496,-7
-90,13,267,-80,-333,-17
-52,24,264,-87,-449,-81
-25,26,252,-97,-774,-72
-46,10,254,-115,-878,-33
-55,6,252,-132,-797,-70
-28,20,254,-130,-565,-97
-44,15,269,-98,-375,-98
-33,6,250,-73,-494,-105
-23,21,270,-58,-704,-134
-8,-7,263,-126,-1262,46
21,-18,265,-96,-1646,27
94,38,242,-5,-1509,-182
57,14,259,69,282,-40
11,-8,263,74,1115,43
12,11,262,75,1410,16
-22,14,272,64,1292,45
-37,9,275,57,1248,66
-60,13,260,0,1117,133
-51,23,267,-67,621,143
-45,3,263,-86,271,140
-33,-12,235,-47,-11,78
-5,23,253,11,46,-41
-16,21,265,14,321,-4
-59,8,263,-18,646,117
-65,-2,245,67,624,-15
-53,14,264,-35,383,-5
