
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Bizeps-Curl(beidarmig, gleichzeitig)"
%
% Proband:
%     "b"
%
% Rows:
%     800
%

@RELATION exercise-4b

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-129,56,228,-21,25,141
-123,65,229,-64,50,144
-146,76,235,-136,18,220
-139,85,242,-160,-140,355
-138,78,239,-199,-227,507
-123,72,235,-286,-329,669
-129,81,229,-358,-301,731
-119,81,220,-428,-291,829
-126,78,230,-473,-312,905
-104,58,246,-498,-396,878
-77,18,253,-493,-480,746
-25,13,242,-490,-524,646
-38,6,241,-414,-402,428
-47,-44,327,-383,-67,339
12,-64,295,-463,170,377
-13,-39,245,-377,83,94
-26,-50,267,-245,64,-81
-32,-26,258,-267,-118,-113
-54,-33,264,-216,-177,-27
-47,-67,249,-185,-141,148
-35,-54,265,-108,-85,25
-46,-50,261,-22,-131,-99
-30,-35,243,62,-239,-171
-16,-44,267,115,-41,-222
-25,-40,272,124,43,-282
-12,-29,253,114,21,-320
-9,-23,240,110,49,-293
-40,-29,258,126,108,-195
-36,0,291,121,281,-143
-35,20,259,204,471,-77
-30,30,288,236,411,117
-49,24,303,212,377,246
-28,31,290,259,160,206
-30,43,259,233,-7,119
-27,41,268,188,-30,91
-27,62,254,120,-112,60
-15,60,254,48,-232,87
-6,51,247,8,-272,123
-9,49,254,-14,-329,141
-5,42,257,-19,-350,80
-31,45,294,-18,-329,-25
7,17,283,-99,-202,-21
11,-12,250,-155,-293,197
28,-19,271,-103,-287,82
18,5,254,-74,-327,-58
24,-1,261,-94,-387,-66
23,-9,260,-125,-252,-2
45,-17,255,-124,-219,-17
34,-4,253,-103,-210,-62
40,0,257,-79,-133,-66
39,2,252,-56,-92,-33
34,-1,263,-24,-4,30
34,-3,255,-8,35,47
35,1,261,-2,66,24
39,5,262,-2,96,-9
37,4,260,-1,91,13
32,3,268,1,87,27
34,1,261,1,99,25
34,5,260,12,76,-3
35,11,258,17,77,-14
43,11,261,10,94,-1
45,16,251,7,101,22
28,-3,263,10,101,16
39,7,263,15,110,18
47,11,267,15,122,21
51,8,274,12,118,11
16,16,256,4,97,22
18,18,256,-7,95,41
44,0,272,-11,80,55
21,1,263,-14,54,80
44,-3,265,-16,50,60
20,1,264,-11,39,29
37,4,269,-4,46,17
33,5,264,-2,38,8
56,6,268,-7,40,8
25,7,266,-5,52,10
22,-6,266,-8,55,18
26,6,263,-10,54,22
22,6,257,-11,49,26
26,3,270,2,43,36
11,7,257,10,48,29
23,14,261,10,53,13
46,7,270,8,51,11
19,7,256,1,56,8
36,8,257,-1,65,10
33,1,260,1,56,-7
42,5,265,2,53,-9
19,8,268,0,50,-6
26,12,252,-1,44,-4
17,4,257,-5,46,2
