
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Bizeps-Curl(beidarmig, gleichzeitig)"
%
% Proband:
%     "c"
%
% Rows:
%     670
%

@RELATION exercise-4c

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
47,-6,261,13,83,-13
54,-4,255,14,92,-12
52,-3,259,13,85,-6
45,1,255,12,75,-5
43,-2,258,7,86,0
45,-10,259,10,82,-1
43,-1,259,7,72,2
42,-4,262,7,65,5
43,-1,260,8,70,-2
46,-2,256,7,64,3
50,-2,259,7,61,-4
50,-4,256,7,54,0
45,-1,257,11,53,-10
47,-2,259,9,72,-2
47,-2,260,6,53,-4
43,-2,258,8,50,-1
35,-9,259,7,46,1
51,-6,264,8,57,-7
45,6,264,11,53,-8
43,6,258,11,51,-5
48,-3,257,8,51,4
53,-9,257,5,42,-1
38,-5,265,5,52,-3
42,-4,254,3,31,3
49,-2,260,3,34,-5
49,-5,266,2,24,1
39,3,261,1,-2,9
53,-1,254,0,-2,18
53,-2,254,2,1,18
65,-4,262,-1,13,17
49,-1,262,4,9,9
51,-4,258,6,17,6
51,0,255,5,25,2
51,3,252,8,18,11
43,6,253,17,18,12
58,-9,252,21,17,3
49,0,264,28,27,-7
56,-1,257,28,32,-33
51,7,252,22,52,-13
57,5,254,24,55,-19
60,-4,259,27,87,-12
58,6,256,26,83,-16
49,3,260,24,108,-18
56,4,254,29,98,-5
51,6,256,23,93,4
48,3,258,17,88,19
38,4,255,13,71,22
44,3,258,12,73,22
57,2,260,8,61,27
62,-4,259,9,56,16
48,4,251,7,62,22
43,0,260,2,78,16
49,-2,259,-13,70,2
49,-1,260,1,84,-13
43,6,260,8,90,-16
37,4,260,4,73,9
40,3,257,-5,89,34
41,-3,268,-10,65,70
51,-2,263,-3,62,89
47,-1,254,7,51,78
51,-1,256,1,36,58
56,-3,253,-4,29,61
54,-4,252,-3,43,43
45,-2,261,5,83,50
42,0,255,23,101,41
43,1,253,24,114,31
40,1,261,24,106,21
39,1,263,27,83,2
33,3,262,25,60,-27
32,5,264,7,3,-78
45,9,257,-19,-29,-64
46,2,261,-28,-63,7
43,-8,260,-15,-57,54
52,-1,265,24,-18,42
44,-4,258,38,25,27
50,4,258,42,30,50
35,-10,260,15,12,96
45,-1,262,16,39,66
47,1,253,-3,44,38
55,-5,257,-18,31,14
53,-7,254,-29,16,-14
58,1,259,-39,9,-31
45,-2,256,-35,17,-44
46,-1,254,-25,16,-54
54,2,253,-24,31,-64
63,8,250,-30,31,-58
62,-8,250,-16,75,-33
55,0,253,-9,65,-48
58,1,258,29,73,-36
51,1,255,24,59,-9
49,0,255,35,85,-6
49,-1,258,34,76,6
50,0,255,28,86,18
48,-1,259,21,97,4
46,0,259,19,110,12
46,-2,257,23,104,16
47,1,257,34,99,-25
44,-1,262,34,91,-41
45,3,258,28,65,-46
44,4,260,18,53,-46
50,6,255,14,44,-36
42,4,259,1,41,-19
52,10,260,2,56,-20
44,6,256,4,36,-5
36,-1,264,16,96,0
39,11,253,15,92,5
41,12,254,20,96,-1
34,5,265,12,85,3
45,6,262,0,59,-8
46,6,260,-14,49,-7
38,10,273,-39,28,31
35,14,257,-32,25,53
55,-2,264,-27,9,81
47,-2,267,-30,-25,110
49,-4,254,-22,-23,112
53,-4,254,-8,-23,109
55,1,256,2,-17,84
65,-7,264,26,-5,55
