
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Bizeps-Curl(beidarmig, gleichzeitig)"
%
% Proband:
%     "d"
%
% Rows:
%     536
%

@RELATION exercise-4d

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
2,12,263,18,-5,16
2,12,263,18,38,23
4,17,264,11,45,22
3,13,267,6,37,38
-2,11,266,3,76,39
1,15,265,2,43,31
1,16,262,11,77,26
-1,15,270,12,98,37
-2,12,263,5,104,42
-1,14,267,10,79,32
-5,8,268,7,60,23
-1,19,265,10,64,5
-2,13,263,-1,53,-3
-2,11,266,-8,51,-8
1,11,264,-27,30,-16
0,12,269,-16,30,-3
1,7,262,-12,38,-11
2,23,262,-17,53,-2
0,13,268,-2,87,26
11,11,260,-14,64,21
5,17,259,2,93,51
4,7,266,5,71,32
-1,8,270,-11,118,25
8,18,259,-15,111,15
-6,6,270,9,181,18
-2,12,270,7,139,-4
-9,9,268,-1,137,-33
-12,15,269,-50,109,-10
-8,13,266,-54,89,13
-12,7,270,-43,67,40
-12,4,261,-28,57,33
-10,11,263,-24,87,36
-14,5,268,-8,86,41
-12,5,268,-8,60,57
-16,9,269,-8,60,39
-9,6,266,-15,25,24
-20,10,260,4,22,15
-8,1,272,-2,30,40
-11,10,263,11,67,36
-17,7,267,31,35,32
-8,8,265,40,8,0
-10,11,264,37,7,-22
-3,7,269,28,24,-32
-2,10,264,18,-21,-41
-9,6,269,12,19,-46
2,10,260,-18,-30,-40
-1,8,263,-22,13,-49
1,20,266,-16,22,-35
5,13,266,-14,29,-6
11,8,261,3,56,23
-12,4,276,17,72,34
0,7,270,14,60,18
-4,17,275,4,29,1
-1,5,272,18,26,18
-4,-7,278,15,74,27
-11,14,267,12,50,15
0,11,263,16,27,-10
-4,18,268,27,68,5
-17,16,267,14,51,13
-11,9,267,14,41,6
-2,10,276,4,47,18
-9,6,273,2,95,12
-14,7,271,2,125,6
-16,6,265,10,83,-6
4,30,275,73,33,-50
-11,18,274,35,108,-59
-9,17,270,19,16,-50
2,14,259,-10,20,-5
-8,12,265,10,42,11
13,4,270,-3,66,28
8,21,262,-10,1,19
-14,5,267,18,9,42
0,29,274,22,39,30
6,12,258,25,98,52
-26,18,267,18,130,57
0,14,258,7,106,82
-9,19,273,-1,266,47
-12,11,270,9,230,43
-20,18,275,-21,127,34
-7,12,264,-22,81,39
-13,9,268,14,120,24
-22,18,271,18,152,12
-19,10,264,15,89,12
-10,15,266,17,71,22
-28,19,267,-13,82,0
-17,18,270,-11,67,-58
-14,15,267,9,90,-16
-26,9,272,5,121,14
-13,10,267,-11,58,41
-31,8,269,-8,74,27
-15,15,274,1,4,7
-26,15,271,-10,34,19
-27,7,265,-18,-48,7
-22,18,267,-35,3,4
-13,14,263,-12,-52,10
-7,10,267,28,-22,-19
-14,11,267,2,-4,-19
-17,10,263,-17,-39,-25
-16,5,260,-35,16,-31
-17,16,276,-5,73,-24
-4,4,264,-1,87,-17
-9,12,267,5,63,-4
-1,12,258,16,52,2
-10,14,269,21,49,7
-11,11,266,11,61,11
-11,15,263,-1,95,37
-5,11,264,-2,110,51
-21,15,271,16,152,35
-15,12,265,3,64,48
-13,7,263,-2,10,45
-20,10,274,24,64,-2
-13,12,263,22,-5,-42
-14,13,268,3,-12,-36
-12,17,262,-20,19,-31
-5,13,267,-2,37,-30
-10,14,263,-1,67,-17
-15,12,266,10,63,-8
-12,9,265,17,66,-6
-16,11,264,9,40,-20
-13,19,268,28,32,-48
-4,10,265,16,15,-41
-10,19,263,-7,33,-43
-3,15,269,7,16,-33
-7,12,263,14,36,-32
-5,11,266,-5,48,-5
-11,12,266,-12,67,11
-6,9,260,-17,79,5
-14,18,273,-16,132,-6
-2,12,265,0,101,10
-12,9,258,11,100,-3
-16,13,279,10,183,-13
-12,13,259,-3,125,-14
-17,21,264,-10,95,-27
-14,10,272,22,97,-9
-20,16,273,-3,146,9
-23,20,259,-31,73,37
-12,3,264,8,71,71
-20,18,269,-5,118,68
-21,13,266,-9,123,87
-27,10,265,-18,74,87
-18,6,261,-5,43,56
-31,9,275,22,88,31
-28,12,264,-23,31,19
-23,10,266,-29,-5,21
-26,14,268,-27,15,28
-17,8,266,-48,27,34
-20,7,269,-9,24,17
-20,11,264,5,11,6
-25,17,268,4,-6,24
-17,8,266,-9,-19,55
-25,9,268,-3,-21,51
-19,5,260,4,-38,17
-15,7,271,10,3,-2
-9,6,265,0,4,-15
-9,3,264,-5,-14,-35
-2,8,264,-25,-12,-39
-5,13,259,-22,-6,-48
-8,3,261,9,25,-35
0,12,267,-10,65,-33
-6,7,264,-22,100,-14
-10,11,269,-21,94,-6
-6,10,258,-11,74,-13
-10,6,267,18,38,6
-12,4,265,30,101,6
-6,9,269,21,69,-2
-9,9,266,12,61,1
-11,6,271,2,9,-18
-4,16,260,-4,43,-27
-13,4,273,-6,105,-10
-8,11,262,4,44,-13
-14,7,267,26,38,-36
-14,10,264,37,95,-29
-6,17,273,48,97,-39
-18,9,267,42,82,-34
-16,17,266,16,60,-15
-17,26,259,0,61,24
-17,14,265,29,38,32
-8,8,264,39,51,21
-16,16,266,19,61,18
-4,20,267,11,56,28
-2,17,262,36,64,53
-16,9,270,34,86,77
-20,9,265,11,161,70
-23,11,271,1,134,57
-21,10,274,8,120,15
-16,14,264,15,98,-35
-11,18,263,30,98,-37
-24,20,268,30,130,-28
-31,20,276,17,131,-34
-20,23,263,6,93,-31
-24,15,268,25,72,4
-24,13,266,14,110,1
-39,18,275,7,125,-2
-24,15,268,-4,100,-21
-31,20,261,-7,72,-16
-29,26,264,-48,107,-15
-23,12,267,-20,143,22
-30,7,266,5,134,56
-29,15,268,4,79,48
-43,20,267,-3,63,32
-24,11,268,-20,35,36
-31,5,269,-23,35,34
-34,20,260,-37,37,23
-34,19,272,-33,69,15
-41,13,268,-2,67,29
-23,12,267,-8,-58,34
-33,20,266,-11,-35,32
-26,10,262,-20,-39,52
-24,14,268,-12,-31,51
-25,11,265,-3,-35,21
-17,12,268,1,-10,-11
-13,17,265,-20,-36,-30
-14,5,261,-34,-9,-24
-13,14,265,-19,0,-10
-15,4,265,7,9,-16
-17,12,266,-22,47,2
-9,9,257,-23,23,-2
-19,10,267,-6,32,0
-13,10,268,15,33,1
-15,7,259,20,46,-7
-12,15,269,11,67,14
-20,10,269,3,57,23
-20,9,264,-15,22,26
-20,9,265,-23,-25,4
-16,14,272,-11,45,-15
-19,10,262,-14,49,-23
-16,5,261,-10,31,-18
-9,12,267,4,39,-30
-14,15,264,11,52,-22
-10,14,261,10,9,-9
-17,9,272,7,75,8
-12,10,264,15,44,3
-10,12,265,22,34,-4
-5,13,269,22,47,7
-9,13,261,1,22,18
-17,7,265,10,30,42
-6,-3,263,16,89,20
-16,16,276,12,124,20
-1,12,259,-27,59,-10
-12,10,263,-11,100,-19
-14,15,266,-5,100,-4
-6,10,268,14,121,45
-14,3,267,13,123,52
-11,12,273,-14,49,53
-8,8,265,-11,34,63
-15,7,261,-18,9,30
-9,10,269,-24,3,28
-21,9,266,-10,94,19
-5,7,269,-8,27,17
-8,11,260,-17,38,51
-20,1,265,-22,66,44
-7,16,263,13,79,12
-18,6,266,-16,120,41
-18,8,269,-17,78,22
-18,13,266,-8,62,18
-22,5,267,14,76,23
-15,6,270,18,68,38
-25,10,265,-1,43,17
-16,9,266,7,23,2
-20,8,262,18,21,10
-15,11,261,-2,73,23
-27,13,273,-3,172,53
-34,4,273,-2,126,53
-26,4,264,-11,6,35
-17,10,259,-27,-48,0
-16,13,266,-50,41,-27
-15,4,269,-67,100,-40
-7,2,255,-57,1,-44
-15,-1,270,-18,65,-71
-13,1,266,-4,119,-59
-18,4,266,20,104,-68
-15,3,262,28,45,-56
-20,12,271,54,38,-64
