
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Bizeps-Curl(beidarmig, gleichzeitig)"
%
% Proband:
%     "e"
%
% Rows:
%     570
%

@RELATION exercise-4e

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
41,5,267,-11,88,-26
51,14,260,-7,66,-10
56,13,260,0,62,0
58,5,257,2,61,6
45,13,257,2,73,5
48,11,266,0,64,8
46,5,261,-5,61,11
37,8,256,-7,64,9
48,3,258,-9,75,1
47,9,258,-11,68,-4
44,15,258,-11,75,-6
44,8,256,-12,79,-6
27,7,258,-12,80,-8
55,10,259,-8,82,-6
33,6,259,-8,106,8
36,12,260,-2,153,26
45,7,262,1,146,14
25,6,259,10,144,25
34,4,258,13,94,13
36,6,263,16,86,17
31,11,266,15,69,14
25,0,262,7,-13,18
38,5,254,2,-11,8
31,9,263,1,63,10
28,-3,260,-6,129,8
33,0,259,-25,151,-3
26,2,261,-38,193,3
23,4,267,-56,220,2
29,10,258,-55,192,23
27,0,265,-57,190,34
20,3,269,-40,129,16
19,5,263,-30,46,23
17,-1,264,-27,13,28
19,3,256,-12,13,32
24,-3,271,10,8,33
28,-3,264,29,-20,21
36,-2,268,38,-87,13
23,4,266,37,-77,22
47,-3,259,46,-101,14
42,1,263,39,-117,-7
41,1,259,34,-106,-35
48,14,252,30,-105,-32
45,8,259,27,-91,2
57,6,254,29,-69,48
49,4,254,28,-77,65
46,-3,260,28,-37,49
57,1,256,28,-2,33
45,-1,254,29,24,44
42,5,256,29,61,46
52,4,258,31,131,30
44,7,258,29,150,32
54,-2,256,32,132,28
41,2,255,39,103,20
47,2,261,35,63,7
36,1,264,26,56,-1
35,3,261,18,37,8
47,5,259,-2,45,-17
41,6,258,-11,52,-21
38,7,257,-3,64,-38
42,9,259,-7,64,-35
31,7,258,0,51,-28
27,1,264,2,99,17
28,8,262,3,89,37
30,-1,261,7,78,31
52,5,268,28,72,-33
52,1,259,15,81,-50
39,6,253,1,86,-78
34,11,262,-2,100,-39
39,10,256,-19,100,-38
49,7,257,-15,77,-37
45,-3,252,-31,84,-26
39,9,273,-32,88,-60
35,18,265,-38,106,-10
35,-6,257,-28,102,-10
