
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Liegestuetz"
%
% Proband:
%     "a"
%
% Rows:
%     397
%

@RELATION exercise-5a

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-253,5,-67,-3,74,52
-259,8,-61,-41,143,36
-232,0,-58,-17,46,63
-249,10,-39,-7,96,65
-244,-1,-49,10,35,60
-251,12,-56,-13,51,57
-239,-7,-61,-6,26,47
-268,-1,-56,-15,14,65
-224,1,-51,1,87,62
-281,5,-52,10,93,44
-264,1,-52,21,62,26
-232,-4,-43,22,46,29
-254,3,-59,35,28,34
-267,12,-48,31,3,35
-256,-8,-42,36,15,22
-249,5,-48,35,-3,13
-228,4,-38,11,-47,0
-219,-9,-29,19,-49,21
-162,-4,-41,22,-56,42
-140,1,-41,-22,35,66
-205,-21,-22,-35,218,48
-200,2,-71,-17,142,145
-239,47,-5,-12,304,342
-313,-32,-104,-48,281,258
-259,28,-30,32,126,234
-337,-18,-17,-64,384,259
-368,31,-128,-49,-76,129
-341,33,-1,-107,54,111
-314,14,-49,-184,-91,94
-343,54,-78,-179,-146,28
-290,17,-38,-198,-155,39
-284,16,-88,-53,-179,2
-299,25,-37,12,-188,-42
-281,22,-65,18,-224,-18
-285,14,-35,48,-215,-28
-174,-24,-35,76,-120,-74
-102,20,-44,181,-223,-160
-173,30,-2,174,115,1
-212,2,23,-104,655,99
-253,-3,-30,-39,347,56
-234,45,-16,-100,298,106
-277,9,-6,-45,407,20
-245,22,-43,-23,115,32
-259,7,-38,-62,180,32
-228,3,-26,-40,65,32
-207,19,-16,-35,49,-3
-159,-1,-31,-53,-25,-98
-65,15,-38,-23,-42,-68
-215,13,-25,-63,369,-165
-249,95,-54,-135,187,104
-310,-4,-74,-37,292,297
-281,-24,-65,35,289,349
-337,49,-51,-27,455,88
-364,17,-96,-35,212,236
-386,34,-22,-8,222,214
-332,38,-87,-159,-8,77
-313,24,-32,-123,-59,-34
-294,21,-78,-166,-162,-62
-306,29,-37,-93,-110,-29
-294,25,-51,-45,-126,20
-290,-7,-62,12,-252,-14
-261,16,-33,76,-298,-41
-248,-15,-40,89,-231,-89
-108,6,-31,144,-64,-135
-168,7,-31,126,85,100
-178,21,42,101,377,88
-267,-10,-43,-58,359,120
-236,24,-44,27,97,51
-270,8,-22,7,336,61
-254,19,-14,-88,71,7
-278,13,-46,-20,204,20
-253,15,-46,-26,55,52
-256,3,-23,-5,180,22
-246,26,-18,-11,61,26
-182,-10,-27,-17,26,43
-134,12,-34,-16,-60,97
-135,-19,-28,-7,183,-25
-164,13,-42,-43,376,-101
-242,1,-44,-32,210,2
-313,33,-95,-62,148,158
-386,81,3,-2,51,293
-290,20,-113,-32,108,357
-368,64,-25,-58,12,273
-357,15,-60,-115,259,212
-323,31,-38,-85,137,13
-299,18,-20,-67,76,-25
-318,37,-59,-62,-8,-47
-296,25,-36,-80,-81,-2
-313,-3,-67,-78,-11,-56
-258,45,-26,-50,-169,-72
-260,35,-50,-38,-142,-24
-222,-3,-12,-34,-80,-96
-184,8,-40,40,92,-226
-120,10,-38,56,-33,-26
-166,28,11,-38,463,109
-270,-20,-28,-62,342,98
-267,42,-45,-136,286,116
-244,-21,-18,-146,175,133
-261,2,-35,-127,138,59
-238,11,-56,-45,70,28
-264,9,-24,-54,159,70
-253,16,-50,-36,123,73
-252,13,-16,-27,56,63
-283,5,-35,12,83,26
-256,17,-47,-6,-16,46
-264,8,-21,-6,50,43
-275,17,-38,-12,55,60
-253,25,-49,-7,85,50
-276,9,-30,-17,100,40
-264,12,-32,-21,108,49
-266,10,-30,-32,107,42
-250,13,-29,-19,90,42
-251,12,-36,-21,81,48
-267,18,-42,-31,83,44
-261,5,-30,-27,59,55
-253,7,-43,-35,55,56
-246,13,-28,-34,85,50
-245,9,-46,-42,90,35
-246,18,-26,-36,45,31
-219,12,-29,-39,37,40
-140,12,-46,-31,70,35
-108,-11,-54,1,81,-17
-177,-21,-61,-66,371,6
-292,32,-4,-116,373,31
-273,19,-76,-75,202,200
-325,-66,-56,76,297,164
-365,56,-34,76,208,191
-377,38,-47,-74,-172,208
-364,22,-67,-71,-54,144
-297,25,-37,-50,-62,44
-326,-1,-53,-43,-24,24
-305,49,-41,-54,76,-66
-310,31,-25,-30,7,-29
-279,16,-45,-19,-25,-30
-275,0,-31,39,-193,-122
-254,-2,-40,-11,-219,-78
-110,4,-59,68,-254,-115
-125,52,-16,166,-92,4
-247,-54,43,-187,706,139
-205,43,-34,-157,457,80
-252,-3,-22,10,215,77
-235,15,-20,-165,-80,90
-273,14,-43,-50,154,-10
-251,3,-53,-99,-123,65
-237,11,-10,-61,59,75
-265,14,-19,-60,-10,67
-195,0,-27,-47,-33,73
-185,28,-20,-41,31,50
-109,-7,-46,-56,38,77
-193,29,-49,-34,332,88
-209,36,-46,-120,542,178
-300,32,-39,-129,554,176
-310,87,-19,84,426,117
-406,3,-22,-33,255,257
-366,41,-60,-95,-213,245
-366,15,-49,-90,-45,170
-338,67,-76,-68,-51,40
-305,27,-28,-65,41,-54
-347,33,-44,1,178,-45
-326,39,8,10,129,-50
-306,14,-46,-18,0,-51
-247,20,-62,7,-197,-59
-247,-29,-46,47,-152,-89
-112,-5,-35,80,-163,-237
-123,60,-42,191,106,-130
-219,-52,20,100,263,65
-255,10,-66,-170,461,79
-232,21,-14,-9,158,123
-254,18,-12,-76,160,61
-273,2,-76,-42,2,36
-266,35,-42,-73,48,55
-252,0,-28,-39,119,83
-265,20,-48,-50,134,59
-273,4,-23,-54,86,56
-245,19,-37,-46,119,62
-280,32,-28,-50,78,49
-235,22,-39,-54,55,55
-280,18,-24,-61,84,50
-263,9,-48,-46,67,50
-236,23,-39,-38,69,48
-241,12,-41,-28,78,44
-256,32,-53,-25,62,38
-238,6,-32,-32,68,48
-281,0,-35,-15,81,45
-274,20,-32,-26,89,46
-259,18,-31,-24,86,39
-254,5,-44,-25,90,40
-264,10,-32,-31,83,47
-248,7,-34,-31,86,42
-236,10,-47,-41,68,44
-259,0,-35,-39,79,46
-254,11,-37,-44,75,65
-232,-1,-38,-46,84,60
-273,5,-33,-33,81,56
-233,13,-45,-42,89,50
-260,17,-36,-32,89,48
-275,17,-32,-27,77,55
-256,18,-38,-37,84,52
-248,10,-36,-20,80,19
-225,7,-32,-24,23,2
-177,26,-38,-19,-5,11
-149,-13,-38,-73,172,46
-191,18,-29,36,364,82
-256,-1,-51,-18,350,106
-228,21,-50,-91,292,126
-336,35,-10,-18,267,218
-334,53,-79,11,163,173
-356,7,-49,-13,-152,173
-354,31,-52,13,-231,123
-337,15,-40,2,-129,118
-320,43,-46,12,-59,-23
-329,26,-21,-18,145,-74
-312,37,-48,-8,170,-51
-270,3,-23,-84,43,1
-281,6,-28,-26,-93,8
-240,-21,-44,-16,-127,-17
-162,-18,-58,37,-107,-247
-95,88,-37,189,-70,-101
-212,-55,23,8,369,56
-226,28,-49,-208,436,29
-249,18,-8,1,212,67
-281,-2,-47,-143,23,100
-232,10,-31,-89,8,66
-276,11,-39,-96,153,27
-239,9,-40,-45,117,68
-241,0,-28,-52,114,67
-193,14,-28,-72,0,78
-141,19,-30,-75,63,58
-106,-2,-52,-63,133,78
-193,46,-44,-92,353,96
-289,6,-46,-172,315,212
-277,7,-65,-121,278,72
-351,7,-32,38,50,92
-352,52,-75,-25,-12,146
-384,36,-26,-54,-135,129
-325,45,-46,-53,-89,107
-319,3,-47,-33,-38,64
-275,48,-34,-2,18,2
-293,16,-19,-7,100,9
-302,12,-38,-21,-61,12
