
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Liegestuetz"
%
% Proband:
%     "b"
%
% Rows:
%     800
%

@RELATION exercise-5b

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-250,13,95,-10,65,21
-245,17,103,-15,61,19
-247,21,93,-13,61,17
-258,19,102,-8,58,22
-262,18,97,-5,57,19
-257,20,94,-9,57,12
-254,17,96,-1,58,11
-250,19,88,4,62,14
-260,22,98,2,61,13
-262,26,97,8,52,16
-249,16,95,13,56,24
-255,17,97,12,64,21
-253,20,98,-6,60,8
-246,25,87,-15,60,12
-253,16,100,-8,74,15
-251,21,96,-12,66,22
-248,18,97,-18,61,17
-259,17,98,-23,55,10
-252,24,97,-14,51,13
-242,17,93,-8,54,13
-250,16,97,-7,43,11
-252,16,98,-14,30,2
-253,18,98,-15,32,1
-260,25,100,-12,49,6
-248,15,96,-12,54,10
-253,19,98,-13,52,11
-256,20,99,-9,57,12
-250,18,97,-3,55,19
-260,14,103,-5,56,27
-266,20,91,-9,60,13
-276,26,92,-17,55,15
-266,23,90,-8,55,15
-251,10,100,-6,57,16
-230,14,103,-9,57,14
-235,14,97,-7,51,8
-260,27,86,-5,48,9
-225,22,97,-3,46,6
-249,17,97,-4,46,4
-261,17,97,-10,50,5
-257,21,88,-7,58,10
-256,25,99,-4,64,12
-244,12,98,-9,68,7
-243,12,113,-7,64,10
-250,7,110,-1,61,19
-256,25,88,-5,54,18
-260,14,94,-12,62,8
-238,15,100,-8,65,16
-264,36,88,-4,63,21
-239,10,102,-6,62,16
-240,18,98,-9,60,11
-253,23,99,-3,62,14
-252,11,106,6,67,20
-249,23,91,7,67,17
-241,14,93,4,52,11
-257,20,101,11,49,15
-257,23,98,12,58,19
-252,22,95,11,65,18
-272,27,97,8,65,15
-273,19,92,-3,60,12
-244,12,112,-6,59,11
-241,17,98,-1,58,15
-249,5,102,-2,68,15
-253,22,104,-4,68,11
-241,19,103,-7,59,13
-252,24,96,-5,57,16
-248,16,98,-8,49,12
-227,19,90,-18,30,7
-261,24,106,-13,27,14
-247,15,107,-8,43,14
-263,29,94,-10,46,2
-257,20,101,-11,43,8
-267,29,98,-1,46,18
-254,11,96,4,50,25
-251,19,95,-2,51,23
-244,10,105,-7,54,11
-251,31,91,-14,52,-3
-257,20,118,-7,64,-22
-248,9,103,-9,60,-6
-259,13,104,-3,52,1
-245,12,105,10,53,7
-250,19,95,9,64,17
-267,14,104,6,66,17
-240,18,95,-6,57,9
-237,17,86,-10,59,3
-232,16,91,-7,51,0
-242,19,97,-4,56,6
