
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Liegestuetz"
%
% Proband:
%     "c"
%
% Rows:
%     531
%

@RELATION exercise-5c

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-251,-49,86,4,49,4
-254,-40,92,4,67,10
-247,-47,95,0,55,3
-255,-53,92,14,36,7
-246,-47,87,5,37,1
-254,-43,82,14,33,5
-251,-47,98,10,56,7
-246,-54,92,-4,55,11
-241,-43,87,-7,49,-1
-249,-42,87,-2,61,-1
-246,-47,86,-6,47,2
-263,-47,93,-6,35,4
-260,-47,92,-2,29,7
-257,-49,96,-2,43,5
-238,-45,93,1,28,12
-253,-51,101,2,9,14
-255,-46,89,5,23,8
-251,-39,92,8,33,9
-259,-47,94,6,48,9
-242,-45,91,9,38,-4
-252,-49,92,13,39,-1
-256,-44,89,6,38,6
-250,-44,94,9,49,-4
-251,-39,90,3,46,10
-256,-43,94,4,44,6
-257,-48,94,9,57,-2
-249,-40,92,8,46,2
-248,-46,95,11,42,5
-249,-47,96,3,70,1
-249,-45,90,-6,70,2
-255,-41,92,1,60,-1
-248,-41,92,1,72,0
-253,-49,96,0,60,4
-257,-47,95,4,62,-3
-259,-44,93,7,68,-4
-250,-44,93,5,65,-1
-257,-44,93,2,75,-18
-254,-39,83,11,134,-47
-255,-21,86,4,195,-10
-265,-32,82,9,241,4
-266,-50,86,12,256,-3
-272,-35,85,-77,148,-38
-263,-50,82,-57,72,-114
-242,-75,72,36,37,-266
-223,-63,88,37,93,-268
-268,-52,53,-53,-56,-170
-226,-8,66,90,250,86
-221,-48,61,143,615,406
-273,-90,32,71,1171,585
-364,-139,39,170,1254,417
-256,-49,39,322,1083,-109
-251,5,46,255,660,-181
-257,-44,32,224,444,14
-263,3,-39,205,34,327
-203,-21,34,-143,-195,473
-240,7,14,-405,-318,321
-215,-18,-35,-259,-65,204
-352,-19,18,-27,18,-271
-327,83,27,95,-309,-146
-326,-65,67,65,-287,85
-252,-151,112,3,-401,69
-199,69,43,-144,-675,-114
-219,2,-66,-296,-212,156
-344,-12,83,-7,318,544
-310,-148,75,-209,-124,279
-313,17,64,-57,-287,-82
-276,58,99,166,-265,-228
-283,-41,56,157,-226,-42
-276,10,85,116,-64,-10
-285,-7,54,46,-64,-3
-255,-23,71,41,27,45
-276,-19,47,38,29,18
-252,-16,69,36,79,1
-252,-4,65,31,79,-42
-253,-15,74,38,84,-2
-321,-22,86,19,22,5
-307,-30,134,-13,-173,-12
-174,22,39,1,-492,29
-184,-15,19,20,296,86
-327,-33,89,42,308,183
-291,1,112,-5,-22,38
-255,-3,65,-44,34,-17
-276,-18,63,-6,-76,-49
-272,-3,68,-3,-27,-37
-230,-3,96,-48,39,7
-237,-15,72,-20,55,-34
-227,-3,83,16,59,-23
-239,-2,80,10,-44,-28
-213,11,80,50,-21,-47
-225,-12,73,43,19,36
-224,14,84,50,82,17
-243,-24,51,3,220,108
-262,-4,81,-12,314,125
-239,-3,66,-61,293,70
-281,-13,47,-19,387,91
-274,-22,69,-24,360,79
-285,22,36,-41,325,68
-304,13,45,5,335,40
-312,-4,36,-7,301,50
-296,18,42,2,224,57
-278,-12,23,-11,143,41
-302,-16,43,-17,110,10
-291,23,28,-22,64,-15
-282,3,58,-16,135,-12
-296,-22,28,19,65,6
-303,10,46,36,71,6
-303,9,47,70,74,10
-316,12,17,81,23,33
-318,2,44,73,8,35
-302,2,14,36,-25,58
-275,19,51,51,-78,79
-272,1,24,47,-114,100
-265,13,53,34,-81,84
-266,2,47,25,-136,50
-258,2,39,17,-168,63
-272,47,55,20,-229,7
-236,-11,96,-35,-278,-14
-264,16,67,-47,-315,45
-256,39,77,-30,-339,-21
-206,-33,64,-27,-343,-15
-225,3,76,-6,-216,-42
-219,23,83,-12,-150,-75
-229,32,91,-12,-52,-95
-237,-11,94,-9,1,-30
-232,6,80,-6,21,-3
-229,17,97,-3,64,-15
-229,6,94,1,123,-18
-239,0,79,14,119,-47
-208,9,86,-1,134,-39
-232,5,68,-13,180,-29
-253,8,73,-3,203,-1
-232,-8,88,-12,249,-10
-257,14,61,0,283,-19
-263,-7,78,-10,340,-17
-268,3,53,26,328,3
-284,18,63,17,409,-38
-284,4,58,-29,292,63
-302,23,59,-13,340,-3
-310,6,24,9,245,-13
-288,-30,70,13,264,55
-325,31,31,-2,147,-19
-287,7,48,7,150,-24
-298,-10,32,19,71,15
-286,10,53,35,110,19
-302,10,26,49,86,5
-292,5,51,55,95,37
-289,-13,46,51,98,10
-320,17,42,49,32,29
-278,13,45,57,19,49
-276,12,32,29,-126,62
-269,-8,36,60,-101,93
