
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Liegestuetz"
%
% Proband:
%     "d"
%
% Rows:
%     302
%

@RELATION exercise-5d

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-252,-3,67,-178,276,34
-268,8,60,-173,228,5
-273,18,14,-114,202,25
-251,4,20,-89,155,46
-273,-5,21,-2,208,14
-273,35,1,83,127,28
-259,15,2,83,166,26
-281,-1,-8,43,124,84
-263,6,3,142,76,45
-273,28,16,108,173,31
-268,2,-7,38,61,24
-263,0,18,37,150,-24
-276,3,-2,-29,-3,0
-256,-3,36,-76,92,38
-270,18,9,-61,-60,-21
-262,4,15,-27,-81,-14
-269,1,28,-97,-23,-3
-233,13,16,-72,-167,14
-230,23,41,-38,-68,77
-217,12,27,-20,-80,40
-234,30,35,30,-64,69
-230,28,17,-5,-122,98
-213,-10,36,-22,-149,-52
-286,-1,59,3,28,-36
-256,66,32,-56,-317,-6
-287,19,32,-54,33,83
-266,-46,70,-33,50,108
-308,-3,9,75,-32,55
-326,56,70,15,-74,85
-359,19,23,54,-82,146
-361,55,68,-34,10,86
-371,21,35,-3,-105,41
-321,12,58,1,-92,87
-325,48,32,-19,-205,104
-313,19,59,7,-202,83
-298,45,32,-4,-162,121
-295,23,47,-34,-59,125
-279,29,38,-17,81,85
-256,32,71,-78,101,76
-253,12,40,-43,152,36
-246,12,65,-10,193,-96
-228,43,66,6,164,-167
-190,43,54,-2,164,-160
-164,1,69,7,-14,-7
-182,55,61,-19,67,-52
-153,-14,67,-30,-60,-32
-169,34,47,-9,-1,-60
-208,10,85,-8,-56,53
-243,16,59,4,-27,-18
-241,43,68,16,-106,-106
-265,25,68,-10,-54,-105
-229,-23,46,-14,-228,-36
-268,-17,69,-15,-16,-29
-287,67,55,-15,-49,-97
-275,49,90,0,49,-37
-310,22,78,11,35,10
-344,43,83,29,-9,76
-352,-4,115,33,-96,75
-357,28,85,18,-135,78
-332,33,112,97,-46,76
-308,28,54,29,-141,69
-304,23,101,52,108,51
-270,16,54,-1,71,93
-269,27,66,-66,190,81
-272,14,69,-48,213,50
-258,31,76,-67,160,31
-271,44,61,-71,92,-15
-239,-16,81,-36,166,-56
-214,9,94,-29,118,-6
-212,54,71,-15,-15,-139
-131,-8,90,10,55,54
-139,33,59,-7,-46,18
-161,5,83,8,124,7
-195,40,66,-24,-2,-45
-214,4,89,28,118,-17
-271,30,61,-38,-171,-86
-179,-4,87,-17,37,-48
-293,19,86,-21,-36,-57
-271,-25,87,0,178,-90
-301,45,96,25,79,-66
-322,70,88,7,-51,-129
-319,-39,128,68,-33,53
-377,46,88,44,-93,-49
-373,30,128,32,-44,132
-324,11,102,18,33,98
-295,27,81,79,-23,-12
-309,3,112,58,143,30
-272,19,71,45,-1,-7
-294,12,72,62,139,-31
-268,6,85,6,143,26
-266,22,67,-3,210,-8
-261,11,66,-42,135,13
-235,42,75,-22,257,22
-226,5,81,-62,104,20
-204,13,74,-19,85,33
-150,44,74,22,62,6
-181,-29,73,15,132,77
-181,55,82,37,161,-7
-175,12,67,24,9,20
-204,33,76,20,120,-22
-220,-3,76,5,-53,15
-217,42,57,-31,113,-55
-263,25,85,-40,-88,-21
-230,8,45,-78,-276,-39
-268,20,116,-96,16,-44
-292,27,38,-17,32,-86
-269,-32,131,-92,119,-34
-328,69,70,5,-96,-105
-305,-29,130,-18,-58,98
-351,28,98,34,-23,25
-338,55,113,74,-178,51
-328,0,124,60,49,81
-313,18,94,128,-115,33
-309,16,101,80,-98,103
-294,23,70,56,-24,77
-266,12,96,-11,78,117
-263,52,92,3,267,41
-252,-1,95,-19,124,51
-264,42,72,30,110,33
-234,5,103,-35,-31,9
-222,29,82,4,143,13
-254,-4,72,-27,29,47
-174,50,116,-7,5,-60
-147,-1,99,5,91,29
-199,42,78,21,129,-111
-162,17,107,67,54,-49
-174,28,52,10,87,-53
-214,-2,111,-2,-225,3
-170,41,37,2,-5,-55
-242,-47,115,-32,-173,42
-286,54,92,-48,141,-32
-221,59,105,-73,-158,-58
-295,-20,119,-94,5,-127
-241,-38,123,-49,140,-50
-289,3,135,-72,-158,-151
-295,-22,95,15,-13,-19
-326,84,121,-36,-93,-34
-322,-21,136,55,-50,-7
-322,12,129,93,-66,50
-324,-13,149,39,81,70
-296,52,94,65,46,31
-286,-23,126,17,136,39
-290,35,86,19,94,21
-292,21,95,13,118,19
-263,-6,93,23,131,-35
-256,17,100,24,104,-14
-269,22,79,25,94,21
-250,11,86,-23,101,15
-251,24,78,54,103,4
-237,8,113,-11,174,13
-223,19,65,0,88,63
-212,36,105,-14,172,-33
-165,11,93,18,145,52
-169,-10,100,33,165,43
-204,19,98,20,-37,61
-191,44,92,-11,142,-35
-215,-2,85,-1,61,17
-221,3,97,-60,-92,22
-224,71,73,-36,41,-111
-237,-43,83,-75,48,-10
-215,2,83,-88,-138,31
-244,40,103,-83,12,-71
-237,2,67,-20,15,-78
-271,27,120,-23,152,-27
-299,27,106,3,-52,-5
-306,-26,149,10,-50,118
-326,50,131,0,48,25
-367,17,132,31,-112,95
-295,-11,128,1,-39,77
-329,35,122,123,-56,-6
-281,4,131,25,-8,69
-270,45,99,102,-61,34
-277,5,105,26,72,48
-247,32,80,53,165,-3
-236,6,118,-27,194,33
-258,11,98,-5,114,27
-225,33,108,-25,28,52
-253,1,95,34,149,37
-241,-5,125,-17,48,17
-220,16,64,23,-4,-15
-229,12,114,19,8,-80
-208,45,78,39,74,27
-203,15,110,4,149,49
-169,6,80,-3,24,14
-198,8,118,13,72,-25
-194,40,84,35,19,-1
-166,27,65,-15,21,35
-223,-8,109,-46,-3,37
-206,29,88,-65,124,-5
-261,4,104,-44,104,58
-275,94,110,-119,-344,-59
-233,-38,138,-88,105,-136
-286,21,126,-20,-26,-128
-258,13,115,-80,45,-101
-308,-64,134,31,-108,20
-323,57,145,-39,8,8
-322,-31,148,-1,-68,-6
-313,28,141,-6,-25,31
-294,-1,151,70,-64,89
-297,43,115,110,-85,36
-273,24,111,74,23,49
-268,11,98,72,117,47
-277,2,125,24,276,34
-259,33,101,13,136,16
-237,9,114,0,147,-12
-256,35,86,-9,11,51
-235,-1,104,19,152,34
-254,22,99,16,136,33
-236,17,93,22,266,56
-222,-5,106,5,151,-2
-200,38,97,25,189,17
-161,3,99,9,91,-18
-186,24,92,12,130,13
-165,-4,87,47,214,36
-167,54,67,-40,-9,-4
-184,3,82,37,214,-12
-221,5,89,-36,-71,27
-236,45,103,-8,242,-28
-241,-5,74,-127,-221,-33
-261,19,134,-39,109,-152
-298,46,92,-27,179,-75
-299,62,119,-88,-31,1
-308,-58,143,-48,-110,-10
-336,58,134,17,-87,-30
-345,-26,152,-25,-79,145
-299,44,123,43,-145,97
-310,11,127,-6,-188,114
-280,4,106,49,-79,109
-274,42,95,64,-33,80
-251,23,121,35,191,70
-260,17,98,50,159,69
-242,31,120,-15,40,98
-259,20,110,18,121,94
-252,20,116,-17,25,51
-262,37,110,37,149,44
-228,19,109,9,-11,4
-222,26,108,24,114,-4
-224,0,96,24,173,-102
-187,60,112,-11,138,-161
-174,-17,72,89,216,-104
-161,34,111,42,47,14
-166,19,76,39,259,-84
-213,34,98,39,88,-96
-189,35,78,-7,-50,-17
-227,-10,124,-20,85,-24
-251,44,65,-76,-182,-78
-220,-17,121,-55,-19,-12
-248,18,79,-79,-354,-133
-269,61,135,12,211,-42
-293,-35,100,-9,21,-15
-271,5,156,32,-98,-24
-293,-18,109,7,-109,-7
-306,9,143,-41,-140,84
-285,40,146,-45,-37,20
-336,-4,175,1,87,68
-277,19,141,43,2,40
-290,19,121,42,-12,40
-275,14,120,33,-9,62
-261,40,83,22,50,34
-264,6,137,4,190,8
-215,4,118,3,177,8
-251,44,122,24,93,2
-239,2,112,3,58,-18
-256,25,109,6,62,7
-269,39,101,26,181,41
-224,5,124,-17,194,25
-224,37,103,33,163,-3
-191,-9,117,32,81,-46
-209,55,68,122,103,-5
-179,-28,113,23,101,41
-170,34,94,-5,164,-25
-206,-2,101,20,277,22
-191,23,76,-71,138,-11
-189,31,101,0,34,32
-243,22,86,-39,187,-14
-244,11,100,-24,-72,8
-228,46,85,-52,-67,-21
-259,-3,93,-39,38,-113
-265,21,135,-44,213,-137
-269,23,101,24,139,-51
-310,9,125,-2,-95,-10
-265,-15,136,-58,-51,22
-334,6,115,-40,-149,22
-336,-2,154,-9,-35,31
-316,-1,145,-24,-55,48
-282,27,134,70,-50,-65
-281,-16,111,7,-128,58
-248,27,135,110,159,-19
-273,0,104,24,24,-34
-251,14,112,69,167,-41
-259,17,112,50,185,-67
-252,2,111,47,153,-7
-238,27,117,41,62,29
-262,-1,101,17,-121,22
-255,21,101,24,-154,35
-240,38,109,13,51,-21
-268,5,110,-50,100,19
-244,15,129,-13,169,61
-241,6,105,-14,135,46
-218,27,103,2,138,35
-205,11,107,18,215,-1
-201,15,85,-10,170,11
