
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Liegestuetz"
%
% Proband:
%     "e"
%
% Rows:
%     381
%

@RELATION exercise-5e

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-254,-38,78,-15,12,-50
-263,-46,91,-22,11,-20
-255,-49,89,-36,27,-8
-252,-43,90,-18,20,8
-270,-36,92,10,33,16
-242,-43,91,40,42,39
-254,-46,100,44,44,48
-239,-43,92,37,31,46
-254,-48,97,13,27,26
-259,-50,99,-15,43,23
-249,-48,95,-49,76,18
-258,-52,100,-62,110,3
-256,-38,100,-61,62,-40
-246,-41,104,-49,94,-5
-260,-51,98,-32,109,-31
-251,-54,80,-16,177,-84
-257,-39,72,-5,160,-140
-265,-52,76,5,165,-148
-272,-56,63,42,130,-136
-275,-78,73,-42,77,-19
-231,-57,77,-247,54,-181
-207,-24,110,-334,170,-254
-266,-33,75,-230,-11,-44
-264,-55,72,-55,-46,220
-256,-65,78,13,24,258
-256,-67,69,30,190,238
-258,-55,61,23,250,147
-249,-55,52,22,259,76
-255,-36,43,1,202,5
-267,-33,56,5,152,16
-266,-45,64,31,135,133
-255,-49,82,22,122,84
-251,-50,74,-2,58,61
-261,-38,74,-37,23,55
-256,-37,74,-47,25,50
-249,-41,73,-39,33,25
-256,-46,71,-11,46,23
-249,-40,75,8,9,12
-254,-46,61,37,-34,-22
-260,-36,59,70,-59,-3
-265,-51,63,77,-86,29
-233,-44,79,92,-103,1
-220,-47,78,90,-253,-25
-181,-20,77,65,-299,-3
-193,-23,89,105,-202,-80
-160,-35,60,136,-210,-130
-177,-3,54,109,-56,15
-261,-59,107,29,140,36
-287,-55,133,14,194,216
-275,-18,50,-17,273,254
-269,-28,72,-31,425,274
-278,-28,52,-43,530,208
-276,-38,51,-25,534,124
-284,-38,45,-29,473,0
-286,4,39,-56,540,-30
-287,-59,18,-28,475,122
-288,-31,33,-39,422,13
-282,-18,23,-37,331,-76
-300,-20,36,-38,185,-44
