
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Schulterheben (beidarmig)"
%
% Proband:
%     "a"
%
% Rows:
%     454
%

@RELATION exercise-6a

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-7,11,261,-16,72,28
-7,2,268,-15,65,45
7,2,269,-5,69,60
1,-1,274,0,70,53
5,6,262,1,73,60
5,6,258,-3,74,75
-3,10,262,-7,70,69
4,1,267,-13,59,53
-1,0,265,-22,54,58
12,2,269,-28,51,60
-12,4,274,-31,44,48
1,14,263,-33,9,36
-3,2,267,-37,-4,31
1,2,263,-40,17,27
-3,-2,266,-32,66,25
4,-2,270,-32,68,26
2,6,267,-28,72,32
-5,5,267,-29,68,27
2,2,272,-27,60,28
5,1,265,-27,63,30
0,2,265,-26,70,31
3,-1,266,-27,64,29
3,1,263,-25,66,28
0,2,269,-26,60,26
2,-1,268,-28,43,34
3,3,264,-26,21,30
3,1,265,-26,34,33
6,2,265,-26,58,35
7,1,265,-28,65,35
3,1,265,-29,65,32
10,6,260,-26,72,31
16,4,260,-23,82,23
-16,15,272,-20,97,34
-14,-11,280,-22,83,40
-10,-8,272,-20,97,39
-7,9,265,-18,106,37
41,-16,264,-17,89,36
5,4,267,-17,70,30
9,0,272,-15,71,33
25,-1,253,-15,81,32
6,-5,286,-16,81,36
-3,-3,262,-16,95,36
-17,15,270,-17,94,34
-22,10,271,-18,73,29
2,-10,268,-18,68,25
-11,14,264,-18,72,13
-2,-6,273,-17,79,4
-5,-5,267,-17,60,4
-3,6,265,-25,40,22
17,5,269,-32,71,28
13,-4,275,-53,67,65
-4,-3,271,-34,54,65
2,-18,292,2,88,61
-12,1,303,-24,118,43
23,8,268,-20,267,26
4,6,260,-82,521,-4
-45,16,309,56,1360,123
-83,-36,265,52,2151,172
-102,32,187,40,1922,-11
-89,5,208,-26,269,0
-65,2,238,-62,-719,-22
-104,-3,260,26,-315,13
-88,10,251,21,-211,52
-74,10,242,-43,-426,75
-42,8,255,-70,-577,67
-13,10,262,-110,-753,35
-18,5,251,-94,-885,42
-6,-8,264,-58,-949,-19
32,11,255,-68,-810,-19
15,-7,260,-41,-519,59
45,-4,279,-32,-255,88
27,-49,279,-96,-207,20
20,17,289,-75,-87,-24
20,1,282,-74,-88,7
34,-5,287,33,26,35
54,4,259,67,82,-16
44,-2,256,51,111,40
30,4,257,-7,89,70
36,3,277,-14,83,74
35,-1,263,-30,118,74
39,-4,270,-25,138,76
33,0,272,-55,158,102
38,-7,274,-78,182,90
51,-7,274,-48,370,18
41,-6,261,-17,891,-35
-19,1,275,-29,1334,18
-39,-3,275,-63,1555,49
-64,17,236,-1,1531,146
-90,-32,214,98,1088,78
-90,-2,249,31,58,82
-45,-9,227,-43,-600,67
-65,0,269,-44,-369,73
-34,-3,281,-95,-434,34
-17,-7,264,-39,-600,3
-22,1,279,-12,-755,-6
8,6,254,-51,-1008,-37
34,1,254,-47,-729,25
34,-16,258,-5,-558,73
26,-2,268,-38,-280,-2
36,-7,268,-126,-141,-44
30,-28,294,-147,-59,-23
29,6,273,-89,19,-41
28,-6,274,20,17,-66
33,0,260,41,25,-81
36,1,262,3,96,24
33,-3,254,-9,109,81
34,-4,269,-3,103,109
43,-1,267,-32,75,75
38,2,270,-22,82,45
33,-23,274,38,56,102
40,-22,286,25,127,128
46,-4,275,-35,390,87
39,-17,236,-93,937,28
-17,8,274,10,1793,24
-58,-4,260,47,2096,-76
-102,-15,196,17,1667,-98
-100,6,240,69,171,-102
-60,-5,237,-24,-581,-31
-65,-9,273,-59,-282,101
-45,-18,265,-57,-546,108
-50,-2,262,-60,-594,84
-4,-5,266,-35,-725,29
4,-6,253,29,-850,16
14,8,254,22,-769,6
59,-12,254,18,-627,63
24,-6,266,16,-322,60
53,2,245,-13,-186,73
46,9,288,-48,-139,29
-2,-23,259,-40,-96,56
44,-1,272,-25,-17,38
16,7,265,-68,9,-4
22,-2,282,24,34,20
-8,3,275,48,55,6
25,-8,259,16,64,28
75,-4,272,-14,58,59
54,-1,267,-15,81,78
24,-3,274,8,31,108
49,-12,260,2,31,93
30,5,275,-25,113,71
18,-6,273,-41,331,88
22,-20,271,-77,648,79
-14,-9,266,-13,846,-10
-2,3,267,102,1274,25
-55,14,246,36,2028,-31
-92,12,257,-44,1746,-11
-44,-16,232,-101,-325,49
-52,7,272,36,-189,51
-41,-2,278,17,-241,64
-10,6,263,-10,-567,71
-30,-4,270,-44,-786,88
13,-10,260,-59,-979,37
13,18,257,5,-630,6
28,-10,260,0,-511,21
27,9,260,30,-432,84
44,-7,271,-70,-180,46
16,0,271,-122,-159,-63
24,10,283,-83,-28,-50
12,-6,272,-89,1,-15
47,12,288,-12,-29,4
29,18,261,-20,52,-15
28,-4,270,9,58,25
35,-1,257,4,57,45
46,1,273,-23,77,45
24,-3,266,-36,107,73
27,4,272,-37,105,92
44,0,258,-43,91,90
27,-5,273,-35,123,70
33,-3,280,-33,174,53
26,-14,278,-33,561,30
3,-10,272,-36,1202,-2
-21,17,260,8,1801,-1
-83,-4,264,-3,2468,37
-103,17,215,88,1813,17
-114,21,233,44,770,38
-59,-12,243,-58,-571,83
-110,2,268,-1,54,110
-53,-4,260,14,-16,102
-74,-2,254,36,-287,82
-77,11,258,-33,-453,106
-39,-9,251,-11,-659,78
-34,10,257,1,-802,76
-11,12,252,-20,-743,34
1,-2,262,-42,-702,-8
-6,18,250,-65,-533,13
2,-2,269,-27,-317,49
2,12,275,-49,-245,50
11,-23,264,-93,-160,50
13,8,255,-46,-267,-37
21,9,270,-28,-183,-36
21,-2,285,23,-62,5
