
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Schulterheben (beidarmig)"
%
% Proband:
%     "b"
%
% Rows:
%     600
%

@RELATION exercise-6b

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-97,-1,245,-5,-62,14
-90,-9,245,32,-172,13
-87,1,258,40,-285,81
-98,3,267,71,-178,155
-87,-2,273,116,-191,128
-84,10,259,39,-241,125
-86,-1,254,14,-225,141
-76,-6,265,1,-298,108
-55,-1,255,-59,-240,5
-68,6,274,14,-304,-28
-62,11,289,67,-205,-2
-57,5,256,126,-111,17
-60,9,259,72,-196,15
-31,5,252,37,-25,23
-47,5,265,16,-8,49
-53,-3,267,-10,-6,48
-38,0,271,-1,17,17
-41,4,273,7,51,-23
-55,1,273,1,35,-56
-39,12,265,-2,62,-56
-39,9,266,12,90,-45
-59,2,269,27,77,-34
-59,9,269,20,84,-48
-53,11,256,17,66,-54
-42,9,267,-5,108,-36
-57,15,266,-26,301,-41
-48,0,283,38,342,-100
-50,12,290,172,406,-87
-74,27,277,162,482,43
-68,12,253,-11,448,98
-88,4,242,-187,299,28
-77,10,247,-149,261,49
-91,18,258,-138,263,87
-85,0,258,-140,248,66
-91,1,253,-105,159,51
-89,3,252,-52,76,68
-84,9,252,-64,45,73
-86,9,245,-46,45,52
-82,5,242,-48,-16,66
-86,-5,246,-76,-40,45
-89,5,243,-90,10,-10
-95,-6,258,-72,21,-37
-78,-15,264,-73,40,-16
-103,9,260,-3,27,-36
-79,-1,263,48,-65,25
-78,0,248,92,-77,47
-69,-9,262,82,-221,45
-76,12,277,55,-195,-23
-77,11,251,22,-125,-11
-68,-9,268,14,-347,46
-52,2,266,39,-198,-42
-60,-4,266,63,-135,-56
-54,8,263,30,-175,-71
-53,5,266,59,-77,-88
-42,3,266,50,-24,-80
-48,12,257,22,-22,-67
-44,8,264,14,-16,-55
-48,3,268,7,11,-25
-44,8,265,-6,22,-9
-41,4,261,1,14,4
-43,5,263,8,12,5
-41,3,265,5,28,4
-39,6,263,-17,16,3
-42,4,263,-28,36,5
-57,15,268,-26,43,5
-40,16,261,-17,59,-3
-41,6,266,-5,83,2
-43,8,262,-12,87,8
-37,10,277,5,144,14
-56,16,268,26,172,19
-55,10,283,24,186,29
-45,7,256,43,228,-26
-41,-4,266,77,199,-45
-68,21,289,54,331,-81
-71,16,267,-65,244,-70
-83,7,259,-164,94,-81
-59,-5,254,-234,40,-77
-59,2,255,-147,15,-28
-75,4,250,-18,41,59
-75,1,250,63,21,103
-66,-2,266,43,90,104
-57,8,256,65,182,118
-70,4,254,83,161,112
-78,-8,258,50,158,77
-90,2,274,-23,179,-25
-87,10,250,-39,67,-19
-73,3,256,-78,11,-31
-61,4,237,-89,-21,31
-56,12,263,-25,-126,62
-67,10,271,2,-24,67
-74,-7,269,38,10,36
-60,20,279,52,-104,85
-66,5,253,46,-86,83
-59,-5,255,-4,-103,55
-58,16,263,-18,-60,-7
-66,8,273,-17,-75,-14
-44,2,261,-8,-159,-16
-57,-8,272,10,-213,-42
-52,6,273,3,-138,-76
-46,7,266,-1,-131,-57
-40,10,264,2,-125,-32
-40,3,266,18,-62,-13
-39,9,267,2,-62,7
-24,14,256,-13,-77,30
-9,-4,266,-6,-76,20
-25,4,266,-2,-76,14
-11,-1,261,-12,-64,9
-13,-3,269,-3,-3,-4
-30,6,269,-2,23,-23
-24,13,260,-21,18,-20
-19,3,267,-27,23,7
-22,8,266,-24,16,12
0,-2,265,-16,32,18
-20,3,264,-9,76,19
-19,-5,274,4,141,16
-13,6,277,13,247,-24
-34,9,281,113,438,-100
-36,13,275,175,535,-30
-36,10,261,165,553,110
-64,13,255,38,510,129
-54,3,259,-78,544,97
-76,7,264,-72,641,53
-115,6,246,-121,594,64
-70,-4,244,-36,241,22
-104,2,254,3,231,6
-105,0,245,-27,229,-61
-98,-5,254,-30,140,-94
-95,17,244,3,203,-111
-102,10,249,-30,134,-35
-93,3,243,-65,69,52
-101,-4,243,-89,13,86
-94,10,248,-71,-35,42
-81,-3,250,-79,-13,63
-92,-9,264,-41,-56,86
-106,-10,262,11,-126,64
-75,-5,261,56,-261,-81
-81,11,270,6,-210,-105
-84,3,262,-46,-226,-15
-61,-3,283,54,-418,49
-61,6,261,19,-166,12
-60,-6,255,-4,-216,-7
-50,2,269,26,-246,-39
-43,-2,262,-8,-164,-41
-47,1,270,-24,-120,-52
-40,3,261,-24,-33,-52
-39,1,261,-2,-95,-25
-42,-2,267,10,-77,10
-42,0,263,2,-29,26
-34,1,268,20,-27,24
-32,0,267,39,4,22
-36,1,264,31,24,14
-38,3,262,15,56,4
-36,0,260,-9,44,6
-28,2,264,-50,47,26
-35,-11,269,-47,65,31
-40,-6,265,-12,101,22
-50,7,259,5,153,1
-31,2,280,34,293,-11
-43,10,280,35,436,39
-66,5,278,72,436,21
-54,-4,275,33,203,45
-66,2,271,-30,345,54
-77,-9,285,-8,427,17
-72,5,257,34,416,8
-93,17,248,30,332,-10
-84,-2,235,26,294,-27
-82,15,257,5,160,-58
-83,-1,268,8,266,-17
-104,6,246,-13,274,57
-81,-3,241,-64,143,51
-98,1,257,-72,145,10
-102,17,245,-53,138,-9
-84,-3,245,-45,127,19
-106,4,248,-70,40,11
-103,-11,249,-154,-67,-43
-96,-3,230,-128,-59,-54
-75,4,267,-13,-143,-10
-67,-14,269,28,0,49
-97,-9,243,28,-58,79
-73,-17,274,19,-267,-16
-78,2,270,5,-130,-49
-72,-9,271,5,-146,-18
-70,-12,277,24,-255,13
-68,-1,266,49,-73,5
-66,-11,270,89,-121,0
-86,-1,278,52,-90,-21
-59,7,264,9,-109,-2
-66,5,268,-5,-193,18
