
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Schulterheben (beidarmig)"
%
% Proband:
%     "c"
%
% Rows:
%     548
%

@RELATION exercise-6c

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
37,7,259,5,98,84
34,-3,271,20,87,58
38,8,262,25,77,45
34,9,260,41,53,52
40,8,269,47,42,86
27,-2,264,77,51,87
27,15,264,66,78,75
30,11,269,51,46,59
31,17,262,53,6,46
26,20,268,21,-37,50
27,11,273,2,-1,33
31,19,260,-33,24,2
35,25,265,-56,138,-5
27,23,260,-42,146,-9
15,22,257,14,153,22
33,25,260,57,130,67
25,6,269,59,126,99
20,2,250,56,40,159
6,13,262,32,16,179
10,12,262,44,1,170
18,10,260,30,0,203
18,2,264,3,62,220
30,-11,260,-15,93,219
17,2,260,-23,80,210
16,-2,256,2,64,145
19,0,258,11,56,140
30,-9,265,14,115,105
21,-2,260,21,122,67
14,-12,259,39,129,25
12,-21,268,50,141,-25
20,-21,261,43,122,-45
18,-26,265,24,117,-82
12,-19,259,13,90,-101
23,-21,266,6,105,-103
17,-18,265,-18,70,-57
20,-20,277,-22,40,-51
25,-12,259,-28,52,-48
23,-16,265,-43,68,-9
16,-4,258,-59,13,-8
21,3,259,-66,3,-1
26,10,260,-44,3,-9
20,6,263,-47,-47,52
22,12,261,-25,-44,58
43,4,256,0,8,15
17,5,269,33,24,59
21,15,270,82,-19,49
20,10,262,67,-101,90
22,7,270,49,-78,89
25,12,263,55,-42,93
25,7,271,57,-48,77
31,8,266,51,17,21
33,9,263,42,27,-8
31,11,259,16,13,-6
34,4,270,-14,6,-11
38,0,259,-20,7,-26
30,6,260,-21,23,-22
23,14,254,-2,42,-28
44,1,264,1,80,-13
32,7,257,1,79,-2
37,-12,262,-11,62,22
36,0,259,21,34,-42
28,2,268,11,31,-36
35,-12,261,-29,38,5
46,2,262,-4,81,-33
32,-1,262,0,66,-71
34,-4,263,-2,93,-57
30,0,262,18,72,-41
32,-10,260,14,71,-42
36,3,252,20,128,-43
35,28,256,43,153,-46
20,-21,271,14,115,-40
31,8,260,67,121,-38
28,-3,263,32,116,-10
29,7,274,19,161,-16
23,9,267,5,56,7
23,1,270,18,28,1
24,14,269,12,8,56
24,-3,257,8,21,23
24,-3,261,17,43,60
21,11,268,19,27,64
29,-12,259,-1,36,52
30,17,262,-23,6,116
10,9,272,-17,29,115
19,-19,266,0,47,101
28,14,263,22,-78,86
22,5,272,16,-52,108
25,-21,266,-32,-54,138
30,2,257,7,-55,64
45,4,257,35,-41,-2
47,7,259,34,25,35
30,1,260,47,-15,87
33,-2,262,12,-3,85
25,12,260,-3,7,86
34,-8,263,29,3,57
26,15,259,-2,14,52
33,-1,260,17,-3,44
41,-5,260,1,-29,28
30,4,260,-8,-28,-11
34,-3,258,-27,-28,-24
36,10,267,-33,33,-39
37,2,258,-23,61,-54
45,0,261,-10,88,-49
41,4,260,-1,83,-35
29,-12,258,16,95,-38
38,-8,261,22,95,-53
36,10,264,26,94,-71
34,1,259,14,62,-102
30,2,259,3,49,-71
38,9,256,13,10,-79
41,2,255,-7,48,-54
41,17,255,-23,42,-22
41,0,260,-18,52,-9
38,-7,263,-1,71,-22
36,0,261,3,67,-70
30,7,261,44,46,-30
42,-13,260,90,62,-40
51,5,248,65,96,-24
42,5,256,10,158,-38
40,16,263,-5,155,-64
31,0,255,25,124,-67
25,5,269,5,119,-55
25,3,262,15,93,-29
31,3,262,2,80,13
29,9,261,7,27,21
30,7,263,-2,0,25
31,-8,261,8,40,27
33,4,263,-3,24,42
29,7,259,1,23,36
26,3,264,-16,24,62
30,-5,258,-47,-17,102
41,15,263,-7,-38,66
