
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Schulterheben (beidarmig)"
%
% Proband:
%     "d"
%
% Rows:
%     407
%

@RELATION exercise-6d

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
29,10,264,-9,105,5
29,7,261,-22,107,34
4,7,273,-35,74,78
14,-9,268,-18,58,58
35,-4,262,1,9,23
24,8,263,-2,-4,27
24,5,275,-43,18,49
19,-2,265,-43,72,54
23,5,256,-22,138,5
19,2,257,-20,293,7
7,-7,265,-35,403,-15
5,7,263,-24,556,-32
-7,-4,265,38,766,-45
-8,-1,280,61,798,-71
-39,-3,267,67,871,-37
-45,13,254,51,731,21
-56,1,262,32,488,35
-46,-4,260,3,293,53
-63,2,257,48,65,22
-48,16,254,-2,-140,56
-44,-13,258,-11,-297,69
-36,16,266,37,-446,7
-12,1,264,20,-426,-46
-14,21,264,39,-497,-15
4,12,260,14,-516,48
8,3,260,-28,-453,69
25,-9,264,17,-330,47
1,14,271,45,-69,50
2,7,259,9,50,66
17,-10,273,16,7,43
17,33,266,32,47,43
-4,4,274,-46,31,67
23,-20,263,-57,23,54
15,27,265,38,-44,27
10,-14,286,6,53,-3
12,26,272,5,23,-1
6,6,268,1,-18,60
3,8,276,62,-56,8
12,7,266,104,-42,15
19,4,266,74,-112,22
21,5,278,50,-100,10
15,13,261,-17,-80,46
36,5,254,-50,-93,25
39,18,263,-42,82,-1
32,9,262,-85,244,-11
22,-5,264,-105,333,24
12,1,256,-97,508,55
8,9,265,-34,614,5
2,-6,269,-14,630,-26
-26,0,261,19,609,-3
-24,4,265,19,483,36
-35,2,258,-1,495,-5
-42,7,265,-61,421,-14
-52,2,252,-66,314,-12
-44,7,260,-59,153,5
-40,1,263,-13,-42,12
-34,-6,263,-11,-121,22
-23,-11,276,-4,-127,25
-21,-1,262,34,-137,5
-22,0,267,34,-311,8
-3,-2,264,61,-404,-20
3,1,260,85,-463,-20
6,-6,264,72,-465,-41
25,2,265,84,-362,-78
19,21,261,90,-108,-63
10,19,271,27,39,22
20,-10,270,-51,-5,41
-10,19,257,-29,30,44
6,6,268,1,7,55
-1,7,284,-29,41,28
8,1,267,-23,-22,-21
6,0,270,-13,-56,-7
11,10,263,65,-40,-50
15,15,263,63,-16,-7
13,-1,275,5,-59,21
11,8,261,67,38,-21
37,5,271,66,48,-1
16,9,267,24,20,-9
25,7,273,33,-10,14
14,19,272,-5,1,32
37,4,272,-38,-16,35
41,16,263,-36,147,28
22,9,272,-87,286,59
2,-1,266,-133,501,20
16,3,261,-68,534,-4
1,5,268,-39,624,-13
-17,-10,271,-27,789,-73
-28,22,252,83,738,-64
-33,-16,262,-81,409,-12
-45,-1,281,-25,325,-52
-46,11,263,7,312,-1
-66,-9,263,-38,329,-2
-49,-4,262,-49,220,22
-58,-2,261,-30,65,48
-61,10,264,-35,3,42
-51,-4,274,-34,-19,43
-39,-21,261,-41,-141,53
-46,4,263,66,-389,35
-14,-9,266,3,-519,40
-20,1,269,47,-460,24
-5,16,258,68,-420,21
4,10,265,-9,-284,29
-25,3,265,6,-154,-63
2,9,263,79,-130,-80
8,17,254,9,-6,-21
9,0,280,-41,60,-50
-1,17,276,-85,68,33
-11,-11,283,-112,-12,49
-27,-15,268,-69,-49,-20
0,8,271,25,-72,-31
5,-6,272,22,-44,-39
18,9,258,26,-22,-23
-1,20,268,44,44,15
-9,-12,276,69,72,54
14,3,276,65,22,84
18,20,279,58,-169,120
27,-5,260,61,-232,75
26,5,251,64,-203,20
32,21,258,-15,-124,59
32,0,278,-98,80,80
20,-20,281,-45,122,61
41,6,251,-44,108,78
21,-4,253,-92,276,73
24,-11,267,-91,436,45
4,-3,265,0,596,40
-12,-20,270,-4,757,53
-7,-34,262,24,546,-75
-51,27,273,118,476,-114
-25,19,255,32,161,-54
-31,0,268,-16,12,62
-23,-7,266,-25,-11,91
-31,8,252,-11,-1,76
-24,-5,266,-53,-67,129
-17,0,267,-45,-78,122
-19,-5,267,-38,-143,88
-13,2,256,-13,-232,73
10,-22,272,-68,-363,28
3,-12,262,-24,-323,6
15,6,267,64,-256,-132
14,-2,259,87,-186,-147
4,2,263,46,-142,-101
21,8,259,24,-160,-149
21,23,264,-12,-102,-72
32,-15,263,-59,-63,33
20,11,263,2,-6,-26
30,5,271,3,-19,-28
16,-4,260,-19,4,-37
37,2,273,-24,-12,-7
48,-12,267,-70,23,-20
22,-5,277,-70,18,-13
30,1,262,-44,-31,-5
8,-21,257,-14,-74,-28
33,-10,270,-5,-92,-81
34,-1,259,15,-76,-122
39,1,263,27,-3,-90
46,-17,254,35,53,-69
39,0,270,50,64,-26
33,-2,266,54,91,-41
43,9,272,72,61,-36
20,2,258,65,-18,-37
41,12,263,38,-56,19
48,-23,264,-54,16,39
42,5,259,-66,44,1
46,6,271,-26,194,-48
23,0,255,-99,332,13
44,-17,246,-100,439,-20
4,-19,256,28,739,-166
29,19,280,119,692,-179
-20,12,261,28,679,-97
-16,-9,256,-29,694,-7
-32,28,267,-9,337,30
-36,4,258,-35,104,30
-29,1,255,-28,66,95
-32,-12,268,-5,70,82
-22,6,272,-13,51,93
-26,3,264,7,5,103
-22,-8,268,15,-127,90
-29,-3,261,55,-274,22
11,16,265,35,-419,10
12,11,253,-12,-361,9
29,-1,256,-5,-226,20
18,8,269,60,-247,20
1,-5,266,43,-267,-24
39,12,268,41,-213,-62
35,4,263,60,-152,-62
39,17,257,8,-45,-28
27,22,258,-35,62,48
30,9,262,-5,47,81
18,-23,279,-29,69,49
39,11,260,-46,-86,32
30,-8,260,-50,-57,-28
16,9,268,-5,-102,-30
34,2,261,-19,-112,-89
19,7,248,-14,-48,-26
25,2,257,-37,-58,-5
31,6,263,-79,82,17
30,-2,270,-57,110,73
33,-2,262,-61,144,56
37,-7,270,-12,180,31
37,-4,269,32,153,24
41,-7,263,28,43,79
40,-31,266,-12,-30,35
31,0,275,-36,-10,-13
38,8,269,-24,5,-78
23,12,264,-22,119,-11
22,-14,248,-70,245,63
45,-12,265,-54,525,105
17,-4,256,12,891,22
-2,-16,262,82,973,-36
-7,8,252,65,654,103
-29,-9,269,-9,429,108
-41,9,253,1,345,83
-33,-1,268,20,98,80
-32,-8,258,13,72,105
-22,-25,268,8,47,48
-28,24,259,1,-99,48
-22,-13,269,-7,-134,-5
-22,6,261,66,-184,-53
-9,-6,267,52,-292,-10
-8,12,264,67,-328,17
3,11,259,36,-405,23
4,17,261,-28,-404,147
8,-13,254,-8,-405,132
16,3,258,72,-307,38
29,3,258,136,-254,18
12,9,248,128,-110,3
42,-18,264,138,-90,-100
41,55,258,94,33,27
6,-2,268,-52,206,64
25,26,256,-62,105,70
-4,1,255,-57,103,-2
22,14,274,-14,124,-35
25,9,270,-28,88,-52
14,10,256,-36,24,-45
23,25,260,-63,-30,-37
21,2,279,-42,32,-27
34,12,274,11,49,-31
22,-2,257,-1,69,49
21,5,266,3,69,49
38,3,265,10,73,59
12,3,266,16,68,57
12,-3,274,25,33,31
26,9,265,17,-11,26
27,16,269,9,-48,16
28,6,281,-2,-83,-24
24,0,270,0,-15,-10
42,25,258,-30,-8,30
38,7,261,-109,172,60
36,-1,256,-108,277,74
39,4,272,-68,432,103
22,-15,257,-74,763,46
4,-16,261,-34,803,9
-13,12,266,35,625,19
-31,-3,261,-52,393,77
-6,2,281,-17,314,19
-55,-9,259,19,97,-52
3,12,250,42,-275,-75
-21,-5,273,47,-165,-56
-7,-8,267,15,-17,-22
-11,5,265,10,-85,32
1,1,273,11,-148,27
0,8,263,20,-229,29
16,0,254,-25,-339,58
20,-7,271,-33,-314,96
-5,-15,260,-40,-99,92
33,-13,262,-4,-107,18
30,6,266,-7,-67,18
28,18,273,-51,28,82
10,-23,264,-57,60,100
16,-8,270,35,79,103
19,12,256,39,-24,101
18,-26,278,15,112,48
18,10,281,71,-89,43
9,-4,257,18,-75,-4
41,0,258,52,-150,-45
17,-5,263,80,-56,48
20,-9,257,36,22,-8
21,6,279,-12,10,18
28,-9,269,-20,47,20
26,1,263,-4,24,-8
24,-1,270,4,56,-14
37,-5,264,-4,53,-48
39,1,267,1,18,-51
33,2,269,-1,-98,-51
25,-2,260,-16,-59,-37
49,1,270,-27,-28,-22
35,13,268,-43,25,21
43,-3,262,-48,-6,36
38,-4,250,6,179,63
40,-8,259,-25,294,88
45,-13,256,-19,493,-19
12,0,265,24,594,-37
0,-3,266,36,613,-101
-12,8,252,44,497,-118
0,3,258,-4,352,-116
-6,13,263,-47,206,-64
-10,3,260,-19,144,-14
-18,-2,270,35,113,10
-26,-7,258,2,62,45
-14,-15,267,29,-56,27
-2,10,262,40,-168,3
6,-5,265,35,-188,11
-2,13,264,67,-201,-37
19,-1,263,36,-250,-53
14,7,267,-2,-300,37
30,-8,260,-29,-273,46
10,10,252,22,-194,41
27,-7,268,54,-136,92
18,-9,262,41,-47,67
32,-1,256,33,-62,-55
