
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Schulterheben (beidarmig)"
%
% Proband:
%     "e"
%
% Rows:
%     468
%

@RELATION exercise-6e

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
25,14,263,7,51,16
36,11,256,6,72,9
24,16,253,4,53,13
12,18,268,9,75,5
18,10,267,4,47,-16
17,18,258,6,41,-18
24,15,267,8,55,-18
33,10,261,7,49,-28
27,16,258,6,41,-29
5,14,269,3,55,-36
23,15,265,0,47,-40
22,12,271,2,47,-40
19,16,259,3,45,-39
29,18,259,1,23,-37
28,9,263,-5,16,-44
16,19,264,-8,-8,-58
27,14,258,-13,-41,-44
29,12,256,-28,6,-26
20,11,252,-37,90,-3
32,6,268,-30,179,-9
14,15,260,-24,154,-46
19,12,265,-6,145,-75
19,13,254,-7,122,-117
15,28,256,-6,106,-107
21,8,265,16,115,-72
27,3,264,11,62,-84
6,14,282,-12,35,-81
6,7,271,-18,-54,-37
11,14,269,-18,-33,-1
23,8,256,-16,-20,24
23,5,265,-20,8,32
28,11,274,15,17,11
30,14,270,21,-17,-32
34,19,261,22,-60,-64
35,19,259,21,-92,-46
34,13,262,19,-76,10
37,6,254,7,-69,9
32,9,252,-11,-68,31
40,7,259,-24,-28,28
31,12,264,-32,-9,18
35,12,261,-39,6,17
32,10,262,-51,41,27
31,2,259,-46,70,69
29,9,256,-61,100,115
26,1,258,-46,137,88
20,1,268,-46,134,63
33,-1,269,-36,115,-16
30,10,264,-4,94,-105
25,11,254,18,84,-103
30,16,255,42,75,-103
45,16,257,74,106,-5
28,10,261,89,127,72
14,7,253,67,126,118
14,6,266,59,119,96
36,-2,268,45,99,-32
49,8,265,10,95,-63
22,2,256,-8,85,-25
22,14,263,24,89,-98
15,12,260,11,98,-75
12,15,270,19,112,-22
22,8,257,6,106,66
27,7,262,29,118,39
14,10,264,6,125,77
7,5,270,18,77,58
26,10,265,19,51,42
28,13,256,27,33,32
22,13,263,5,95,6
14,8,271,24,86,-47
12,17,260,57,93,-84
16,9,265,63,115,-69
6,13,263,61,138,-78
3,16,268,52,121,-49
1,14,266,57,86,-37
-14,21,260,56,-71,-59
3,22,271,78,-56,-59
17,19,272,66,-5,-12
18,29,265,38,-38,35
3,26,261,29,-61,102
14,10,269,13,-1,183
21,3,258,13,11,92
18,18,259,-39,-15,63
28,17,268,-90,-7,28
14,16,259,-78,-41,-43
26,11,260,-60,-79,-100
30,25,260,-21,-42,-153
31,23,264,-35,-26,-95
28,16,262,-70,-7,-4
26,9,260,-74,-4,47
25,9,260,-51,17,51
19,14,268,-61,24,76
31,-2,254,-69,34,109
29,-3,257,-44,57,60
25,5,263,-45,58,-20
30,8,264,-20,50,-56
34,1,258,-27,60,-46
36,-5,260,6,60,-82
18,9,256,35,50,-89
28,9,264,45,52,-66
28,18,250,48,21,-17
37,17,265,94,61,4
37,3,273,38,104,97
12,8,267,2,82,123
10,1,262,7,65,55
26,7,252,31,59,15
25,20,262,-6,64,-36
25,2,261,-22,118,-12
23,30,265,-10,156,-26
26,-1,259,-33,135,57
12,32,258,-13,149,79
19,-22,264,-12,149,91
16,29,260,-4,135,53
6,6,263,-22,136,94
11,2,264,-4,111,65
16,7,264,-12,121,26
6,-1,268,15,132,-49
0,6,258,-1,105,-33
12,4,265,-4,99,-11
5,6,263,-2,105,-29
2,0,264,27,89,-38
-5,7,263,25,68,-45
-4,6,261,46,4,-17
7,4,268,71,-17,5
2,11,265,79,-30,-4
13,3,268,90,-36,16
10,18,266,80,2,44
19,9,272,84,18,28
6,17,264,66,12,28
18,8,272,59,-8,13
5,17,258,47,-7,10
18,21,256,8,-16,28
19,15,264,-14,-13,36
8,13,259,-14,-36,5
28,10,259,-14,-53,-67
30,6,262,-24,-83,-96
29,11,258,-27,-58,-79
13,7,264,-27,3,-45
32,7,271,-25,32,1
17,10,263,-29,33,17
30,15,257,-44,40,85
21,4,263,-72,75,122
33,12,259,-59,83,48
29,-1,262,-32,61,-9
21,7,279,-4,33,-54
36,10,262,-5,48,-24
30,6,257,-1,25,-5
30,14,259,18,9,-29
27,5,256,77,22,-54
32,15,258,103,48,-46
35,14,264,77,99,43
21,-3,268,45,70,80
34,14,260,28,85,55
34,23,258,-3,88,-15
15,1,265,-7,94,-13
26,15,265,-18,75,4
29,16,253,11,111,-46
34,2,267,10,107,-64
19,38,262,-8,116,-21
15,-14,264,-19,123,72
18,12,268,22,122,3
22,13,263,-8,143,25
12,12,270,-14,138,42
17,16,269,25,163,-18
6,7,267,-5,124,4
8,20,257,25,109,-33
-3,-4,265,48,127,-17
-8,8,277,33,124,-2
3,10,269,48,98,-31
-16,23,264,32,99,-41
-6,7,259,40,-24,39
0,16,272,51,-82,47
24,11,270,57,-68,12
7,16,275,62,-76,28
22,23,263,54,-90,68
13,16,263,46,-57,105
27,13,261,29,26,96
30,7,267,3,47,64
17,14,261,-26,38,38
14,14,258,-56,8,-13
3,16,264,-65,5,-28
7,14,260,-66,9,-33
16,17,260,-52,-6,-58
24,11,271,-52,-5,-51
14,12,264,-53,-21,-22
19,10,262,-54,-18,-14
12,12,262,-45,-2,-29
35,0,259,-45,28,-39
20,5,259,-34,57,-20
21,9,262,-32,76,17
30,6,264,-57,68,3
14,7,265,-56,46,-11
19,11,259,-10,46,-66
18,10,257,25,47,-68
28,6,263,82,67,-32
27,8,267,109,113,19
20,15,256,52,74,110
11,6,255,14,83,110
1,13,267,29,91,93
17,5,268,6,107,61
20,2,265,-7,110,67
11,9,268,-61,111,74
20,0,257,-15,115,31
20,-4,266,2,131,0
7,21,268,-16,161,0
13,-3,261,-28,120,64
15,12,264,27,156,41
0,3,269,32,182,50
4,4,268,48,138,41
1,1,274,45,106,63
0,17,266,59,115,-40
