
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Punches"
%
% Proband:
%     "a"
%
% Rows:
%     487
%

@RELATION exercise-7a

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
15,-2,261,-35,79,17
14,6,267,-35,85,19
13,5,266,-30,106,28
20,5,260,-27,107,24
14,6,266,-25,99,27
8,2,268,-21,108,26
16,9,264,-19,80,23
23,-6,267,-15,62,23
25,3,265,-12,84,1
16,3,269,-6,88,-26
10,4,269,-11,57,-30
15,8,263,-24,23,-24
23,2,264,-24,-14,-18
20,6,263,-21,39,-20
19,3,266,-16,71,-22
19,7,265,-13,55,-15
19,9,268,-14,50,-3
24,3,263,-13,18,14
21,7,263,-14,13,12
28,-10,266,-16,9,17
12,1,274,-18,1,17
37,3,272,-18,11,17
18,4,267,-12,43,7
29,7,260,-10,73,-3
-2,1,278,-7,119,-23
6,12,272,-9,144,-34
25,-2,268,-11,131,-38
13,16,269,-9,116,-45
24,7,266,-4,147,-60
17,3,259,4,135,-43
-2,7,273,16,162,-51
22,17,261,38,200,-50
24,19,260,54,122,-5
33,16,268,57,92,25
37,56,311,42,37,193
42,107,289,-77,88,904
-7,137,207,-147,18,1789
-106,82,171,-56,517,3297
-179,-35,210,-142,1238,4178
-107,-189,285,-240,1339,4061
8,-132,286,99,173,2212
106,267,385,30,-12,-87
-30,-84,333,-220,1149,302
-170,-49,294,-423,1805,-459
-84,-42,245,-170,177,-1678
-64,-14,239,57,-480,-1920
-82,-20,287,112,-160,-2084
-31,-29,239,179,-310,-2192
-51,-8,229,210,-387,-2107
-20,-14,246,225,-362,-1970
6,-18,280,251,-313,-1704
1,1,269,268,-187,-1306
24,-17,268,274,-119,-998
26,4,257,271,-139,-729
21,-4,261,196,-106,-559
18,9,248,178,-116,-473
8,4,275,140,153,-324
7,4,263,100,124,-214
18,3,268,63,21,-160
0,7,276,38,65,-105
25,8,263,15,-46,-31
15,5,264,5,-28,13
3,15,271,7,58,12
22,10,255,-4,114,9
9,3,267,-12,122,4
2,2,269,-19,123,-16
31,3,260,-15,169,-37
23,2,266,-14,173,-19
18,28,260,2,181,57
22,40,256,-43,216,361
20,70,278,-87,453,713
-7,131,283,-275,555,1741
-174,142,180,-476,648,3415
-216,10,126,-498,1024,4284
-228,-230,268,-553,1385,4667
-153,-272,315,-222,139,3223
39,155,340,-93,-628,909
-5,19,270,-208,-25,887
-172,-71,353,-154,1304,543
-99,-38,279,-98,419,-1164
-72,-6,224,-3,-403,-1631
-76,-26,218,34,-532,-2210
-107,8,276,233,172,-2429
-80,8,251,324,-42,-2368
-34,-2,248,267,-522,-1966
-58,-24,266,201,-336,-1537
-14,-7,250,157,-511,-1318
-6,-16,254,58,-421,-994
0,-25,270,48,-156,-755
0,-17,267,73,-119,-624
7,-25,262,85,-136,-548
16,-17,264,91,-105,-513
19,-25,267,83,-123,-475
22,-6,260,60,-143,-437
23,9,261,54,-111,-381
22,5,257,45,-52,-298
36,3,258,33,-62,-201
28,7,260,51,14,-107
29,15,272,51,108,107
51,36,273,37,7,318
58,81,275,24,188,873
-28,118,254,-81,597,2306
-167,107,170,-99,810,3312
-237,23,150,-286,1342,4465
-196,-248,311,-367,1333,4134
-78,-165,326,-169,150,2800
77,196,282,2,-516,550
37,-108,386,-248,603,1083
-183,-49,316,-469,1851,309
-66,-35,262,-144,-24,-1271
-53,-41,206,-69,-1042,-1611
-71,-16,245,-18,-507,-2012
-67,-8,236,143,104,-2047
-27,-32,245,279,-89,-2005
-48,-48,277,308,-58,-1736
-19,-10,270,306,-78,-1540
-3,-20,263,250,-401,-1330
-19,-18,256,175,-256,-1120
12,-22,275,168,-204,-1040
0,1,256,143,-64,-900
14,-15,261,113,-78,-761
0,9,263,88,-62,-665
-4,9,262,49,-9,-518
13,-7,273,18,-40,-348
24,-5,259,19,-20,-235
34,16,262,9,50,-55
22,15,266,31,64,164
45,4,266,44,92,325
40,21,287,39,259,670
47,68,291,-30,152,1282
-23,184,229,-104,340,2204
-226,119,134,-245,1110,4153
-248,-59,142,-407,1658,4784
-168,-366,357,-468,1598,4351
-164,-65,315,58,-435,2144
50,132,250,-190,-611,430
-100,-148,374,-428,1419,1044
-163,-41,272,-405,1893,-80
-70,-19,222,-12,-594,-1449
-51,-16,217,26,-1011,-1692
-101,-32,276,85,-182,-1869
-85,-31,258,251,37,-2027
-57,-16,236,302,-368,-1978
-38,-19,261,243,-479,-1827
-6,-17,260,171,-436,-1610
-16,-16,268,167,-320,-1397
10,-25,258,171,-318,-1164
35,5,243,136,-363,-935
12,-14,268,67,-148,-674
-7,-9,266,71,26,-495
8,-4,276,78,25,-434
1,3,264,65,30,-312
23,-12,273,40,-11,-169
14,-7,264,32,-84,-87
18,-1,263,30,-113,3
32,2,259,31,-109,53
39,-5,258,29,-110,89
19,1,266,31,-33,100
42,-6,257,29,-43,129
40,-1,261,24,-25,126
20,2,269,21,74,113
35,-5,263,17,107,103
35,2,261,19,152,103
28,2,267,19,234,81
27,-3,265,12,165,74
26,2,258,7,127,68
18,-3,266,2,90,45
17,1,268,-4,63,29
26,4,262,-5,48,16
31,-1,264,-6,33,8
20,3,269,-5,38,3
22,0,264,-1,47,9
34,1,261,-3,65,31
28,0,261,-4,55,43
24,0,262,-5,73,56
37,5,260,-3,73,56
32,5,258,4,65,53
34,14,267,17,98,80
52,52,276,19,171,237
58,85,267,-14,295,682
-32,97,226,-82,446,1992
-112,77,176,-83,935,3424
-208,-49,169,-144,1377,3993
-163,-192,293,-217,1653,3645
-49,-93,407,24,48,1708
91,180,220,14,-598,249
37,-83,314,-177,129,721
-161,-55,281,-372,1691,-280
-87,-20,258,-62,-53,-1416
-72,-20,240,108,-599,-1646
-64,-12,254,133,-170,-2015
-72,-25,235,226,-55,-2136
-26,-38,232,299,-207,-2120
-47,10,269,298,-309,-1908
-27,-22,272,201,-367,-1572
-5,-14,261,207,-399,-1375
7,-14,253,187,-314,-1124
-5,2,259,116,-248,-923
6,-3,253,117,-150,-822
36,11,255,98,95,-593
15,4,279,51,185,-307
14,5,264,63,171,-216
5,-1,277,61,157,-77
1,-4,276,57,143,1
-3,1,271,47,89,32
-7,8,278,32,-6,93
2,23,279,7,-157,184
48,40,275,-9,-216,351
37,140,269,-69,145,1143
-110,158,217,-279,911,3146
-268,79,87,-275,1263,4234
-193,-128,323,-382,1993,4630
-125,-354,284,-408,59,3421
154,271,202,-20,-1117,1119
39,-135,363,-151,346,1579
-206,-36,335,-496,2442,349
-62,-46,242,-35,-165,-1269
-104,11,241,65,-488,-1562
-75,-40,261,-17,-657,-1850
-108,-29,240,190,-232,-2197
-81,-6,269,362,-260,-2380
-20,3,256,374,-626,-2065
-45,-7,267,267,-435,-1623
-28,-16,273,202,-468,-1286
-15,-5,259,172,-456,-1163
5,8,253,125,-442,-951
13,-16,255,84,-288,-767
43,-2,257,82,-190,-666
47,4,268,62,59,-483
29,18,269,63,129,-279
15,8,272,60,31,-165
31,-3,259,53,-95,-90
21,1,264,31,-94,-67
34,0,264,14,-51,-35
18,2,265,3,-4,-6
45,0,263,-9,-63,32
39,9,255,-14,-67,58
45,-2,257,-13,18,76
31,4,268,-9,54,94
21,-2,267,-7,108,103
33,1,263,-11,121,111
22,3,264,-20,141,117
30,3,262,-20,146,105
11,5,269,-23,76,89
18,8,265,-22,35,67
22,2,266,-23,19,50
36,-6,260,-22,-1,34
37,-1,264,-17,18,21
36,1,256,-12,49,18
42,6,258,-12,69,17
39,2,258,-10,75,13
34,-3,265,-10,82,16
33,0,260,-6,101,16
30,5,261,-6,111,17
29,6,264,3,124,15
25,0,266,6,126,14
27,3,263,6,101,15
32,5,262,6,77,10
33,0,261,6,53,6
34,3,265,3,41,3
29,6,260,1,50,-7
30,4,261,-1,67,-7
34,4,264,-5,63,-12
37,10,259,-10,73,1
41,11,266,-12,93,64
55,43,284,-22,105,186
58,154,261,-81,175,762
-38,102,223,-223,660,2334
-169,67,127,-175,729,3488
-200,-64,153,-12,1171,4097
-165,-203,349,48,2040,3831
-103,-252,333,151,874,2680
44,217,218,68,-621,257
-60,-122,340,-473,894,990
-157,-49,335,-135,1757,-408
-100,-44,248,56,65,-1161
-72,-11,230,-41,-790,-1618
-88,-39,243,-16,-574,-2098
-82,-5,256,176,-401,-2323
-41,-30,218,174,-482,-2381
-31,10,256,221,-586,-1939
-28,-25,258,122,-682,-1689
0,-25,260,160,-428,-1544
5,1,244,166,-376,-1458
28,16,264,123,-222,-1325
32,3,271,89,-76,-940
34,13,271,69,71,-529
15,4,268,52,150,-341
27,-9,258,52,199,-212
-8,-12,271,27,246,-127
13,2,261,12,152,-119
47,12,273,7,84,-117
34,18,273,0,-5,9
47,59,270,-14,-2,255
24,104,256,-53,14,1124
-20,73,237,11,209,2550
-209,68,150,140,605,3944
-227,-68,206,171,1495,4293
-198,-258,322,68,1482,4294
17,-29,353,413,-669,1713
47,147,277,-171,-64,984
-72,-77,387,-460,1419,989
-118,-68,260,-271,857,-280
-78,-30,249,-122,17,-1084
-120,-36,254,7,-297,-1636
-88,-19,234,90,-353,-2199
-94,-41,245,214,-79,-2439
-120,-62,239,408,-113,-2756
-58,47,265,518,-487,-2837
-60,27,285,365,-517,-2310
-3,3,250,262,-532,-1947
9,23,250,174,-251,-1486
14,14,281,133,-12,-994
6,12,269,114,-163,-713
23,19,244,105,-144,-328
25,15,264,77,273,-27
6,39,273,66,423,146
11,54,278,4,317,449
29,36,273,-70,3,833
33,112,281,-151,-159,1363
-66,115,187,-369,82,2943
-200,70,134,-241,895,4054
-261,-153,175,-359,1811,4445
-119,-278,315,-601,1633,3989
88,-28,384,90,-1163,1601
-57,71,318,36,-375,1566
-271,-161,396,-300,2140,1135
-87,-44,270,-42,392,-781
-68,-33,225,164,-594,-1298
-99,-1,256,167,-338,-1600
-133,-29,260,243,-248,-1881
-93,-15,227,306,-932,-2096
-29,0,220,237,-1221,-2128
-41,-24,256,133,-527,-1955
-31,-9,263,146,-246,-1679
-23,-22,264,170,-276,-1486
4,-7,258,129,-440,-1112
-7,-6,264,82,-308,-918
13,2,259,59,-260,-846
23,1,260,14,-179,-647
25,1,256,-7,-39,-435
18,0,262,-25,65,-294
12,-3,263,-24,154,-93
23,-8,262,-14,100,-10
6,-2,268,-7,126,19
18,-6,262,-13,33,57
11,-6,270,-10,23,86
11,-2,262,-1,21,88
5,3,260,3,-12,95
50,-4,258,9,2,120
13,-8,273,11,62,122
30,-8,265,21,87,128
44,-20,271,19,104,133
25,-21,274,22,120,131
36,-4,271,27,164,89
9,9,264,21,161,76
9,-13,273,16,126,62
-1,1,273,11,90,25
8,-5,263,11,97,-8
27,-5,269,5,79,-22
28,5,273,-3,53,-25
31,3,270,0,78,-21
23,-1,267,-2,86,-1
20,2,260,4,107,39
10,14,266,9,174,96
19,19,263,25,141,145
42,68,276,12,176,479
30,141,272,-145,446,1763
-172,154,165,-210,757,3129
-265,7,112,-149,1317,4424
-253,-240,246,-182,1638,4423
-18,-143,370,37,575,2819
25,296,259,-18,-327,511
-31,-153,381,-380,1147,1024
-203,-52,320,-107,1909,-190
-128,-11,269,107,406,-1107
-99,10,224,114,-980,-1583
-82,-13,221,34,-719,-1931
-103,-5,245,140,-242,-2075
-94,-15,244,240,-260,-2175
-69,-13,257,246,-493,-1756
-52,-20,253,156,-518,-1420
-29,-8,252,101,-650,-1126
-10,-25,255,91,-471,-963
-9,-1,260,102,-208,-788
16,-1,256,54,-234,-566
3,-16,264,51,-16,-364
-9,-8,256,56,274,-230
-11,-6,272,65,717,-131
-38,-19,273,71,480,-42
-26,-13,267,42,15,49
-16,-9,276,34,-162,70
-16,-5,260,22,-232,84
-7,-15,268,15,-167,72
-15,-4,268,12,-121,59
1,-11,266,2,-87,48
4,-13,270,-2,-38,47
11,-19,262,-14,-19,65
-4,-10,274,-13,14,56
-2,-6,262,-24,-33,61
7,-16,273,-24,-9,45
-3,-13,265,-22,118,36
-5,-12,272,-19,129,39
8,-26,265,-17,97,44
-4,-10,263,-12,66,44
3,-3,261,-10,61,47
21,-18,261,-7,40,36
-3,-19,274,-1,17,31
3,-12,266,2,22,35
8,-18,266,2,26,29
10,-14,261,2,37,23
8,-7,259,4,31,-7
9,-11,263,-8,51,34
9,-2,263,-4,87,30
-3,-10,270,-3,103,28
10,-10,264,16,140,48
-1,-10,268,10,114,46
-9,-11,265,1,102,36
5,-6,265,-5,76,37
3,-9,267,-8,24,41
7,-8,262,-12,-19,38
4,-3,263,-7,-31,20
3,-7,266,-4,-1,28
7,-7,265,-8,21,42
11,-13,264,-5,41,40
3,-3,269,-10,95,10
3,-5,265,-18,96,23
5,-7,266,-22,98,22
8,-6,265,-20,67,17
1,3,264,-17,66,29
15,-10,259,-12,94,52
17,-7,269,-14,89,50
-9,-3,256,-24,65,92
13,2,252,-15,38,55
-3,14,253,-14,53,52
22,-12,263,-10,60,43
23,0,268,-15,72,26
17,-23,262,-19,68,7
-6,-3,268,-27,72,9
8,0,262,-18,79,-32
-11,-3,267,-31,87,-21
-13,5,270,-22,88,-48
-6,-14,271,-36,22,-16
21,-24,263,-29,-22,-4
4,-6,254,-23,-26,3
19,-11,274,-5,44,6
22,-32,262,4,58,9
5,-9,265,-7,52,17
