
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Punches"
%
% Proband:
%     "b"
%
% Rows:
%     600
%

@RELATION exercise-7b

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-47,-8,260,-6,65,13
-45,-12,261,-6,59,14
-62,-6,260,-2,64,18
-67,-4,256,1,64,18
-54,-2,263,3,58,16
-38,-15,268,2,58,20
-62,-12,264,-3,69,25
-44,-6,264,-8,79,36
-52,-11,261,-21,116,61
-43,-9,259,-43,173,85
-44,-16,267,-70,199,97
-39,-24,257,-137,226,127
-40,-65,252,-23,282,105
-78,-80,237,377,335,-239
-62,-51,265,600,443,-531
-102,-4,248,929,423,-996
-68,12,225,1196,404,-1369
-141,84,216,1459,765,-1597
-153,43,205,1596,1404,-1614
-237,83,223,1363,837,-1956
-169,237,211,720,528,-881
-130,40,238,-150,-744,237
-161,71,240,-472,-594,615
-116,67,216,-830,-785,758
-122,67,233,-1002,-873,881
-78,33,247,-1073,-748,1251
-64,11,256,-1130,-638,1550
-68,-16,245,-1067,-642,1609
-45,-68,252,-636,-554,1366
-28,-38,248,-333,-383,972
-32,-45,248,-223,-114,642
-18,-39,262,-205,-11,457
-27,-30,255,-187,108,227
-27,-36,259,-131,103,66
-31,-30,274,-96,68,-7
-16,-38,256,-64,111,-34
-37,-33,273,-23,56,-69
-32,-23,254,-4,3,-78
-32,-24,265,-3,45,-77
-34,-25,259,-7,54,-76
-32,-24,260,-21,65,-59
-31,-42,257,-29,104,-35
-12,-81,260,111,139,-125
-27,-74,257,353,211,-451
-36,-53,250,546,281,-716
-59,0,249,899,377,-1120
-67,75,250,1098,445,-1225
-63,28,245,1041,595,-1205
-109,70,236,1143,1194,-1358
-127,10,233,1076,1479,-1249
-273,244,219,623,890,-746
-153,96,222,-17,151,52
-144,41,249,-488,-728,408
-113,76,226,-672,-527,555
-109,64,230,-778,-422,661
-109,44,256,-872,-410,797
-101,22,256,-869,-255,944
-99,18,252,-797,-331,978
-62,-20,248,-624,-554,1030
-47,-40,250,-528,-346,953
-43,-41,259,-447,-114,696
-44,-28,260,-375,-67,488
-46,-34,263,-285,-52,256
-44,-31,260,-201,-41,94
-42,-28,259,-164,-39,39
-47,-31,266,-128,-4,57
-48,-25,256,-61,-11,99
-45,-27,261,-21,-9,122
-49,-31,262,10,26,123
-47,-31,260,9,35,78
-49,-29,262,23,79,30
-49,-29,260,30,80,4
-45,-19,263,28,88,-45
-42,-10,264,28,79,-28
-39,-33,262,68,47,21
-31,-68,264,147,30,3
-39,-72,252,292,70,-313
-40,-57,254,424,170,-640
-66,-13,253,692,397,-1210
-54,-5,249,919,542,-1619
-108,27,245,1010,696,-1764
-128,40,250,1193,1055,-2010
-131,25,251,1323,1133,-2116
-222,256,158,886,470,-1002
-136,110,243,109,-358,95
-189,51,277,-179,-82,556
-144,82,246,-368,-196,771
-126,76,220,-535,-449,904
-112,69,229,-701,-627,1186
-113,55,269,-782,-373,1503
-96,10,247,-857,-531,1686
-60,-16,246,-763,-641,1585
-30,-44,248,-656,-632,1212
-18,-27,249,-513,-179,802
-21,-34,272,-366,21,476
-26,-10,256,-194,72,110
-22,-21,271,-197,40,63
-24,-16,260,-188,17,91
-24,-9,264,-107,18,134
-29,-27,267,-111,60,160
-30,-32,262,-68,127,122
-42,-24,262,-18,71,53
-22,-26,263,45,46,-22
-21,-45,266,75,-6,-68
-11,-44,265,100,-24,-150
-24,-57,252,175,-10,-304
-39,-29,244,368,156,-527
-42,-18,241,513,371,-890
-56,12,253,775,702,-1486
-66,65,284,1019,1038,-1917
-144,108,208,1231,1406,-1906
-99,20,208,1185,1300,-1670
-265,176,200,1111,1113,-1690
-195,205,216,36,300,207
-204,35,256,-301,-388,610
-138,57,232,-428,-755,783
-131,77,210,-670,-994,758
-104,40,257,-805,-827,814
-107,37,252,-850,-542,977
-74,62,250,-895,-612,1055
-82,17,250,-881,-839,1221
-29,-50,242,-781,-796,1352
-8,-49,258,-485,-397,1157
-13,-52,258,-327,-164,822
-16,-45,244,-260,-81,658
-13,-46,266,-148,2,421
-1,-39,246,-41,56,232
-9,-40,260,-23,124,142
-38,-33,265,-5,120,-11
-16,-37,262,18,79,-112
-20,-16,260,65,54,-169
-18,-23,263,83,89,-192
-35,4,276,85,146,-168
-34,-19,271,83,158,-121
-28,-14,275,64,163,-86
-17,-21,268,31,102,-6
-4,-37,262,161,71,9
-5,-81,242,309,84,-105
-38,-44,243,508,250,-663
-51,-29,233,811,451,-1379
-77,62,233,964,602,-1715
-93,102,258,1060,1037,-1885
-162,119,261,1127,1599,-1772
