
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Punches"
%
% Proband:
%     "c"
%
% Rows:
%     258
%

@RELATION exercise-7c

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
9,20,260,122,26,-768
16,-19,258,117,-137,-508
49,23,269,86,-141,-496
51,8,285,21,33,-219
40,-7,259,-31,13,-39
31,1,249,-10,-32,-15
27,0,251,16,-11,-28
46,-14,270,8,3,1
44,-19,266,1,-46,-26
31,7,244,-6,-140,-119
17,34,231,-5,-311,-150
103,60,236,-2,-372,-27
102,29,264,-91,-174,264
40,10,302,11,69,834
19,-69,273,126,149,1184
33,-54,257,363,273,1417
24,31,214,299,261,1387
6,157,242,434,376,1221
-109,-305,315,249,785,1274
-13,2,318,59,441,344
-14,-81,326,-125,407,-315
-48,-29,262,-103,-1,-738
-6,-23,248,-203,-53,-1105
7,-9,245,-222,11,-1208
1,5,249,-195,-38,-1093
21,-2,272,-100,-62,-936
26,-6,289,112,-97,-907
28,8,273,196,-174,-631
41,21,234,157,-194,-491
19,4,237,128,-27,-357
52,12,277,73,-8,-141
56,7,290,55,-26,-38
37,-5,257,46,-148,33
21,-8,223,-1,-204,3
17,-8,226,-6,-155,-127
29,27,251,9,-8,-390
118,60,268,-3,-63,-349
93,86,278,-97,-24,-68
21,30,278,-93,-11,594
5,-4,276,49,67,1317
13,-77,256,250,8,1748
-41,-13,296,410,293,1879
148,178,165,406,381,1602
-69,-270,271,206,867,1457
-34,15,307,83,543,549
-23,-92,344,-112,443,-219
-22,-35,291,-169,23,-958
-33,-48,251,-241,8,-1356
-4,-9,232,-207,-2,-1514
11,28,246,-196,37,-1309
15,7,266,-11,-24,-1099
31,17,279,113,-29,-992
34,6,285,142,-100,-630
28,1,266,209,11,-308
11,25,235,142,-4,-188
5,-5,231,88,-40,-56
84,8,314,71,-1,-56
39,7,275,35,-247,-34
27,-5,257,38,-130,-35
16,0,230,-14,-42,-78
12,13,230,-18,-18,-151
29,36,242,7,-17,-187
74,73,285,66,72,-58
86,52,296,-45,87,312
22,12,295,-88,-13,776
-13,-14,269,-2,19,1271
25,-91,231,210,55,1388
-58,-19,308,267,333,1449
107,109,178,145,423,1117
-54,-96,292,181,894,1418
-59,-113,233,52,628,287
-32,-28,355,-69,346,-25
-38,-57,308,-72,123,-593
-22,-56,266,-114,-145,-980
-14,-33,243,-116,-180,-1183
-10,21,227,-191,-76,-1116
-3,13,266,-114,-36,-906
28,14,286,105,0,-723
25,3,281,196,21,-616
16,-2,261,186,-131,-307
19,5,249,155,-108,-157
-13,0,240,119,-99,-105
48,-2,256,86,-221,-131
36,9,275,41,-314,-95
19,-9,269,20,-310,-28
57,-23,259,-33,-150,-81
31,12,232,-6,-157,-179
33,39,210,-3,-164,-228
99,64,275,-48,22,-190
58,32,285,-154,18,425
