
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Punches"
%
% Proband:
%     "d"
%
% Rows:
%     246
%

@RELATION exercise-7d

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
29,8,261,22,63,23
25,14,255,25,34,13
24,17,261,34,101,16
11,1,268,32,117,-14
23,17,257,51,70,-60
18,19,267,82,92,-94
21,17,269,49,153,-28
24,17,257,15,90,17
16,17,264,-14,30,47
19,20,258,-29,55,63
23,19,261,-16,96,84
8,15,264,-22,115,114
15,17,266,-13,92,118
18,7,263,-10,49,98
14,8,264,-6,24,73
18,8,260,-9,17,46
16,10,261,-11,9,23
19,12,260,-9,0,11
21,12,258,-14,19,68
19,19,260,-23,64,77
15,12,266,-23,128,84
21,4,266,-9,123,59
15,5,263,9,90,16
17,7,264,7,45,5
11,12,263,0,45,-8
14,5,261,-4,39,-25
18,11,265,-10,68,-13
29,15,270,-24,71,25
22,13,263,-14,64,28
28,11,270,-2,52,25
21,2,268,1,81,34
4,7,270,7,94,14
11,14,265,3,59,-3
17,3,267,2,34,-26
11,14,265,3,62,-47
17,15,264,-7,64,-68
19,11,263,-22,44,-90
6,13,265,-29,60,-107
13,2,271,-35,73,-111
12,1,269,-46,54,-113
17,9,270,-51,54,-147
24,-14,268,-43,29,-181
9,-19,271,-38,-3,-318
1,-15,269,-80,-59,-605
4,-29,275,-95,-97,-819
0,12,259,-146,-124,-1129
29,33,280,-196,-211,-1248
17,9,275,-254,-48,-1331
1,-30,243,-194,99,-1491
56,-48,265,-84,186,-1740
-13,135,226,432,323,-1793
67,142,247,283,-145,-815
29,49,292,-563,-427,171
36,47,274,-64,319,652
56,2,262,307,188,1030
16,8,258,110,-5,1052
21,-9,253,17,236,940
11,96,270,192,18,1175
8,52,278,185,-90,1400
22,22,251,68,-21,1838
-2,35,254,223,123,2193
-43,0,276,274,162,2337
-37,-14,290,412,166,2449
-46,-53,260,439,144,2393
8,-27,286,361,164,2130
19,92,289,234,110,2046
17,-13,221,-21,998,2230
-164,-195,212,-691,1477,2207
-1,-115,193,-387,266,1118
22,-62,330,549,-1611,499
-18,-35,304,109,-231,-296
73,-43,188,-282,-205,-827
-4,-87,277,-145,41,-1299
-48,-37,299,-1,212,-1743
