
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Punches"
%
% Proband:
%     "e"
%
% Rows:
%     132
%

@RELATION exercise-7e

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
32,3,267,-24,72,15
15,-3,270,-17,71,-7
19,13,265,-20,49,26
15,4,266,-16,99,42
22,9,265,-9,86,33
15,6,264,6,74,52
24,7,252,17,113,35
15,5,261,14,130,21
12,5,265,8,138,18
6,5,268,3,143,5
13,9,264,0,120,-3
7,2,268,1,92,3
-1,9,265,3,107,16
9,11,259,7,107,26
10,11,262,12,100,32
27,8,264,19,71,27
18,18,258,21,38,-12
10,8,262,20,-7,-42
7,11,261,18,-28,-67
13,11,251,13,-9,-47
2,15,242,6,41,-61
19,17,310,-32,11,-133
9,7,318,-136,24,-168
-1,-18,262,-218,254,36
-43,-30,167,-37,716,294
-40,-35,209,63,902,415
-84,-75,220,114,620,650
-61,-49,258,234,-63,898
1,-84,299,240,-209,691
49,-21,397,201,34,-128
-109,-57,461,0,216,-1870
-124,84,304,-233,568,-3366
-120,271,54,-87,290,-3684
176,68,61,-47,218,-2475
52,-247,92,9,651,-1806
14,133,153,383,-344,-863
50,70,388,242,-419,484
-34,358,511,173,-459,1490
-329,313,431,88,-806,5029
-512,-336,171,261,-224,7301
-120,-512,180,388,745,6692
140,511,113,325,1396,1684
-123,-476,306,-52,974,1908
-97,42,363,-331,-148,740
-238,-348,278,252,164,-783
-144,-12,248,95,-410,-3043
-86,70,511,285,260,-4403
-398,-152,244,774,536,-4988
-419,438,55,351,489,-6343
104,419,88,174,230,-3628
-3,-180,309,478,816,-1169
-21,226,120,658,-194,-889
-85,337,511,88,35,634
-291,511,435,-411,-1126,3678
-512,-203,187,-356,-843,7187
-505,-512,-24,-46,-99,7993
-106,31,325,153,1424,3401
-264,-42,301,-290,1057,1876
-98,-115,280,-892,117,1539
-179,-313,322,-40,-208,-487
-404,-153,345,524,77,-4334
-462,-46,335,710,422,-6168
-355,455,7,504,245,-7006
114,340,39,361,-37,-4340
-45,-394,164,514,955,-1340
-6,379,232,830,278,-1176
9,304,508,48,-450,925
-334,511,470,-423,-1252,4085
-512,-65,367,-400,-1061,6870
-512,-512,-62,327,168,7759
102,31,377,332,1561,2637
-266,-61,254,-91,832,1685
-63,-45,280,-575,153,883
-230,-314,408,244,31,-734
-285,-115,280,659,-119,-3832
-438,-120,157,999,74,-5366
-215,398,48,408,-81,-6495
124,267,56,210,-347,-4123
-44,-476,178,490,910,-1363
27,269,207,887,-3,-1630
6,112,467,173,-446,284
-232,511,351,-253,-944,2304
-512,136,336,-297,-883,5655
-495,-512,57,61,176,8262
-121,-116,235,488,1518,4791
65,389,190,81,624,932
-84,-256,98,-606,549,1463
-104,-233,457,-470,-27,-326
-272,-300,399,13,55,-2458
-422,128,310,779,-176,-4839
-342,64,147,722,129,-6153
-214,511,11,451,7,-6100
-37,105,243,306,637,-2224
-74,-10,511,438,1287,-1372
10,226,160,550,-227,-1049
-8,306,506,-232,-141,1056
-279,511,363,-581,-1294,4050
-512,-36,192,-188,-785,7063
-408,-512,21,-71,384,8070
-230,-103,254,101,1446,3497
-294,36,336,78,905,1008
-90,-141,96,-879,208,825
-298,-231,380,-261,-24,-1208
-292,-71,259,77,-615,-3373
-92,152,216,340,-785,-4381
-27,127,198,495,-371,-3626
-47,80,222,499,-135,-1805
-28,59,231,480,-67,-988
-19,63,258,413,22,-192
-34,38,288,289,5,311
-13,11,310,181,-40,443
-16,20,280,122,-74,394
-17,16,261,76,-47,271
-31,14,253,1,-74,176
-27,13,255,-3,-50,152
-16,18,268,23,-13,157
-24,17,268,19,-64,123
-16,17,264,-3,-77,117
-19,15,264,-28,-30,108
-21,10,262,-16,20,99
-24,9,264,-17,52,79
-22,10,264,-26,53,61
-26,11,260,-25,27,1
-21,7,275,-5,57,-45
-20,14,262,5,52,-56
-27,9,266,7,99,-63
-11,16,272,15,84,-53
-28,14,258,25,93,-34
-27,18,265,16,2,-8
-55,1,250,-14,48,-3
-25,4,287,-13,265,41
-21,16,269,16,208,54
