
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Front-Kick"
%
% Proband:
%     "a"
%
% Rows:
%     558
%

@RELATION exercise-8a

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
2,-4,270,7,42,140
5,0,261,13,42,113
6,2,259,11,83,94
-9,-1,265,13,114,86
-14,1,258,14,114,96
-6,-1,266,2,129,150
-15,-8,278,-18,121,151
-7,0,262,-22,66,132
-2,-1,264,-23,69,132
-10,-3,267,-30,91,126
-11,0,263,-12,113,114
-5,2,264,10,200,125
-12,-1,267,9,250,122
-14,6,270,11,220,112
-8,4,262,18,139,81
-16,8,267,10,148,72
-13,11,265,13,143,51
-15,11,261,6,167,61
-14,19,263,-7,196,106
-17,16,264,-11,271,153
-18,17,259,-17,284,195
-12,4,262,-38,327,277
-28,24,286,-46,315,278
-25,50,317,-105,118,314
-29,36,293,-224,-162,596
-75,-6,211,-341,-295,821
-107,-50,293,-384,0,694
-36,-76,326,-391,-96,309
-99,-54,274,-421,-639,-128
-9,-49,213,-453,-963,-425
13,-50,233,-487,-1044,-359
98,-79,245,-653,-870,-355
44,-89,199,-636,-706,-225
67,-30,216,-503,-762,-158
22,-56,209,-329,-322,-209
40,-46,265,-156,32,-144
67,-126,293,40,443,-162
82,-88,305,195,442,-258
73,-99,265,260,626,-495
57,-63,268,237,582,-675
49,-39,243,83,932,-651
23,-77,233,146,638,-728
-10,-41,235,156,795,-696
-32,-5,227,84,646,-593
-6,-31,286,17,405,-412
-37,-61,249,84,503,-241
-70,-58,224,57,512,-270
-43,-25,217,39,292,-269
-35,-20,295,-47,347,-296
-26,-3,318,-22,297,-269
20,15,291,30,44,-119
42,-24,246,66,-263,-47
-27,-30,271,68,-182,-16
-4,-33,275,69,-3,-31
-6,-11,305,64,73,-81
20,-33,250,-21,-170,-73
26,-27,252,-8,-252,-118
35,-22,262,-47,-154,-21
12,-39,274,-37,-35,14
24,-29,258,-29,-82,34
14,-29,268,-7,1,52
11,-8,247,9,42,31
8,-27,263,22,71,39
