
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Front-Kick"
%
% Proband:
%     "b"
%
% Rows:
%     600
%

@RELATION exercise-8b

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-91,1,243,4,59,-11
-75,10,266,2,61,-4
-94,5,253,3,77,-1
-98,2,255,6,80,4
-87,5,257,3,77,16
-71,-11,258,14,75,0
-84,-24,250,55,110,-61
-111,-36,256,117,133,-175
-118,-22,262,189,91,-328
-97,8,252,249,-28,-313
-86,29,241,268,-24,-181
-115,58,159,256,104,93
-89,27,268,416,456,-8
-86,56,221,463,681,-33
-114,68,233,301,413,56
-148,67,295,335,567,145
-127,52,253,199,374,122
-91,17,231,147,-27,-194
-192,149,234,-13,-163,-675
-120,5,310,-267,122,-95
-113,42,221,-416,11,153
-104,69,231,-194,-392,11
-115,23,250,-121,-255,210
-103,23,247,-79,-288,227
-88,41,245,-6,-378,87
-78,24,258,-17,-301,-30
-89,52,227,-29,-337,-145
-79,41,247,-38,-429,-178
-78,42,273,46,-375,-129
-87,3,255,23,-23,172
-87,28,225,-28,248,292
-68,-5,290,-123,636,398
-104,-2,259,-50,451,176
-111,21,250,32,132,-61
-98,16,262,14,126,-182
-90,31,247,-41,171,-102
-107,14,250,-56,21,-49
-99,19,240,-66,2,-27
-82,14,252,-47,36,-18
-90,2,267,-32,12,12
-80,56,206,-103,-131,47
-94,54,241,-227,29,247
-85,31,268,-79,550,374
-70,12,217,-70,537,386
-90,13,238,-133,312,285
-146,7,327,-73,630,239
-141,19,314,-16,693,188
-69,-17,288,133,52,-114
-176,96,188,288,-403,-678
-111,54,299,164,-65,-332
-105,-4,252,40,11,35
-58,34,245,-16,-475,-113
-98,30,246,-16,-548,-220
-87,21,233,-24,-607,-228
-77,33,230,-64,-522,-217
-72,48,249,-91,-319,-79
-89,23,222,-69,-244,-7
-59,15,252,-24,-144,99
-81,11,248,-22,96,255
-100,13,291,-20,168,288
-54,-28,268,-61,422,341
-67,-17,231,-172,231,226
-80,7,277,-160,171,17
-73,3,263,-92,328,12
-73,3,240,-68,227,31
-87,-6,264,-66,204,16
-86,-11,265,-46,180,12
-81,-12,258,-4,65,-44
-93,-16,263,38,91,-104
-98,-17,258,73,57,-162
-103,-12,262,127,-49,-237
-101,0,269,171,-127,-288
-66,25,249,162,-112,-268
-94,104,168,98,58,21
-78,6,326,247,412,339
-93,30,250,284,576,378
-82,43,217,256,428,443
-122,25,243,231,616,502
-115,34,225,196,604,335
-110,26,224,183,362,18
-132,164,329,-36,243,-226
-141,17,314,-216,330,234
-105,3,218,-254,-130,280
-107,63,235,-138,-470,-94
-123,37,244,-106,-269,-134
-106,31,252,-49,-423,-199
-85,37,239,-90,-495,-243
-84,59,229,-71,-445,-239
-84,39,241,-7,-311,-186
-87,51,244,-13,-256,-126
-88,26,265,-11,-150,-46
-71,4,252,-109,7,107
-100,2,255,-153,96,135
-83,8,258,-145,220,133
-76,14,250,-67,199,84
-74,3,266,-11,67,-78
-49,27,271,-7,35,-165
-61,17,264,-27,73,-120
-60,-10,258,-23,21,-65
-64,-4,269,-7,5,-83
-90,-12,259,33,10,-130
-84,-5,259,88,-47,-186
-93,9,267,128,-58,-197
-101,21,255,144,76,-156
-77,31,227,118,156,-24
-89,76,176,72,192,153
-86,46,253,63,459,479
-97,21,230,113,887,590
-72,19,259,112,963,514
-185,55,266,-12,560,328
-158,84,393,6,1038,386
-133,-10,244,-48,320,396
-127,78,134,45,-652,-144
-140,33,324,41,-362,-158
-98,23,228,-126,-134,96
-89,64,268,155,-492,88
-103,67,255,197,-565,-143
-80,50,231,33,-677,-156
-66,59,250,13,-811,-240
-48,61,196,-15,-536,-191
-75,50,263,-141,9,-119
-96,52,269,-203,505,-47
-85,47,262,-183,306,-19
-56,46,254,-145,-169,-37
-55,25,254,-92,-297,34
-48,19,262,-90,-312,38
-88,16,211,-123,-164,-41
-45,18,299,-150,206,-123
-77,26,279,-115,498,-154
-64,18,262,-73,305,-138
-57,4,277,-97,-61,-130
-69,4,261,-120,-78,-56
-69,7,252,-106,-133,-12
-64,-5,256,-70,-39,11
-62,-10,255,-52,98,12
-83,1,264,-28,79,-1
-56,25,246,41,202,79
-73,56,200,76,375,273
-82,9,272,165,648,303
