
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Front-Kick"
%
% Proband:
%     "c"
%
% Rows:
%     354
%

@RELATION exercise-8c

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
32,-17,268,-21,159,-273
32,-13,270,-20,45,-327
7,50,270,72,26,-261
33,78,270,172,182,185
4,28,291,261,-12,586
43,4,249,380,50,520
47,11,266,313,155,168
66,-7,233,201,-167,-75
11,27,221,4,-515,-409
13,49,215,-96,-265,-209
100,1,305,-190,275,-39
49,90,211,-192,151,-180
74,-16,325,-209,-81,-116
112,58,301,-200,-69,227
51,-12,241,-133,-107,540
71,9,269,3,-96,403
68,-20,233,-49,-57,378
60,5,234,-59,-83,298
69,5,245,-21,-64,202
49,16,258,-11,-89,161
34,-2,241,70,51,66
40,-3,257,84,230,168
40,-11,242,140,332,111
24,3,249,152,282,-36
29,6,260,161,250,-131
42,-11,273,141,308,-111
38,-10,268,104,280,-91
38,-3,265,67,229,-40
43,-17,269,68,-13,-106
53,-14,253,6,-97,-198
36,-12,256,-78,-60,-195
38,-23,257,-104,-3,-205
36,-40,257,-108,16,-311
38,-39,281,-118,88,-349
58,-23,288,-108,37,-326
26,2,248,-49,-73,-280
32,43,260,28,-112,-173
21,60,242,169,244,121
32,11,291,303,110,511
59,17,238,412,109,254
31,38,192,175,-313,207
80,-34,258,102,-150,-65
18,101,230,58,-347,-352
78,50,271,-24,247,58
-2,27,218,-97,193,50
82,-19,339,-198,122,-129
55,67,292,-239,115,69
83,3,318,-216,98,333
65,35,252,-94,-119,352
67,-3,221,-90,-168,229
53,13,213,-108,-211,49
70,11,230,-133,-147,50
61,9,260,-153,27,-59
60,42,271,-68,102,-13
42,17,248,-11,163,19
55,13,230,87,120,142
44,13,251,149,273,102
28,-3,232,115,183,13
40,5,275,72,143,36
26,-27,266,79,366,53
49,-20,265,23,224,0
39,-25,271,-28,173,-38
43,-20,263,-38,172,-122
44,-12,258,-72,28,-149
44,-21,267,-70,-34,-150
65,-25,258,-69,-99,-165
50,-16,239,-72,86,-144
50,-32,261,-79,117,-149
54,-37,258,-89,-2,-175
40,-50,264,-106,1,-251
56,-57,269,-119,5,-298
57,-32,286,-136,-36,-334
16,6,254,-27,-223,-317
28,95,207,85,161,152
35,29,279,188,187,667
74,37,259,403,115,408
58,-1,222,241,14,374
69,1,248,195,-113,118
77,68,257,93,-542,-7
52,-28,184,36,77,17
-5,21,222,39,270,-20
81,-7,354,-175,-31,-196
78,53,318,-135,467,-13
50,7,261,-85,85,237
71,17,276,-32,12,252
52,-12,203,-35,-245,232
52,16,250,-25,-100,130
61,-9,238,-8,-32,66
68,17,273,-28,128,110
40,2,246,-9,141,3
57,38,282,45,179,17
22,3,235,66,175,27
35,19,256,85,251,33
30,-6,239,89,88,-77
42,13,272,65,136,-47
29,-19,256,80,220,-67
40,-12,266,29,229,-37
39,-17,272,-19,187,-68
42,-18,262,-32,172,-119
37,-18,262,-46,25,-154
30,-18,258,-51,-17,-149
44,-25,252,-47,69,-137
32,-37,262,-77,-3,-152
47,-45,273,-96,73,-236
47,-48,273,-111,82,-255
47,-57,279,-95,-71,-346
42,-32,274,-106,-244,-495
31,6,243,-67,-390,-482
41,54,246,12,-139,-240
8,67,246,173,267,429
59,-16,303,254,137,563
88,13,245,352,-13,352
60,-1,223,160,-226,187
47,12,243,163,-321,-250
49,48,228,115,-330,-252
111,12,262,38,75,-74
5,37,215,35,-64,-143
100,1,328,-76,-48,-234
100,47,295,-138,147,-80
83,33,267,-67,166,273
91,24,256,22,17,256
60,10,212,-3,-4,336
63,16,244,-29,118,265
64,14,252,46,175,108
63,14,254,-20,193,126
58,33,260,-38,215,78
42,34,256,40,262,62
65,30,266,56,246,116
23,29,237,61,249,176
29,10,248,73,222,143
32,14,250,62,277,67
33,10,266,31,196,30
25,-24,278,1,245,49
31,-29,260,-40,152,10
33,-22,246,-112,63,-58
28,-37,257,-133,39,-170
51,-38,260,-149,103,-276
45,-48,283,-162,2,-369
57,-46,278,-169,14,-379
59,-52,269,-120,79,-381
33,-58,271,-95,-66,-461
18,-21,259,-61,-243,-598
29,33,235,-7,-158,-366
-25,72,218,124,-41,348
27,9,315,253,54,425
82,24,269,428,177,226
65,5,228,230,-2,130
39,25,238,139,-366,-58
55,45,218,109,-257,-260
79,0,246,-28,119,-114
18,3,259,3,32,-134
80,12,352,-177,-114,-210
46,50,262,-106,191,185
74,5,262,22,51,394
64,28,237,140,30,217
68,17,224,16,87,232
64,27,246,18,-42,254
42,2,240,80,23,179
55,18,246,41,140,122
29,31,252,-8,212,32
80,27,284,-22,304,67
29,31,261,5,216,31
49,38,251,5,170,113
26,26,264,40,218,98
30,17,239,73,26,77
29,19,260,73,218,102
26,-10,275,46,219,103
43,-6,260,-62,118,78
43,-3,261,-112,114,87
50,-31,255,-102,-87,16
39,-38,242,-99,-137,-101
48,-41,272,-133,-16,-222
51,-44,264,-130,-7,-242
56,-35,273,-124,82,-153
45,-53,266,-60,-85,-171
36,-55,244,-54,-195,-254
38,-44,262,-77,-74,-264
34,-21,265,-77,-108,-279
43,41,200,-17,59,-203
20,90,301,-10,136,413
54,4,294,190,60,252
77,10,266,203,290,392
81,-48,236,106,-137,35
36,49,216,20,-425,-158
83,-4,236,-20,-295,-113
48,13,236,30,47,-90
26,-35,311,52,-108,-126
115,25,333,-97,-20,-15
58,-1,243,63,48,318
99,9,285,70,142,318
29,33,192,105,136,255
78,-1,240,98,149,115
81,16,261,123,84,51
37,31,252,199,133,-2
60,17,270,128,228,8
46,26,249,75,256,-16
59,40,259,65,202,-7
37,42,250,1,134,68
39,31,255,54,105,43
27,18,252,49,-8,23
16,28,235,77,29,-40
35,15,263,89,173,1
36,-16,271,93,145,-82
23,2,247,33,75,-91
42,18,278,-41,107,-133
45,11,255,-84,101,-91
42,-4,263,-111,62,-64
41,-21,264,-122,9,-125
45,-36,255,-134,70,-166
62,-36,273,-135,71,-186
51,-43,258,-137,-20,-140
51,-42,262,-126,2,-180
43,-44,262,-131,-40,-182
47,-52,266,-130,-83,-160
38,-10,269,-98,-177,-111
46,73,200,-76,146,226
