
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Front-Kick"
%
% Proband:
%     "d"
%
% Rows:
%     399
%

@RELATION exercise-8d

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-50,9,262,11,49,145
-26,11,260,14,13,149
-44,7,262,12,20,139
-38,6,266,9,53,106
-31,5,256,-3,65,89
-41,5,264,-11,108,72
-49,2,265,-14,118,41
-33,3,262,-7,132,47
-40,4,264,-18,103,49
-30,1,268,-5,77,25
-40,8,268,-5,75,20
-39,1,270,-7,76,26
-50,3,268,-5,62,12
-41,3,265,-15,66,23
-23,-1,267,-16,28,30
-44,3,265,-4,41,-2
-29,1,267,-6,55,-6
-39,8,269,-7,67,-11
-40,7,267,3,75,3
-31,9,256,11,66,19
-45,2,264,12,52,28
-26,0,264,10,53,38
-42,3,275,6,43,50
-19,-1,265,7,15,56
-27,2,267,7,0,120
-35,-3,269,-4,13,129
-22,-2,258,1,6,119
-30,-2,268,-11,23,107
-10,-2,264,-7,29,109
-17,-3,257,-4,2,123
-10,-6,273,-34,-38,144
-13,-38,271,-6,-51,74
-18,-53,277,59,-94,-81
-27,-52,301,60,-64,-361
-62,-43,341,57,-156,-699
-83,2,290,126,-178,-930
-25,103,92,-10,-1051,-821
-7,10,290,22,-682,-513
-37,29,279,15,666,-537
78,72,264,34,-110,-408
-3,8,255,5,-291,-267
8,58,208,150,-404,-155
49,-3,326,162,-241,-130
-9,-23,225,179,-136,-452
52,73,301,44,-486,-780
-22,37,381,-102,299,-614
48,77,241,-39,30,-196
68,21,256,38,-79,85
33,44,286,-28,131,184
20,40,205,-46,-260,142
28,26,236,-114,-154,186
36,22,232,-129,12,210
-49,55,211,-141,79,326
3,44,261,-9,304,439
-52,42,189,47,759,606
0,4,321,27,926,809
-7,-61,340,-96,878,920
21,-48,292,-142,502,816
18,-62,296,-182,536,666
12,-40,254,-71,261,418
16,-62,230,-64,76,213
20,-55,294,73,160,46
-3,-59,288,87,289,-98
11,-55,271,163,-336,-420
8,-42,354,176,-222,-679
-70,-34,344,138,-108,-860
-68,45,175,-137,-720,-816
21,80,171,-182,-714,-703
-68,27,313,5,173,-414
8,66,276,-56,593,-277
22,31,230,-40,-425,-123
8,-42,288,91,-232,-229
-19,1,258,154,-81,-330
43,36,251,135,-617,-751
13,36,169,309,-589,-824
