
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Front-Kick"
%
% Proband:
%     "e"
%
% Rows:
%     333
%

@RELATION exercise-8e

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
58,23,250,-7,16,-16
55,30,258,-6,14,-22
56,20,264,-5,15,-23
51,23,260,-3,29,-26
48,26,248,0,24,-28
47,21,252,4,29,-24
37,32,256,11,21,-17
64,17,260,11,21,-13
54,28,257,12,63,-13
53,19,254,17,92,-12
49,25,251,15,103,8
45,23,252,15,104,7
35,32,256,15,110,-2
44,26,259,16,61,-21
55,23,257,18,69,-52
40,13,260,1,95,-169
49,-1,275,-45,111,-384
33,15,264,-81,131,-561
26,33,251,-139,200,-681
12,19,240,-163,269,-686
17,0,256,-159,317,-715
12,10,260,-129,242,-702
57,-7,263,-66,262,-485
41,5,271,62,92,-297
-20,66,245,216,317,-77
-18,18,293,221,455,604
49,54,352,270,-35,482
61,47,277,320,-326,289
49,70,202,349,-660,257
33,64,216,427,-854,151
30,54,182,503,-1039,26
52,73,230,451,-832,43
102,81,215,356,-678,108
82,107,202,354,-557,111
132,96,257,333,-585,-227
155,85,202,164,-562,-286
109,116,245,117,-189,-124
143,114,208,50,-51,-69
122,85,239,-116,245,2
130,141,192,-165,169,-131
80,93,206,-119,280,-9
81,30,304,-223,739,-28
92,38,252,-448,711,-33
77,69,242,-592,704,-339
61,54,228,-553,537,-429
19,55,219,-521,415,-696
13,73,196,-518,340,-928
27,76,254,-446,246,-991
57,25,280,-264,213,-959
-6,-3,253,-252,194,-300
62,31,295,-91,126,-282
46,35,257,-23,-30,-167
40,22,246,-1,-66,-99
47,40,242,-21,1,-22
31,40,255,10,-12,36
90,47,282,66,-151,135
39,69,249,265,394,754
-29,23,313,366,832,1139
23,107,318,675,242,639
68,61,217,450,-392,457
30,85,186,425,-500,312
32,65,174,506,-889,112
45,48,192,587,-684,133
103,100,268,489,-534,294
97,145,172,484,-305,352
94,108,347,443,-422,-429
201,133,202,35,-249,-49
70,119,240,56,8,91
