
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Trizeps-Dips"
%
% Proband:
%     "b"
%
% Rows:
%     600
%

@RELATION exercise-9b

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
96,7,247,17,58,21
92,-2,238,4,57,32
98,5,248,13,68,3
95,-2,245,31,64,20
98,10,242,33,68,35
99,-3,246,15,59,28
90,13,238,2,60,7
92,-1,245,-4,52,-14
84,4,241,-10,51,-11
90,0,226,-17,32,-9
92,0,211,-11,27,-28
92,11,196,-24,7,-44
94,-26,198,-38,186,-146
88,-2,247,-53,392,-254
85,-7,237,37,449,-382
80,60,235,17,362,-225
54,39,219,-48,275,148
79,-49,235,-43,273,242
56,31,290,-3,447,64
42,25,279,58,511,21
58,-13,304,110,407,207
43,13,259,152,249,180
19,-12,275,-45,124,73
47,15,262,-113,96,1
56,27,258,-50,194,-57
12,7,267,-15,313,163
22,-8,280,33,300,196
28,-13,282,-8,273,91
44,5,312,-34,252,-46
36,15,308,8,200,-26
23,9,336,120,97,87
-4,7,306,98,-103,125
40,-3,300,57,-196,48
23,25,267,-14,-301,-50
52,15,281,-121,-381,-6
70,-7,259,-125,-344,-51
44,23,255,-14,-187,-136
54,8,240,3,-324,-29
68,3,228,46,-508,23
81,-8,242,-16,-387,-55
74,16,225,-80,-384,-84
95,30,202,-49,-292,-13
92,0,229,3,-156,49
85,24,208,0,-221,108
103,-7,194,12,-103,50
99,13,214,9,-8,65
97,-2,235,9,27,34
94,4,227,9,11,14
89,2,233,35,58,-17
78,10,240,5,22,13
103,4,222,-22,8,-30
111,-8,231,-49,32,-39
110,23,235,-32,25,-65
109,-6,240,-19,34,-33
92,18,235,-1,52,1
101,-7,231,-9,61,51
122,12,230,1,82,63
104,0,207,10,75,30
108,-1,195,-5,100,58
90,9,205,38,245,-5
95,-1,223,64,508,10
86,17,254,44,598,-4
55,-17,266,105,508,-31
48,29,256,103,389,-18
66,-10,260,55,178,-56
67,8,225,-37,85,-35
51,27,256,-95,288,-90
74,4,248,-109,285,-15
45,40,284,-29,350,191
42,0,294,-33,331,252
44,-8,266,-105,287,210
59,-8,287,-146,226,-9
36,12,303,16,237,-91
42,45,321,186,207,37
49,-14,310,152,137,193
34,5,303,6,-29,17
19,2,283,-67,-124,-38
47,11,282,-57,-234,-51
56,2,253,-20,-275,-61
70,16,255,21,-203,-39
79,21,269,96,-113,40
63,-4,267,-16,-351,202
88,-14,232,-139,-461,158
81,-7,217,-159,-515,55
83,-16,218,-38,-298,-22
89,-16,202,34,-215,-37
87,15,198,-32,-185,-154
92,11,209,-37,4,-172
95,3,227,5,57,-65
96,9,218,31,69,-46
109,-1,220,-47,-58,40
96,1,241,-50,-33,-6
102,-1,237,9,31,-2
124,20,233,18,56,4
104,-17,234,25,34,35
92,-4,244,39,77,40
103,-3,238,18,90,-8
89,3,238,-40,58,-42
111,4,245,-18,55,-40
83,-4,254,15,120,5
92,-2,250,1,80,22
96,5,240,-18,68,-8
94,2,245,-19,47,3
86,2,242,-13,75,11
100,1,237,-8,56,-8
95,12,243,9,78,-3
88,-23,242,6,68,9
98,9,232,-6,100,9
106,-7,221,-18,104,9
107,9,210,-34,159,21
79,-22,194,-39,310,-4
72,-7,215,-31,578,-58
66,-5,257,10,729,-103
61,18,241,-14,656,-70
39,5,256,-86,582,-56
41,-11,255,-30,477,-30
37,1,267,4,373,-80
41,4,280,-26,361,-174
22,5,277,-105,321,-63
11,-7,313,6,253,90
-1,-9,293,-2,196,198
10,3,266,-41,-10,130
40,3,259,20,82,-4
30,4,279,111,131,37
17,9,283,104,174,26
32,3,293,-4,185,38
9,-10,338,-32,237,-12
17,7,334,71,156,-56
6,1,318,104,-69,-41
12,12,308,85,-287,-14
23,11,286,47,-305,22
5,26,262,31,-267,154
30,2,238,-158,-322,258
60,-32,222,-222,-637,95
76,10,219,-191,-566,-19
58,7,238,-7,-294,-52
48,-8,246,17,-303,20
83,-21,246,-31,-445,-75
114,-3,222,-36,-535,-161
91,7,193,-4,-476,-132
93,11,204,-66,-348,-12
97,-3,183,-72,-165,-40
102,-14,222,-2,-77,-42
108,3,223,14,-23,-35
135,-17,262,56,1,-41
111,14,234,51,88,12
125,-10,245,52,68,70
104,-14,220,30,112,98
108,3,229,40,65,34
115,-4,244,19,64,38
90,-1,244,1,74,-14
114,-13,233,-6,95,-4
105,3,230,-10,65,-25
125,0,239,-23,46,-26
88,-3,242,-18,51,-1
115,-2,236,-19,44,6
119,-17,230,-9,65,2
93,-4,246,-6,42,14
114,-4,222,1,49,23
101,2,225,-31,34,19
103,2,211,-47,7,-27
104,9,192,-60,53,-9
95,6,206,-25,289,43
73,-12,208,107,632,59
92,16,223,167,776,-20
43,-3,250,181,851,2
