
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Trizeps-Dips"
%
% Proband:
%     "c"
%
% Rows:
%     442
%

@RELATION exercise-9c

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
-41,32,230,-79,11,-69
25,-66,292,-50,44,127
63,22,289,139,71,38
-8,12,202,46,150,207
-31,-5,251,84,160,109
-27,-24,254,170,171,97
7,1,277,93,184,-86
4,34,248,-24,140,-28
6,-6,234,-2,191,-62
6,-11,256,-1,288,-97
-15,35,266,-17,360,-29
-8,-1,315,33,369,-41
32,3,314,47,295,-21
-22,6,271,-80,151,22
40,-27,351,48,73,-93
-23,3,246,-51,-93,-142
12,12,282,-68,-221,-143
54,50,286,-128,-156,9
47,-18,209,92,-273,16
15,42,280,-1,-163,257
-2,-10,284,1,-124,126
-35,12,226,-78,-68,344
2,-74,280,102,-57,145
60,25,261,81,-148,124
-3,-37,213,48,-87,79
-39,-52,282,86,-45,-155
-5,29,229,-4,182,-207
38,49,283,-62,251,-138
39,-60,228,117,146,-77
-5,13,207,11,226,-92
-32,3,266,-108,482,7
-24,7,302,56,482,-20
-19,1,263,-13,314,198
-16,-24,273,134,238,44
0,6,271,86,225,-28
-22,35,286,-30,220,-91
-1,5,284,-5,152,-97
-29,8,272,-14,94,-70
-1,-10,275,-47,108,-32
-29,4,262,16,73,-85
-10,13,292,-1,84,-71
-25,-10,272,-7,59,-45
-14,9,262,25,23,-75
-12,1,277,22,51,-35
-14,-19,270,17,74,4
-18,18,273,42,103,-25
-22,15,287,-4,109,40
-15,-14,310,32,118,32
-21,17,298,32,82,-5
-12,-1,312,26,50,11
-25,4,299,43,-46,3
-6,16,290,71,-124,37
-22,6,284,-19,-203,147
-11,21,255,12,-282,155
-2,-6,270,-15,-289,205
-8,14,249,-7,-377,124
20,-28,251,-189,-371,142
-5,53,201,-137,-401,45
10,-38,227,-174,-345,207
44,-30,221,63,-205,34
48,53,273,126,-122,-9
-1,-21,214,30,10,65
11,6,289,135,-106,-166
10,18,285,-34,-43,-128
46,-23,285,-17,39,-149
22,-2,270,55,-74,-209
60,5,252,-81,-77,-192
53,-39,199,-79,-87,-113
21,58,209,-94,-9,99
42,-36,239,197,22,23
58,0,246,148,27,42
34,14,225,3,128,96
30,-35,246,-26,327,152
27,8,268,-72,399,109
35,-26,278,-16,441,205
19,-16,263,42,431,89
-9,-20,279,65,372,-48
-11,-9,260,27,353,-128
5,19,272,39,264,-178
-8,10,258,16,196,-154
4,4,284,58,216,-147
-2,-6,283,56,203,-28
5,6,290,86,209,-126
-22,15,279,63,198,-57
-13,11,280,36,215,-47
-20,-1,286,27,117,-21
-16,14,266,0,110,-33
-12,20,269,0,63,-35
2,6,290,7,41,-68
6,4,265,21,18,-37
-16,16,290,33,-15,-85
-6,16,296,30,-67,-46
-4,15,294,20,-136,-9
5,4,277,12,-182,2
9,9,281,-24,-257,88
5,13,262,-15,-290,192
9,9,253,-10,-283,159
26,-6,256,-40,-270,228
43,38,250,-33,-295,182
13,-31,239,-27,-246,126
61,-17,248,-25,-279,98
15,15,236,-50,-233,42
27,8,238,1,-143,-39
53,-26,256,-29,-90,13
41,13,243,5,-28,-118
41,-4,251,-10,34,-66
39,-8,251,-8,56,-61
31,10,247,27,92,-69
9,-6,240,15,161,-17
32,-13,254,11,219,-44
24,33,253,39,309,-35
33,-12,245,34,325,-18
17,-2,269,57,361,30
0,37,276,38,407,53
31,-38,267,57,369,-80
-13,15,277,2,294,-6
15,20,295,56,309,-135
8,-4,275,33,225,-43
-1,1,277,-43,130,-68
10,7,283,7,136,-135
-6,32,271,35,121,-65
1,-21,276,79,81,-79
-1,-2,269,63,84,-46
9,13,284,28,137,-39
24,6,284,51,143,-78
-22,10,271,22,103,-48
11,15,296,-6,112,-33
10,17,284,11,-25,-55
-12,2,267,16,-64,7
7,31,264,4,-157,32
-19,5,259,-39,-155,129
34,-1,275,19,-167,114
-19,30,246,-47,-190,185
36,-12,262,8,-198,162
-2,15,240,-5,-248,112
22,12,264,-66,-168,80
62,24,268,-61,-182,66
-27,-9,242,11,-125,-86
45,9,265,63,-169,-9
-14,5,234,-28,-103,18
46,-3,260,38,-51,-44
54,22,259,-32,-42,-26
40,20,239,1,21,-29
24,-17,264,-20,59,18
31,24,236,-27,85,51
26,-7,245,-34,80,-6
27,17,238,13,157,-3
46,10,247,7,239,-48
6,-11,259,44,288,-29
3,21,266,77,323,23
23,-4,260,79,271,-46
8,10,270,50,227,6
29,7,279,-6,263,-15
3,-4,258,75,231,-91
12,-7,283,-25,231,21
27,14,282,26,145,-78
-9,-19,270,10,135,-21
6,11,274,80,121,-84
2,12,267,9,89,-28
-1,14,267,82,118,-76
18,25,280,35,102,-43
5,-12,266,4,126,-32
9,4,283,32,67,-89
-1,31,273,-18,56,-41
7,15,291,55,49,-70
-19,-18,271,-26,47,32
8,38,288,-3,-64,3
-15,23,277,-10,-84,-8
6,0,267,-33,-121,46
19,18,274,-20,-158,79
4,2,255,-5,-165,56
-17,-7,260,-37,-156,62
46,9,269,-30,-178,43
2,27,249,-43,-131,107
48,-4,259,-44,-115,58
-39,8,245,-8,-117,53
22,8,252,24,-61,-91
15,3,255,-31,-129,0
15,53,247,-1,-53,-38
12,-50,248,-35,-23,-21
35,42,243,27,-40,-51
26,-5,252,-30,29,17
40,1,246,21,58,18
7,6,249,-4,102,8
46,-11,262,11,168,-7
4,6,243,55,179,-70
23,8,267,10,280,80
24,9,271,36,266,-116
48,18,264,50,285,-21
-4,25,269,-8,291,80
13,-7,279,29,299,10
-1,-5,272,57,248,-5
13,16,279,-5,235,7
0,3,271,49,176,-35
15,4,282,25,153,-41
-17,18,270,22,106,2
-4,2,276,21,103,-12
4,6,267,18,60,-25
-1,0,275,18,76,-17
-3,15,264,23,82,-30
7,26,285,16,63,-51
-5,-20,279,-1,79,8
2,32,281,-45,65,74
0,-4,275,-37,19,-20
6,4,272,-7,-47,3
9,37,275,-55,-106,52
3,-10,281,-15,-148,77
12,17,278,-37,-137,144
32,7,263,-55,-170,24
4,-7,265,-10,-134,27
27,42,265,-37,-166,55
-7,-12,257,-20,-192,64
28,2,261,-2,-167,-54
54,22,265,2,-207,-7
19,23,221,-6,-115,28
31,-6,243,66,-154,-26
29,12,241,62,-104,16
35,-31,241,-65,-55,40
24,40,254,15,-55,-34
11,-13,241,-48,5,-9
24,22,232,8,74,24
19,-13,251,-10,78,-50
19,-2,246,38,117,-40
55,18,300,26,194,-77
15,25,227,8,155,-4
70,-8,280,32,132,-11
15,29,254,36,183,6
23,-9,263,96,169,-83
34,24,281,23,155,81
20,13,264,11,156,18
45,11,265,90,118,-8
31,24,273,-21,112,62
35,0,266,8,101,-64
8,18,264,2,33,-36
41,8,284,-7,53,-2
-7,-7,253,23,35,-73
60,23,273,50,3,-50
45,18,281,-18,50,6
9,-4,256,22,99,-49
22,13,266,24,214,-37
20,19,279,41,194,-69
26,16,280,-35,175,-10
21,-4,267,49,121,-72
3,-5,285,-25,65,-36
29,28,269,-12,27,-84
14,16,258,21,18,-78
9,-13,264,21,-12,18
35,29,267,-2,-18,83
21,-5,253,-35,-48,115
10,4,258,-16,-52,58
31,22,265,-78,-58,68
-10,-22,246,-26,-63,92
46,31,259,8,-67,-14
12,10,249,32,-83,49
13,15,253,-10,-19,60
45,6,262,3,-127,-18
-13,1,248,-43,-50,15
44,25,271,18,-40,4
10,24,239,35,-51,2
21,-9,253,11,5,-15
37,25,260,5,5,-4
11,7,234,-15,36,-17
40,23,255,38,42,-35
38,4,246,-2,60,-11
6,2,243,-16,130,36
35,17,267,3,123,-22
20,-5,237,-7,168,-15
16,2,275,-15,227,55
41,5,272,42,285,-45
31,10,266,73,231,-14
9,13,261,-4,178,21
31,-12,280,-18,180,-6
35,22,264,9,88,-19
6,2,262,0,125,77
46,-9,293,29,103,-5
2,2,258,16,49,-9
32,23,270,-4,108,32
27,-3,272,15,79,-11
1,-4,277,-8,85,18
32,19,273,1,80,-37
24,19,271,-2,50,-7
24,4,265,-8,23,18
24,18,276,-13,-18,44
21,3,262,-4,-28,17
2,3,268,7,-72,25
48,26,270,-28,-87,40
-3,-24,261,-7,-65,91
51,2,257,10,-89,43
-14,7,286,-15,-69,64
22,28,258,14,-106,-12
55,-25,271,-19,-158,47
21,41,253,-4,-102,34
71,-31,264,7,-97,-28
-2,42,259,40,-101,10
43,-11,249,-6,-142,18
43,-35,246,1,-90,60
64,45,251,-27,-77,-2
1,-26,245,-24,-29,-9
48,-2,256,17,58,20
64,-8,248,-14,-1,25
23,17,251,65,53,8
58,-5,258,5,60,28
25,8,241,-43,63,-1
37,-15,248,3,95,-22
27,-1,263,0,153,16
28,0,247,71,246,-37
28,-16,264,38,265,38
45,28,260,29,294,8
9,-31,265,-1,277,-66
57,3,273,42,283,-69
32,24,268,20,246,-19
9,-22,257,15,234,-43
18,16,274,48,202,-90
20,0,271,-20,164,-59
