
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Trizeps-Dips"
%
% Proband:
%     "d"
%
% Rows:
%     501
%

@RELATION exercise-9d

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
56,-4,298,78,424,47
64,20,267,74,283,13
58,1,243,48,-2,77
70,-20,249,69,18,130
57,-16,258,108,85,110
92,-13,261,-13,90,26
72,-9,258,-48,3,-100
65,6,224,-67,-24,-87
64,-4,239,-113,36,-110
69,2,270,-59,81,-83
76,-14,271,-65,106,-99
68,12,222,-25,5,135
77,8,247,65,147,198
60,-23,241,140,120,188
39,-18,270,75,274,130
34,-13,270,-3,217,-76
55,25,275,-40,155,-149
76,10,254,-23,75,-97
70,3,246,0,1,-15
59,5,262,-7,10,8
54,9,224,-25,-29,-13
66,-8,242,-35,28,-18
65,-12,266,-43,8,-55
51,-1,258,-30,16,-32
68,-8,256,37,10,71
67,4,223,120,-41,211
71,-22,223,147,38,197
53,3,224,146,271,34
71,-9,273,17,431,-62
42,36,213,-43,334,-103
56,-8,219,-82,337,-57
5,-10,273,38,364,2
50,-3,238,9,294,22
-14,-54,293,-90,281,100
47,38,256,70,236,-159
19,13,258,-44,295,1
21,-14,293,-7,375,47
30,42,265,152,104,-19
3,-27,274,-37,250,12
13,7,258,-18,133,-116
23,21,295,-26,305,-215
15,12,283,20,192,-164
-4,-5,330,88,287,-4
17,-10,328,68,99,147
29,-8,303,89,43,150
4,-5,354,-3,27,136
9,10,307,-53,-1,35
7,8,315,-25,-69,-34
29,-10,269,-66,-110,-39
6,8,278,6,-156,-13
8,21,262,-1,-157,-63
17,2,238,-61,-229,-50
21,18,228,-19,-257,-129
46,-14,225,-47,-375,-115
57,-1,236,35,-484,-77
68,16,254,-4,-429,-43
26,-1,256,-34,-301,-44
62,22,207,-64,-322,16
56,-10,219,-9,-367,86
66,-17,222,23,-195,157
53,21,218,-14,-94,192
60,18,230,13,56,32
83,-2,219,-42,94,17
60,3,255,0,291,4
31,1,221,10,211,-5
67,7,245,35,299,29
23,16,218,-20,254,39
64,8,229,88,194,-39
59,-3,235,20,347,-39
40,6,248,-2,283,85
80,-3,242,0,367,82
64,-26,267,-57,301,46
33,34,262,19,479,20
45,35,246,9,259,-93
25,-33,296,-15,364,-2
9,18,254,96,451,-31
-13,-9,313,-43,533,105
-9,-5,259,40,445,46
-16,23,319,1,377,-24
10,3,284,-20,252,60
-27,5,281,97,243,83
-12,10,292,81,115,52
15,-6,300,-37,27,43
16,-11,299,-12,108,31
-32,-11,332,0,309,-24
-25,11,353,-7,119,12
-25,28,318,6,121,37
22,-13,315,-11,-224,-25
-9,-7,296,12,-162,-82
13,-1,271,-80,-319,-82
7,27,272,-73,-409,-10
7,3,244,44,-424,-34
34,-16,235,31,-590,45
13,-15,261,-26,-590,69
34,0,202,-47,-642,-1
60,-27,248,-79,-648,-24
50,4,209,-76,-494,-46
83,12,239,-39,-588,-82
63,0,182,61,-454,3
50,-4,238,-43,-361,27
128,33,143,-5,-286,-85
67,-2,283,-73,233,72
109,8,218,47,-12,7
131,-8,236,-21,202,101
92,-12,231,84,185,-32
71,25,225,-97,210,78
114,-26,225,-52,85,60
88,32,223,25,116,-51
72,-8,195,-55,256,111
70,0,225,17,58,0
63,18,206,53,323,-5
30,-35,262,27,349,78
111,-13,204,102,256,-33
28,-10,262,30,470,-27
43,26,239,37,505,-29
18,-3,257,20,540,-38
