
% Title:   6-axis exercise data
%
% Source:
%     collection: Hao Zhang at bodyboom
%     aggregation: Sebastian Steuer
%     date: 2011-04
%
% Exercise:
%     "Trizeps-Dips"
%
% Proband:
%     "e"
%
% Rows:
%     331
%

@RELATION exercise-9e

@ATTRIBUTE y1 INTEGER
@ATTRIBUTE y2 INTEGER
@ATTRIBUTE y3 INTEGER
@ATTRIBUTE y4 INTEGER
@ATTRIBUTE y5 INTEGER
@ATTRIBUTE y6 INTEGER

@DATA
92,22,236,-120,2,-325
68,31,242,-156,27,-260
95,14,259,-62,106,-102
91,14,253,57,83,24
77,2,235,88,48,63
73,2,250,71,54,31
63,13,252,22,93,-6
66,10,268,4,120,-7
82,9,264,-13,84,-11
69,7,247,-16,60,1
74,8,254,0,66,-12
65,10,256,12,68,13
67,14,256,21,31,28
78,18,259,26,7,28
76,1,246,16,-15,27
64,10,238,15,-34,22
67,17,236,14,-16,18
86,12,250,6,27,25
82,21,260,12,55,-6
79,3,244,28,-33,-21
73,25,179,47,-94,-56
67,15,155,-13,56,79
91,19,200,52,178,12
50,41,190,97,145,20
29,28,196,46,198,99
66,-12,270,36,317,189
66,5,282,11,301,141
36,-3,272,-41,325,120
38,-1,281,-94,407,51
60,2,301,-82,412,9
37,-6,284,-113,353,19
54,-2,286,-177,262,-2
30,9,288,-198,260,-28
29,-2,302,-185,290,1
34,-11,292,-90,197,-3
38,-1,311,10,250,-25
43,-9,344,62,350,-26
32,-2,346,41,268,-56
47,-9,357,29,72,-178
42,17,330,36,10,-202
34,4,295,75,-119,-178
33,25,279,134,-154,-106
16,7,218,166,-200,-22
21,10,212,152,-233,37
9,9,201,94,-304,109
36,10,203,76,-333,118
45,0,228,46,-285,83
49,-16,226,67,-233,2
23,5,209,90,-195,-66
39,1,224,26,-209,-104
74,17,232,3,-153,-66
62,19,237,-11,-42,-99
58,3,218,3,108,-40
20,20,175,-25,165,21
50,-34,135,53,94,27
48,48,177,68,236,31
5,-5,242,-12,496,89
